gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
LINC01736,0,1,0,0,0,1
LYPLAL1-DT,2,8,0,0,2,1
LINC01740,1,0,0,0,2,1
MTCO3P29,0,0,0,0,0,1
RPL7P47,0,1,0,1,0,0
BOD1L2,4,3,0,0,0,2
HLA-DRB1,0,0,2,2,0,1
IFNA14,0,0,0,0,0,0
MPIG6B,0,0,0,0,0,0
COX6CP15,0,0,0,0,0,0
MTATP6P11,2,12,3,7,3,7
LINC01820,18,14,2,4,254,250
LINC01757,0,0,0,0,0,0
MELTF-AS1,53,23,20,52,33,16
PPT2,10,11,15,8,0,3
FALEC,13,9,5,2,43,29
LINC01649,1,2,0,0,2,0
LOC105371485,6,6,6,10,50,61
LINC01494,0,0,0,0,3,1
LINC01402,0,0,0,0,0,0
LOC338963,6,2,6,0,2,0
CASP16P,18,5,7,19,96,28
RPL3P1,0,0,0,0,0,0
LOC101928733,2,0,0,0,0,0
LINC01674,0,0,0,0,0,0
MTND1P11,1,14,4,3,3,12
HNRNPA1P21,0,0,0,0,5,2
C6orf47,0,0,0,0,0,0
MTND2P25,0,0,0,0,0,0
PRR3,1376,1038,681,748,1160,901
LOC100421400,0,0,0,0,0,0
LINC02843,3,3,0,0,0,2
RPL23AP16,0,0,0,0,0,0
OR2M3,1,0,0,0,0,0
GRASLND,22,16,37,23,39,33
RPS3P3,3,2,1,0,0,2
LINC02869,0,2,0,0,2,0
RPL7AP12,0,0,0,0,0,0
NLGN1-AS1,0,1,0,0,0,0
NPM1P30,0,0,0,0,0,0
LINC00578,2,1,0,0,0,2
HCG11,21,13,21,14,22,17
NACA4P,2,0,0,0,2,0
EFCAB14-AS1,0,0,0,0,0,0
TTTY17A,0,0,0,0,0,0
MOB1AP1,1,1,0,0,0,0
DDX39B-AS1,2,2,4,5,3,2
ATP8,5157,32987,4440,5425,7818,32398
LOC100502572,1,0,0,0,0,0
LINC01317,1,3,0,0,1,1
PSMD8P1,0,0,0,0,1,0
C4B,0,0,0,2,0,0
LINC02048,0,0,0,0,0,0
ORM2,4763,4263,4041,3712,2485,1455
HLA-DQA1,5083,5302,3987,5552,7451,9394
PCAT6,126,79,65,56,103,96
TBX18-AS1,0,0,0,1,1,0
BMS1P17,0,0,0,0,0,0
HLA-C,1278,709,542,380,754,447
FAM174C,835,576,664,577,317,206
RPL7P55,0,0,0,0,0,0
OR4K6P,0,0,0,0,0,2
LINC01209,20,17,26,33,25,17
LINC01350,0,0,0,0,0,0
CYP4F29P,0,0,0,0,6,12
GUSBP11,619,258,350,300,1054,653
MTATP6P19,6,15,2,5,6,20
LOC105376199,1,0,1,2,3,5
SPATA2P1,0,5,0,0,2,0
IGKV3D-7,0,0,0,0,0,0
LINC01890,1,1,0,0,0,0
RXRB,174,129,105,145,235,185
PPIAP69,0,0,0,0,0,0
AMD1P1,0,1,0,0,0,1
MIR646HG,7,2,0,0,3,4
RPL37AP6,0,0,0,0,0,0
LOC392436,0,0,0,0,0,0
RPS26P4,0,0,0,0,0,1
LINC02585,5,5,2,0,0,0
LINC02263,0,0,0,0,2,0
LOC100996384,2,0,0,0,1,1
TXNDC12-AS1,0,0,0,0,0,0
LOC112268032,0,0,0,0,0,0
RPL9P13,0,1,0,0,0,0
RPS20P25,0,0,0,0,0,0
GAS2L1P2,5,1,0,0,6,7
FAM197Y7,1,0,0,0,0,3
LINC01635,7,3,3,5,3,3
RPS20P6,0,0,0,0,0,0
LOC107985820,0,0,0,0,0,0
RNF5,5,2,2,2,4,0
TAB2,2,1,0,0,9,2
ELOCP24,0,0,0,0,0,0
LNC-LBCS,150,134,73,99,184,190
LINC01185,0,2,0,0,0,2
LINC00687,3,1,0,0,1,6
VPS52,820,674,512,792,1047,514
LOC107985688,2,0,3,0,0,1
ARL5AP3,0,0,0,0,1,0
OR7E23P,2,2,0,0,0,1
C6orf47,0,0,0,0,0,0
LOC105378663,45,56,21,22,25,19
MTND5P6,0,0,0,0,0,1
SDAD1P1,57,60,34,34,98,106
C4B,147,42,300,352,283,242
RPS19P7,0,2,0,0,2,0
RPL23AP21,169,138,146,174,215,215
OST4,6515,5494,4116,3198,8446,5514
PRKCE-AS1,0,0,0,0,0,0
LOC101927692,0,3,1,0,5,2
C2orf92,134,117,71,102,155,104
RPL21P50,0,1,0,0,0,0
LINC01013,3,26,1,1,1,23
LOC100506405,381,272,343,243,541,323
RPL15P18,1,1,0,0,2,0
LINC01760,0,0,0,0,0,0
LOC100419679,3,6,0,0,3,5
CT47A7,0,0,0,0,0,0
DNAJB6P4,0,1,0,0,0,0
MIR34AHG,298,109,1673,1420,3737,2231
CCDC183-AS1,164,62,130,124,135,113
LOC112267871,32,24,2,2,68,75
HSPA8P17,0,1,0,0,0,0
LINC01005,0,0,0,0,0,0
VN1R4,0,0,0,0,0,1
RPS15AP13,0,0,0,0,0,1
NUTM2E,1,0,1,0,3,0
MDC1,1328,1125,1533,1805,3029,991
TAP2,0,0,0,0,0,0
MIR4432HG,0,1,0,0,1,1
D21S2088E,0,0,0,0,0,0
FNDC10,137,83,208,156,220,117
PAICSP2,0,0,0,0,0,0
MTND4P1,0,0,0,0,0,0
MACC1-AS1,0,0,0,0,0,0
RPL7P52,0,0,0,0,2,1
LOC100287049,34,22,4,5,10,6
CLDN25,0,0,0,0,0,0
PDCL2P1,0,0,0,0,0,0
HDAC2-AS2,45,46,17,19,56,66
GS1-278J22.2,0,0,0,0,0,0
ATF6B,145,75,119,117,184,120
HOTAIR,1,1,0,0,0,0
RPL31P13,0,0,0,0,0,0
SNHG26,105,143,169,169,110,94
OR2W1,0,0,0,0,0,0
HNRNPCP7,0,2,0,0,0,0
MYO5BP3,1,0,0,0,4,0
LINC01201,1,0,0,0,0,0
VN1R35P,0,0,0,0,0,0
STIM1-AS1,2,1,1,0,1,3
MCCD1,1,0,0,0,0,0
RPL18P2,0,0,0,0,0,0
TRGV5P,0,0,0,0,0,2
PROB1,165,72,125,111,126,74
TTC3-AS1,0,1,0,0,0,0
MTND4P18,0,0,0,0,0,0
CES1P1,265,218,94,144,597,422
ARL17A,586,397,413,308,287,212
LOC101928565,5,16,4,11,15,16
TNKS2-AS1,7,3,1,7,5,13
LINC00659,14,21,3,1,7,2
HSD17B8,105,48,235,200,492,298
DHFR,6081,6556,2725,2412,1690,2256
NAB1P1,0,0,0,0,2,0
SRGAP3-AS2,0,0,0,0,3,0
MTND2P12,18,15,19,13,18,28
SAPCD1,0,0,4,0,0,0
PPIAP91,0,0,0,0,0,0
LOC100418874,0,0,0,0,0,0
HCG23,0,0,0,0,0,0
GABRG3-AS1,0,0,0,0,1,0
SPATA13,0,0,0,0,0,3
RPS3AP30,4,2,3,0,0,0
EIF4BP2,0,4,1,0,0,1
RPL13AP19,0,0,0,0,0,0
FAF2P1,0,0,0,0,0,1
BAG6,0,0,0,429,0,0
LIMS1-AS1,0,0,0,0,1,0
RPL7L1P8,0,0,0,0,0,0
KRT8P18,3,0,0,0,0,0
ABCF2P2,0,1,0,0,0,0
LOC107985659,0,0,0,0,0,0
LINC02534,0,1,0,0,0,0
RPL21P84,2,0,0,0,0,0
H3P29,0,0,0,0,0,0
LINC00954,33,25,1,6,11,21
LINC00266-4P,5,1,2,5,9,8
NLGN4Y-AS1,0,0,0,0,0,1
HCG22,0,0,0,0,0,0
LOC100507336,0,0,0,0,0,0
LINC01128,473,328,337,308,306,204
LOC102724330,73,58,53,56,78,37
MTCYBP42,2,4,0,0,0,3
LOC100131635,0,0,0,0,1,0
HMGB3P4,16,3,15,9,14,10
LAMA5-AS1,0,0,0,0,0,0
HLA-DQB2,0,0,0,1,2,1
MARK2P13,0,0,0,0,6,3
PSMD2P1,0,1,0,0,0,1
AGKP2,0,2,0,0,0,0
RPSAP1,1,0,0,0,0,0
MIR4500HG,0,3,0,0,1,1
CT45A5,0,5,0,0,0,0
PIK3IP1-DT,2,2,0,0,2,2
PCDH9-AS2,0,0,0,0,0,0
RPS11P2,0,0,0,0,1,0
CDY12P,0,0,0,0,0,0
MTCO3P4,0,0,0,0,0,0
NEGR1-IT1,0,0,0,0,0,0
NRM,975,768,828,617,376,200
LY6G6C,1,1,0,0,0,0
RPL23AP12,0,0,0,0,0,0
MYLKP1,0,1,0,0,2,0
COX4I1P2,0,1,0,0,1,0
RPS24P10,2,3,0,0,1,0
CSNK2B,0,0,0,12,0,0
RPL35AP6,1,1,0,0,0,0
TRIM26,2318,1714,1788,1339,2876,1779
RPL23AP26,0,0,0,0,0,0
EEF1DP1,0,0,1,0,0,0
LINC01428,0,2,0,0,0,0
UBAC2-AS1,151,128,32,27,153,127
TTTY21,0,0,0,0,0,0
AGPAT1,0,0,0,0,0,0
SKIV2L,2496,1481,2883,2582,2491,1604
MTCO1P43,0,0,0,0,0,0
ST6GALNAC2P1,0,4,0,1,1,3
RNF5,3129,2733,2144,1656,2311,1525
UBD,753,516,68,42,55,40
OR1H1P,2,1,0,0,1,2
OR7E128P,7,2,0,0,0,3
LOC389199,0,0,0,0,0,0
LOC650024,0,0,0,0,0,0
TSPY3,0,0,0,0,2,0
RPS13P2,1,0,0,0,0,0
MTCO1P3,0,0,0,0,0,0
MTA3P1,2,0,0,0,0,0
LOC100128362,4,1,0,3,3,1
UGT1A12P,0,4,0,0,2,0
LINC01690,0,0,0,0,1,0
HLA-B,758,461,64,74,342,206
RPSAP60,0,1,0,0,1,0
UBTFL6,1,3,0,0,0,4
LINC02607,0,6,0,0,4,5
TNF,0,0,1,0,1,0
LINC01205,4,5,4,9,20,5
RPS2P20,11,4,7,4,5,1
SLC47A1P1,5,0,0,2,1,3
LOC100130861,0,0,0,0,0,0
TRDD3,0,0,0,0,0,0
HLA-DRA,0,0,0,0,0,0
MTND1P9,0,1,0,0,1,0
SEPTIN7P8,0,0,0,0,0,0
ACTBP14,0,1,0,0,0,0
HNF4A-AS1,21,9,57,59,16,13
TRIM27,447,396,333,1274,653,653
TMPRSS11GP,0,0,0,0,0,0
LINC01038,0,1,0,0,0,0
RPL30P13,4,4,1,5,8,1
LOC100506790,1,1,0,1,0,0
RPL6P3,0,0,0,0,0,0
HSFY1P1,0,0,0,0,0,0
CDCA4P1,2,0,0,0,0,0
MTCO1P25,9,12,6,9,8,4
LOC101927159,0,1,0,0,0,0
ZFAND2A-DT,90,40,76,69,98,72
LINC01788,1,2,0,0,0,0
RPS29P14,6,8,5,6,4,0
HECW2-AS1,50,46,7,10,12,16
AGER,66,22,54,99,50,28
ATAT1,0,200,124,140,161,152
TRBV23OR9-2,0,0,0,0,0,0
PRRT1,139,91,96,53,106,85
HLA-DRB1,0,0,0,0,0,0
LOC100419693,0,0,0,0,0,0
MTCO3P30,0,0,0,0,0,0
OR5AW1P,0,0,0,0,0,0
ANKRD20A8P,104,69,40,60,394,558
HSPA8P8,0,1,0,0,0,0
POU5F1,0,0,0,0,0,0
LOC101928739,0,0,0,0,0,0
ASTN2-AS1,1,1,0,3,1,1
LOC100421387,0,0,0,0,0,0
MED4-AS1,0,0,0,0,0,1
RPL41,47309,34778,43941,36135,40118,23335
VIM-AS1,3,6,0,0,1,1
OR2H1,0,0,0,0,0,4
EIF4A1P10,4,6,12,1,5,1
RPS7P4,2,3,0,2,0,2
CCDC26,6,4,0,0,6,6
ACTBP1,2,1,0,2,0,0
CRYGEP,0,0,0,0,0,0
EPHA1-AS1,45,5,1,4,1,3
KCNQ5-AS1,0,0,0,0,0,0
TSPY23P,0,0,0,0,0,0
RPL19P20,0,0,0,0,0,0
LINC00243,0,1,2,3,1,1
LINC00382,0,0,0,0,0,0
SAPCD1,0,16,0,9,0,0
GS1-124K5.11,1126,778,496,585,858,667
OR12D3,0,0,0,0,0,0
PGA4,6,1,0,0,14,0
ATP5PDP2,0,0,0,2,0,0
OR2H2,0,0,0,0,0,0
HLA-V,1,0,1,3,0,0
LOC100128325,3,1,1,4,1,1
RPS15AP28,0,0,0,0,0,0
LINC00200,0,0,1,0,5,2
LINC00242,45,26,22,24,37,25
KRT18P4,62,34,50,64,61,60
LINC00582,1,1,0,0,1,0
MT1P3,0,0,0,0,0,0
FEM1AP1,0,0,0,0,0,0
RBMY1KP,0,0,0,0,0,0
RPL37P18,18,10,26,20,26,18
TTTY10,4,15,6,6,7,37
PPP1R12BP1,1,0,0,0,0,0
LINC00710,1,0,0,0,1,3
LINC01981,0,1,0,0,0,0
WBP2P1,0,0,0,0,8,3
USP9YP31,0,0,0,0,0,0
ZBTB22,84,70,102,97,106,82
LPGAT1-AS1,2,0,0,0,0,0
LOC101928994,4,4,0,0,2,1
SNHG31,55,118,17,29,43,121
PES1P2,0,0,0,0,0,0
LINC02829,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0
MUCL3,0,0,0,0,0,0
RFPL4AL1,0,0,0,0,1,0
HLA-DPB1,3,3,2,1,0,10
TUBB8P1,0,0,0,0,1,0
SNHG32,2,478,0,0,0,0
LOC100129776,2,1,0,0,2,3
LINC00459,0,0,0,0,0,0
RPP40P1,0,0,0,0,0,0
LOC101927827,0,0,0,0,1,3
ORM1,7233,5972,6350,5847,3267,1974
MCHR2-AS1,0,0,0,0,4,2
KRT8P12,166,144,80,51,62,41
LOC100420321,1,0,0,0,0,0
LOC102031319,0,1,0,0,0,0
TNXB,7,0,0,0,0,24
MTCO2P12,7,23,3,4,7,16
TRIM10,0,23,0,0,0,0
LOC392440,0,0,0,0,0,0
TNXB,0,0,18,22,15,34
LRRC3-DT,1,0,0,1,0,0
PIN1P1,0,0,0,0,0,0
UBTFL7,0,0,0,0,0,1
LOC100419923,0,0,0,0,2,5
SZT2-AS1,0,0,0,0,0,0
LINC00452,1,0,0,0,0,1
USP24P1,0,0,0,0,0,1
PRKAR1B-AS2,0,0,0,0,0,0
TRIM10,192,108,50,27,32,35
LINC01015,0,0,0,0,0,0
LINC01715,6,2,1,10,5,1
HLA-DRB6,0,0,0,0,0,0
DAXX,0,0,0,0,0,0
LOC100419859,2,2,0,0,0,0
MIR5689HG,0,0,0,0,4,3
LINC00858,13,11,2,3,7,1
LOC100130731,0,1,0,0,0,1
OFD1P4Y,0,0,0,0,0,0
OR10C1,0,0,0,0,1,0
KCNQ1-AS1,0,0,0,0,0,0
SFTA3,2,0,0,0,6,5
NPM1P25,0,0,0,0,0,0
RALGAPA1P1,288,369,321,369,191,269
RPL27AP8,2,0,0,0,2,1
LOC101927745,302,517,88,141,339,497
ANKRD26P4,5,8,2,1,16,18
C6orf15,0,0,0,0,0,0
LINC02069,1,2,0,0,0,4
ST3GAL3-AS1,0,1,0,0,0,0
CPVL-AS1,0,0,0,0,0,0
SPINK8,0,0,0,0,0,0
GNL1,2303,2112,1734,1289,1329,912
PATL2,15,4,0,14,10,6
ROBO2P1,0,0,0,0,0,0
PRRT1,0,0,0,0,0,0
LOC101927948,2,2,0,0,0,2
DDX39B,0,0,0,0,0,0
RPL17P1,0,0,0,0,0,0
RPL21P37,1,1,0,0,7,13
FLT1P1,1,0,0,0,0,0
BAG6,801,114,128,0,101,99
KRT16P4,0,0,0,0,0,0
HLA-V,0,1,0,3,0,4
RABGAP1L-AS1,0,2,0,0,1,0
LINC02572,0,0,0,0,0,0
LINC01739,0,0,0,0,0,0
GAPDHP26,0,0,0,0,0,0
NKX1-2,1,4,0,0,59,73
UBE2DNL,0,0,0,0,3,0
TSPY8,0,0,0,0,0,0
USP9YP17,0,0,0,0,0,0
RPL21P24,0,0,0,0,0,0
SACS-AS1,9,9,0,0,7,11
ZFYVE9P1,0,0,0,1,0,0
LINC01204,15,9,4,7,9,30
LINC02264,0,0,0,0,0,0
SMC4P1,0,0,0,0,1,1
GAPDHP58,0,0,0,0,0,3
EIF4BP4,1,2,0,0,0,0
LINC00358,0,0,0,0,0,1
TNPO1P3,0,0,0,0,1,0
ACVR2B-AS1,115,124,40,55,83,62
BTNL2,0,0,0,0,0,0
MTATP8P2,0,0,0,0,0,0
RPL21P93,0,1,0,3,1,0
LINC01718,0,0,0,0,0,0
MBNL1-AS1,52,26,25,14,58,30
LINC01822,7,14,0,0,1,2
MTND5P2,17,24,15,13,10,22
METTL21AP1,7,3,12,26,20,14
BSNDP4,0,0,0,0,0,0
LINC01264,0,0,0,0,1,0
LOC100421273,0,0,0,0,0,0
KRT8P21,5,0,0,0,1,1
PRAC2,0,0,0,0,0,0
RPL4P4,18,8,7,5,7,5
LINC01758,0,0,0,0,0,1
CYP2C56P,0,0,0,0,0,0
LINC00280,0,0,0,0,0,0
NAMPTP1,55,65,57,72,48,51
MYOSLID,2,0,0,0,1,0
RPSAP22,2,0,0,3,3,0
LINC02681,2,1,15,11,8,9
ZNRD1ASP,159,73,108,137,241,370
LINC02526,2,1,0,0,0,0
RPL13AP11,1,1,0,0,0,3
RPL26P6,3,6,0,3,5,5
DPY19L4P1,1,0,0,0,0,0
UBE2V1P9,0,0,0,0,0,0
H2AL1RP,0,0,0,0,0,0
ZNF492,48,25,41,38,55,37
RPL17P28,7,7,6,11,32,22
SNORD56,0,0,0,0,0,0
RPL37P7,0,0,0,0,0,0
CRPPA-AS1,0,0,0,3,3,1
MTCO2P1,0,0,0,0,0,0
LINC00484,0,2,0,0,1,0
LOC100421122,0,0,0,0,0,3
KARS1P1,1,6,0,0,1,7
HLA-F,30,3,0,0,18,10
LOC101928009,1,0,0,0,0,1
MTND2P20,0,1,0,0,0,0
MARK2P12,0,0,0,0,0,1
USP9YP36,0,0,0,0,0,0
LCEP2,0,0,0,0,1,0
LOC101929460,0,0,0,0,0,0
RPS8P7,7,0,9,10,11,2
OR2AQ1P,0,0,0,0,0,0
LOC100506274,16,2,0,1,7,0
LOC100420323,0,0,0,0,2,0
FTLP16,0,0,0,0,1,0
PDC-AS1,4,2,0,0,1,3
BTNL2,0,0,0,0,0,1
LINC01159,0,0,0,0,0,0
RPL7P10,0,2,0,0,0,0
RPS27AP15,0,0,0,0,0,0
RPL31P20,0,0,0,0,0,1
RPL7AP21,2,4,0,0,1,0
MTCO1P52,0,0,0,0,0,0
LOC100420540,0,0,0,0,0,0
RPL21P62,1,0,0,0,1,0
DDR1,0,0,0,0,0,0
TRBV10-2,0,0,0,0,0,0
LOC105372971,0,0,0,0,0,0
LINC02624,1,0,1,1,1,0
UBE2Q1-AS1,0,0,0,0,0,0
RRN3P4,0,3,0,0,1,2
LINC00399,0,1,0,0,0,0
MTCYBP32,29,29,19,19,26,20
KRT18P26,4,0,2,2,1,2
ATP8A2P2,1,1,0,1,0,3
RPS15P5,1,2,0,0,0,0
XIST,43,11,2,2,23,85
ZNF688,131,108,137,117,155,77
LOC645266,2,0,1,0,2,5
RPS15AP39,0,1,0,0,2,0
RPL12P34,0,0,0,0,1,0
DUTP4,0,0,0,0,0,0
PET100,1072,891,629,483,715,435
KHSRPP1,0,0,0,0,0,0
MTATP6P13,0,0,0,0,0,1
EMX2OS,12,45,7,14,18,9
ARSD-AS1,7,9,6,8,3,5
PGA3,1,0,0,0,0,8
RPL19P2,0,1,0,0,4,0
RPL31P54,0,0,0,0,0,0
STEAP3-AS1,2,3,3,2,4,1
LOC101927762,0,0,0,0,0,0
RPL21P89,0,0,0,0,1,0
RPSAP20,1,0,0,0,0,0
OGFR-AS1,30,33,15,13,15,6
CASC20,2,1,0,0,2,1
IMMTP1,0,0,0,0,0,3
HNRNPA1P6,2,0,0,1,1,1
ACTP1,1,0,0,0,0,0
LINC01315,39,24,10,12,3,3
GK3P,3,2,0,0,1,1
SEPTIN7P7,0,0,0,0,0,2
HCG23,0,0,0,0,0,0
TRIM60P16,0,0,0,0,0,0
RPS10P8,0,1,0,0,0,1
DOCK9-AS1,0,0,0,0,0,0
RPS4XP5,6,14,0,2,3,12
KIF25-AS1,0,3,0,0,2,2
FAM90A26,0,0,0,0,55,46
TRIM39,4,0,0,0,0,0
MTCYBP9,0,0,0,0,0,0
PRPS1L1,0,0,0,0,0,0
PDE11A-AS1,1,3,0,0,1,0
FLJ31356,55,40,44,49,59,53
MTND2P2,11,34,8,2,21,31
RPS3AP7,0,1,0,0,0,1
LOC100419784,0,0,0,0,0,0
IQCF3,0,0,0,0,0,0
RPL26P22,0,0,0,0,0,0
TOB1-AS1,98,49,48,51,62,25
LINC01435,1,3,2,1,2,0
RPL18AP5,0,0,0,0,0,1
AKR1B1P1,1,1,1,0,1,1
RPL5P4,8,16,35,22,18,33
PPP1R18,1478,774,419,397,748,374
LOC100287704,0,0,0,0,0,0
ALMS1-IT1,106,88,81,94,39,76
HCG14,3,0,0,1,2,3
ANKRD36BP2,186,180,245,296,108,173
MTCO2P3,0,0,0,0,0,0
CT70,0,0,0,0,2,2
HLA-F-AS1,18,31,20,9,16,11
PPIAP39,0,0,0,0,0,4
NHS-AS1,1,0,0,0,0,0
LOC101928626,108,110,133,199,212,191
LINC02800,4,4,0,3,0,1
POTEB2,0,2,0,0,0,1
PSMB8,840,586,455,372,768,441
LINC00364,2,2,0,0,3,0
AK3P3,5,4,7,14,52,33
CDK8P1,0,0,0,0,0,0
HIGD2AP1,1,3,0,0,2,0
MTND3P2,1,0,0,0,0,0
TEX53,0,0,0,0,1,0
ANKRD66,3,2,0,0,5,2
FAM197Y3,0,0,0,0,0,1
LRRC37A15P,45,56,28,51,58,79
RPL4P6,78,59,32,71,99,107
RPL10P6,1,0,0,2,1,0
MTAPP2,0,0,0,0,0,2
HSPE1P28,7,2,2,5,1,9
PRRT3-AS1,48,24,81,105,15,6
VN1R96P,0,0,0,0,0,0
LOC100418885,0,1,0,0,0,0
KRT16P5,0,0,0,0,0,0
TCERG1L-AS1,0,0,0,0,7,7
TRBV5-4,0,0,0,0,0,0
LINC02028,9,15,5,5,66,46
SNRPCP15,0,0,0,0,0,0
TNF,2,7,0,0,0,0
LINC02643,0,0,0,0,0,1
H3P11,0,2,0,0,1,0
AGBL4-AS1,0,0,0,0,0,0
TPRG1-AS2,1,0,0,0,0,1
RPS3AP11,0,0,0,1,0,0
ACBD6,633,395,1284,1329,1711,1425
EEF1A1P39,0,0,0,3,0,0
FGF12-AS2,0,0,0,0,0,0
IER3,4727,2539,2940,2726,3850,2257
MTND2P39,0,0,0,0,0,0
LINC01721,2,3,0,0,2,3
HLA-DOA,0,1,0,0,443,345
FLOT1,195,113,107,118,114,85
HOXB-AS1,0,0,0,0,0,0
LOC102725019,0,0,0,0,0,0
LINC00443,0,1,0,0,0,0
MTND1P28,0,0,0,0,0,0
CT45A11P,2,4,1,1,1,0
RPL30P16,0,0,0,0,0,0
RPL22P18,0,0,0,0,1,0
LINC01790,1,0,0,0,1,2
LINC01149,0,0,0,0,2,0
RPS13P1,1,0,0,0,0,0
LINC01433,13,6,4,8,3,4
OR4F3,10,11,7,9,24,54
RPL12P49,0,0,0,0,0,0
RPL21P83,0,0,0,0,0,0
LOC105375556,0,1,0,0,0,0
RPL34P35,2,0,1,1,1,0
DDX43P3,0,0,0,0,0,0
LOC646216,0,0,0,0,0,0
RPL4P5,3,0,0,5,1,2
IFNNP1,0,0,0,0,1,2
LOC100133286,3,2,1,0,3,6
OR8V1P,0,0,0,0,0,0
FTLP18,0,0,0,0,0,0
LINC01840,23,9,25,16,21,11
CIBAR1P2,2,3,1,1,2,0
LOC643342,5,5,0,0,3,0
PHBP9,3,1,0,1,2,5
MTND5P14,2,8,9,5,4,6
H3P1,0,0,0,0,0,0
TRIM26,0,0,0,0,0,0
FMO7P,0,0,0,0,0,2
HLA-V,1,4,3,3,1,0
SPATA31C1,3,3,0,3,1,4
HNRNPH3P1,0,0,0,0,0,0
LINC01753,0,0,0,0,0,0
PHBP4,5,4,10,6,2,4
MTND2P4,0,0,0,0,0,0
HLA-E,6521,4144,2248,2010,3172,2084
NFE4,0,1,0,0,1,1
OR52J2P,0,0,0,0,1,0
LINC02603,2,3,0,2,1,3
XXYLT1-AS2,0,0,0,0,1,0
SSU72P8,0,0,0,0,0,0
LINC02525,166,192,291,338,1354,1222
PGAM1P3,0,0,0,0,0,0
SERBP1P4,0,0,0,0,0,0
RPL7P61,0,0,1,0,0,0
RPS12P24,0,0,0,0,0,0
RPL26P32,2,1,0,1,0,0
NAALADL2-AS3,0,0,0,0,0,0
MSH5,15,13,0,14,0,38
OR5H6,0,0,0,0,0,1
MTND3P4,0,0,0,0,1,0
LOC102724057,4,7,0,1,3,0
OR6C5P,1,1,0,0,0,0
ELOVL2-AS1,15,24,1,1,9,1
FEZF1-AS1,2,5,1,1,5,7
LINC01284,0,0,0,0,0,0
XRCC6P3,0,1,0,0,0,0
TTLL1-AS1,7,2,8,10,5,6
MTCO2P27,0,0,0,0,0,0
LINC01734,0,0,0,0,0,0
HMGN1P33,0,0,0,0,0,0
MTCO1P42,0,0,0,0,0,0
RNF39,29,22,3,0,191,65
POU5F1,0,0,0,0,0,1
EXOSC10-AS1,29,24,8,1,5,11
PPP1R18,0,273,0,115,274,102
FANCD2P2,0,0,0,0,0,0
RPL35AP3,0,0,0,0,0,0
NCAPD2P1,650,566,564,502,809,518
SPDYE21,0,0,0,0,0,0
TPI1P2,72,22,9,22,24,31
DDX10P2,1,3,0,0,1,1
VN1R32P,0,0,0,0,0,0
ACTG1P23,1,2,0,0,0,0
RPL4P3,0,0,0,0,0,0
DSCR9,219,153,70,61,93,48
FAM41C,96,38,27,80,87,75
RPL23AP52,1,2,0,0,1,0
KARS1P2,71,56,49,56,121,74
GOLGA6L17P,210,213,171,226,760,591
MEMO1P4,1,0,0,1,0,3
RPL6P19,5,1,1,3,6,2
RPSAP25,3,1,0,0,0,2
LOC402279,2,0,0,0,0,0
LOC100505664,0,0,0,0,0,0
HCP5,0,104,0,0,0,46
LINC01048,0,0,0,0,0,0
RPSAP23,0,1,1,0,0,0
LOC101928336,75,61,74,60,121,93
ANAPC1P3,0,0,0,0,0,0
SPTLC1P1,18,3,10,4,8,4
RBBP8P1,0,0,0,0,1,1
LINC01972,0,2,0,0,0,0
RPS3AP52,0,0,0,0,0,0
RPL23P5,0,0,0,0,0,0
LOC100419513,0,0,0,0,0,0
BZW1-AS1,0,1,0,0,0,0
OR3D1P,1,0,0,0,0,0
HLA-G,0,0,0,0,0,0
HLA-DQB1-AS1,0,0,0,0,0,0
OR5M4P,0,1,0,0,0,3
LINC00595,10,11,0,0,5,6
EMC1-AS1,8,4,1,1,10,6
LINC01036,60,82,114,110,473,499
ALG14-AS1,3,0,0,0,4,1
ASB15-AS1,4,1,0,0,2,1
LRRC37A6P,11,8,2,0,8,11
CTF2P,0,2,0,0,0,0
LINC00276,2,3,0,0,2,15
RPL7P4,2,0,4,2,3,0
RPS29P6,0,0,0,0,0,0
LINC01381,0,0,0,0,1,0
ANKRD18B,28,51,188,296,537,803
DDR1,1480,1064,983,672,2772,2083
PROX1-AS1,146,96,47,64,154,170
HLA-DRB3,0,0,0,0,2,0
RNF39,0,0,0,0,20,94
RPL5P26,0,0,0,0,0,0
ABHD16A,209,105,126,50,85,45
OFD1P9Y,0,0,0,0,0,0
RPL34P11,2,0,0,0,0,0
OR51A10P,2,5,15,6,8,11
PSMG3-AS1,132,109,14,31,110,91
VAV3-AS1,0,1,0,0,0,0
LOC100286962,0,2,0,0,0,0
MTCO2P7,0,0,0,0,0,0
EEF1B2P8,0,0,0,0,0,0
RPL7AP8,2,0,0,0,1,0
RPL19P21,0,0,0,0,1,0
PPP5D1,10,18,22,38,21,18
THAP7-AS1,63,47,29,21,35,29
HMGB1P49,0,0,0,0,0,0
LOC648442,0,0,0,0,0,0
MBD3L2,1,2,0,0,1,0
LINC01756,3,1,0,0,4,3
COL6A4P1,37,23,7,9,33,92
