gene_name,G401_BRD9_KO_rep1,G401_BRD9_KO_rep2,G401_LacZ_rep1,G401_LacZ_rep2
LOC101928489,23,18,24,35
RPS8P6,0,0,0,0
COA6-AS1,12,10,7,14
LINC01704,1,0,0,0
OR7E111P,0,0,0,0
LINC01307,13,13,18,16
LINC00410,3,4,0,3
OR2J2,0,0,0,0
HLA-DQB1-AS1,0,0,0,0
HLA-DRB3,0,0,0,0
LINC01891,0,0,0,0
LOC101927136,21,9,12,15
RPL21P43,0,0,0,0
LINC01090,3,2,1,2
BMS1P13,4,22,44,0
CDY23P,0,0,0,0
LINC02789,0,1,0,0
LINC-PINT,102,89,55,107
VN1R110P,0,0,1,2
ARHGEF9-IT1,0,0,0,0
LINC02570,0,0,0,0
RPS2P18,0,0,0,0
PPP1R10,0,0,0,1
TSPAN19,5,0,8,3
LINC01273,5,6,3,2
ABCA9-AS1,0,0,0,0
EMBP1,13,16,20,8
PQLC1P1,0,0,0,0
PPP1R11P2,0,0,0,0
MTCO2P5,0,0,0,0
RPS27AP5,2,0,0,0
LINC01354,20,24,24,31
LINC01611,0,0,2,0
MTND4P21,0,0,0,0
LINC00575,0,0,1,0
DBIL5P,9,21,5,16
H2BP9,0,0,0,0
RPL31P50,0,1,0,0
PIK3CD-AS2,59,58,62,59
RPL21P85,0,0,0,0
RPL36AP35,0,0,0,0
LOC101927888,0,0,0,0
SNRPCP9,0,0,0,0
LINC00210,0,0,0,0
LINC01198,0,0,2,2
NPM1P48,0,0,0,0
HLA-DQA1,0,0,0,0
AKAIN1,0,0,0,0
PRRC2A,0,0,0,0
LINC01819,23,19,28,14
LOC343052,0,0,0,0
MTHFD1P1,0,0,0,0
HLA-A,0,0,0,0
LINC01149,1,0,1,0
DPY19L4P2,0,0,0,0
HMGB3P14,1,3,1,3
UBE2V2P4,0,0,1,0
MRPS9-AS1,2,1,2,1
CYP21A2,1,0,2,2
LOC105373805,0,0,0,0
MDC1-AS1,0,0,0,0
OR5K2,0,0,0,0
LOC100652967,0,0,0,0
KRT17P3,0,0,0,0
IPO9-AS1,1,6,10,4
LOC102723536,0,0,0,0
TXNL1P1,0,0,0,0
F10-AS1,1,2,3,4
PRH1,2,4,0,8
TRAF3IP2-AS1,87,64,59,94
DARS1-AS1,77,32,43,72
MYO3B-AS1,8,8,8,9
GOT2P1,0,0,0,0
LOC105375971,0,0,0,0
IDH1-AS1,18,9,6,18
GAMTP2,0,0,0,2
TPRKBP1,0,0,0,0
RARRES2P3,0,0,0,0
SALL4P5,0,0,0,0
LOC730100,4,5,6,5
NEBL-AS1,5,8,2,12
PSG1,468,410,765,944
TAPBP,116,79,68,89
HMGB3P31,1,0,1,1
HLA-DQB1,0,0,0,0
RPS7P3,1,1,0,0
PGM5P4-AS1,0,0,0,1
PHKA1-AS1,1,0,0,1
VARS1,1507,1256,1336,1289
HS1BP3-IT1,0,0,2,2
MTND2P22,0,0,0,0
GNAI2P2,0,1,1,0
LOC102724323,0,0,0,0
RPL17P29,0,0,0,0
UBD,0,0,0,0
MMADHC-DT,15,11,22,25
CT69,0,0,0,1
RPL7L1P12,0,0,0,0
LOC107985113,0,0,0,0
LINC01787,3,0,0,1
PPP1R2B,0,0,0,1
LOC643630,13,16,7,7
LRRC8C-DT,60,28,32,51
CLCN3P1,9,2,5,3
LINC01880,0,0,0,0
CAP1P2,0,0,1,0
PBX2,1012,911,1149,1088
DNMT3L-AS1,2,0,1,0
LEF1-AS1,2,6,5,3
LINC01807,0,0,0,0
LOC102725019,0,0,0,0
ELOCP15,0,0,0,0
LOC100129573,0,0,0,0
RPL21P29,0,0,1,0
DEFT1P2,0,0,0,0
ZBED9,102,132,79,143
PSMD10P3,0,0,0,0
LOC107985629,0,0,0,0
LINC01798,0,0,0,0
HNRNPCP9,0,0,0,0
LOC101928475,0,0,0,0
HLA-DQA1,0,0,0,0
USP9YP33,0,0,0,0
LINC01063,0,1,1,2
RPS29P28,0,0,0,0
TMEM253,19,18,10,12
MRPL35P2,2,1,1,0
LINC01031,0,1,0,1
LINC01697,15,5,7,16
LOC102725019,1,0,0,0
RPS6KA2-IT1,3,9,7,4
RPL31P7,0,0,0,0
LINC01104,1,1,3,9
HCFC2P1,0,0,0,0
LINC01653,4,8,11,7
MTCO3P2,0,0,0,0
RFX3-AS1,18,11,35,18
TSBP1,0,0,0,0
VN1R54P,0,0,0,0
TMA7,2862,2353,2019,2242
TEX50,0,0,0,0
MCTS1,511,423,408,453
DYTN,0,0,0,0
HLA-B,216,151,143,146
PSORS1C2,0,0,0,0
MTCO3P45,0,0,1,1
NCOA7-AS1,0,0,0,0
NDFIP2-AS1,0,0,0,0
IMPDH1P10,0,0,0,0
RPS15AP12,3,0,1,0
IFNWP5,0,0,0,0
LINC00867,0,1,0,1
RPL26P24,0,0,0,0
FMO11P,0,0,0,0
FERP1,3,0,3,15
MTCYBP15,0,0,0,0
C11orf98P1,0,0,0,0
RAB9BP1,0,0,0,0
RAP2C-AS1,57,41,53,71
RPLP1P13,0,0,1,0
LINC01873,589,460,576,630
VN1R30P,0,0,0,0
RPL9P10,1,0,0,0
P2RY10BP,0,0,0,0
ABCF1,149,55,60,80
LINC00708,0,0,0,0
RPL19P15,0,1,0,0
RPS6P10,0,1,5,5
MTND4P24,0,0,1,0
MTATP6P29,0,0,0,1
SLC44A4,2,2,0,14
LINC02181,2,4,3,3
KIF26B-AS1,0,0,0,0
TOMM22P2,0,0,0,0
MTRNR2L4,14,10,11,22
LOC102724511,0,0,0,0
MTCO2P34,0,0,0,0
RPL3P8,0,0,0,0
LINC01701,1,0,1,0
OR2L6P,0,0,0,0
IGHV3-43,0,0,0,0
FTLP8,0,0,0,0
CNN2P10,1,0,0,0
LINC01047,0,0,0,0
LOC112268441,0,0,0,0
LINC00865,0,0,0,0
LINC02043,46,41,55,73
CDY3P,0,0,0,0
ASCL5,4,11,10,9
MUCL3,0,0,0,0
CSF2RBP1,0,0,0,0
DDX39B-AS1,4,0,0,0
TMEM114,0,0,0,0
LOC100422548,0,0,0,0
KRTAP25-1,0,0,0,0
USP17L24,0,0,0,0
LINC02805,2,3,9,5
ACTR3P2,0,0,0,0
OR52I1,0,0,0,0
SLC30A6P1,0,1,0,0
FLOT1,0,0,32,0
MTND1P32,0,0,3,0
HSD17B3-AS1,0,0,0,0
GNG12-AS1,148,131,109,121
ELOBP3,0,0,0,0
SLC6A1-AS1,0,0,0,0
OR11A1,4,3,2,2
ALDH7A1P2,0,0,0,0
LNCPRESS1,6,5,4,5
DFFBP1,2,2,2,2
DAOA-AS1,0,0,0,0
MUCL3,0,0,0,0
LOC101928304,0,0,0,2
GPANK1,245,206,199,216
LINC02518,0,0,0,0
TAP2,0,0,0,0
LOC100419739,0,2,1,3
RPS27AP2,2,3,0,1
LOC100131736,0,0,0,0
NOTCH4,10,5,5,5
RPL4P2,0,0,1,0
LOC102725019,0,0,0,0
LOC100419436,5,8,5,4
RPS17P16,0,0,0,1
HLA-DQB1-AS1,0,0,0,0
SEMA3B-AS1,5,4,5,4
LOC100288724,0,0,0,0
VDAC1P9,0,0,0,0
TAP1,3070,2622,1980,2175
MTCYBP3,0,0,1,0
GPR79,1,0,0,0
LOC101928386,2,0,0,0
RPL22P23,0,0,1,0
OR52U1P,0,0,0,0
OR5K1,0,0,0,0
RPL23P7,0,0,0,0
RPS3AP25,1,0,1,0
SMIM26,431,335,326,373
GOT2P7,0,0,0,0
RPL5P6,1,0,0,0
OR10C1,1,0,0,0
TMPRSS11CP,1,0,1,3
USP17L13,0,0,0,0
RAD17P1,0,0,0,0
LINC00112,0,0,0,0
RPL27P5,0,0,0,0
LOC101928402,3,1,5,3
CYP21A2,0,0,0,3
BPESC1,0,0,0,0
TTTY19,0,0,0,0
USP9YP29,0,0,0,0
RPL21P131,0,0,0,0
RPL31P15,0,0,0,0
LOC100289656,0,0,0,0
AJM1,154,109,78,101
RPL18AP7,5,3,6,4
MHENCR,97,89,91,116
MTND5P3,0,0,0,0
RPS2P14,13,17,21,18
LINC02777,0,0,0,0
LINC01450,1,0,1,0
OR4F14P,0,0,0,0
RPL13P7,0,0,0,0
H3P31,0,0,0,0
EEF1B2P3,0,0,0,0
HSFY5P,0,0,0,0
KRT8P52,1,1,2,1
TGFB2-AS1,1,0,0,0
OSBPL10-AS1,16,8,14,9
LOC100421402,0,0,0,0
RPL21P25,0,0,0,0
CSPG4BP,0,0,0,0
GCSIR,0,0,0,0
VDAC1P13,2,0,2,0
LSP1P5,10,4,11,15
LOC100289473,3,1,1,0
LIF-AS1,6,6,1,11
KMT5AP2,0,0,0,0
LINC00945,0,0,0,0
RPL36P19,0,0,0,0
COL11A2,92,74,81,92
LINC01809,0,0,0,0
MTCO1P14,0,0,0,0
PRCPP1,0,0,0,0
KCND3-IT1,0,0,0,0
TPMTP3,0,0,0,0
CRB3P1,0,0,0,0
MRTFA-AS1,11,11,11,15
GABBR1,10,11,10,0
RPL3P4,0,0,0,0
TUBB,32779,27621,25913,28272
LOC100533629,0,2,0,2
MTCO1P27,0,0,1,1
LOC100419791,0,0,0,0
GPR143P,0,0,0,0
KIAA1614-AS1,13,19,3,11
EEF1A1P3,4,3,6,5
LINC01646,0,0,0,0
RPL31P35,1,0,0,0
TSPY17P,0,0,0,0
C4BPAP2,0,0,0,0
C10orf126,2,0,0,0
RPL23AP31,0,0,0,0
LOC100420423,2,0,1,3
LOC101927143,2,3,6,3
MTND2P23,0,0,0,0
GABBR1,0,0,0,0
MOG,0,2,0,0
LINC01431,6,8,8,11
LINC01780,0,0,0,0
GOLGA8N,92,75,121,94
LINC01656,0,0,0,0
IDI2-AS1,0,2,0,5
CFTR-AS1,0,0,0,0
ZNF687-AS1,7,8,15,12
ACTG1P21,1,0,0,0
ADH5P2,0,0,0,0
LINC00665,84,51,65,73
SPTLC1P4,0,0,0,0
ATP11A-AS1,1,0,5,4
LINC00442,0,0,0,0
LINC01628,0,0,0,0
ZNRD1ASP,139,116,96,119
ELOCP17,0,0,0,0
AP1B1P2,0,0,0,0
KIZ-AS1,8,9,15,17
TRIM51JP,0,0,0,0
RPS17P7,0,0,0,0
TRIM80P,5,4,8,7
LOC101926943,34,21,23,32
LINC01826,0,0,0,0
USP9YP16,0,0,0,0
LINC02022,0,0,0,0
RPL26P11,0,0,0,0
MTCO3P21,1,2,3,0
HCG27,14,6,26,0
LOC100506178,149,98,113,110
LOC100859919,0,0,0,0
TRIM60P8Y,0,0,0,0
LOC100421746,0,0,0,0
KIAA1143P2,0,0,0,0
LOC105378499,1,0,0,0
LOC107985097,0,0,0,1
MTND4P22,0,0,0,0
DEFB130D,0,0,0,0
FLJ22447,444,384,476,544
BMS1P22,92,74,104,111
RPL23AP50,0,0,1,0
ITGA6-AS1,0,0,0,1
LINC01162,0,0,0,0
FTH1P25,1,1,0,1
SCAND3P1,2,2,0,2
SLC7A15P,0,0,0,0
SDCBPP3,0,0,1,0
SLCO4A1-AS1,9,6,10,3
HSPA1B,190,0,365,257
TTTY20,0,0,0,0
LINC01717,0,0,0,0
COL4A2-AS1,0,0,0,0
RPS2P32,30,18,28,32
LOC100129620,0,0,0,0
GSTO3P,0,0,0,0
LMLN-AS1,0,0,4,1
LINC01700,0,0,0,0
PET117,196,183,156,160
TRIM39,0,0,0,0
BRWD1P3,0,0,0,0
KAT7P1,0,0,0,0
SNX18P2,10,10,7,9
SLC25A6P3,0,0,0,0
PTGES2-AS1,30,38,27,44
RPL34P27,0,0,0,0
LYRM9,176,124,113,171
SMG7-AS1,18,13,21,23
NUCKS1P1,0,0,0,0
RPL36AP34,0,0,0,0
SEC1P,2,10,5,2
CTAGE3P,5,4,4,3
DPYD-AS1,1,0,0,0
NDUFB4P10,0,0,0,0
RPS10P21,0,0,0,0
RPLP0P5,0,0,0,0
RPS11P5,11,5,6,5
RGS5-AS1,0,0,2,0
LOC101929413,0,0,0,0
LINC01166,2,4,4,11
LOC100132609,0,0,0,0
LOC100533634,3,0,2,3
DLGAP4-AS1,2,16,12,5
PLCE1-AS2,0,1,1,3
RPL21P26,0,0,0,0
MTND6P24,0,0,0,1
ELOCP4,0,0,0,0
RPL8P5,7,2,2,3
RPL23AP87,1,7,6,6
LOC107987013,0,0,0,0
OR2J2,0,0,0,0
DEFB130A,0,0,0,0
LOC401957,1,0,0,0
LINC00374,0,0,0,0
SNHG15,310,214,185,178
HLA-DOA,0,1,0,0
HLA-DOA,0,27,21,0
LINC01737,0,0,0,0
RPS12P18,0,0,0,0
EIF4EP4,0,0,0,0
CYP1B1-AS1,4005,3503,2950,3199
MTCO1P57,0,0,0,0
TRIM60P10Y,0,0,0,0
LINC00327,3,3,6,1
MTCO1P51,0,0,0,0
MTCO1P45,0,0,0,0
MTATP6P7,0,0,0,0
GACAT1,0,0,0,0
AHCYP4,1,0,0,0
RGS5,43,22,19,36
MIR3936HG,48,44,37,49
LOC101927560,6,7,8,6
HDAC1P2,5,2,3,2
TBC1D3P7,0,0,0,0
SLC25A6P1,0,0,0,0
SNHG7,596,515,473,498
MTCO1P5,0,0,0,0
LOC100996318,7,1,0,7
LOC100287498,0,0,0,0
MTND5P30,0,0,0,0
PHGR1,0,0,0,0
OR5V1,0,0,0,0
LINC01722,19,15,8,13
DHX16,15,20,22,9
ERVH48-1,10,10,6,10
EEF1A1P14,5,3,2,4
ZFY-AS1,0,1,0,1
RPSAP59,0,0,0,0
RPS15AP6,0,1,0,3
DDAH2,678,625,766,796
LINC01271,4,0,5,0
LINC01755,0,0,0,0
LINC01399,0,0,0,0
FTH1P6,0,0,0,0
RPL23AP25,0,0,0,9
LNCARSR,18,5,3,18
RAB6D,0,0,0,0
LINC00892,0,0,0,0
HLA-G,0,1,0,1
LOC339260,290,227,198,260
HOXB-AS3,52,28,40,37
RPL12P3,0,0,0,0
SUCLA2P2,0,0,0,0
FAM90A11P,1,0,1,2
USP9YP15,0,0,0,0
VN1R20P,0,0,1,2
CTAGE7P,27,33,19,27
LINC01007,2,0,1,1
LINC00456,0,0,0,0
ACTBP12,0,1,0,0
RPS15AP14,0,0,0,0
MTND3P17,0,0,0,0
RPS27P18,0,0,0,0
USP17L11,0,0,0,0
PSMB8-AS1,10,10,2,11
LOC728660,0,0,0,0
BPIFB5P,0,0,0,0
SYF2P2,0,0,1,1
CYP21A2,0,0,0,0
UBE2E2-AS1,0,0,0,0
LINC01762,1,1,2,1
HSFY8P,0,0,0,0
LOC100419506,0,5,0,1
RPS24P6,0,0,0,0
RPL31P16,0,0,0,0
RPS12P17,0,0,0,0
C6orf136,13,18,27,0
EEF1A1P26,1,0,0,1
VN1R34P,0,0,0,0
LOC107985040,7,5,8,8
OR7E157P,0,0,0,0
LOC102606465,176,118,134,101
KLF4P1,1,1,1,0
HLA-DQA1,0,0,0,0
LOC100131939,0,0,0,0
RNF224,17,14,15,14
MAPRE1P3,0,0,0,0
RPS3AP1,0,0,0,0
LINC00642,0,0,0,0
HLA-DQB1,0,0,0,0
GPANK1,0,0,0,0
LINC01687,1,0,6,4
MROH3P,0,1,0,0
LOC100996842,28,33,27,17
LPCAT2BP,2,0,0,1
HNRNPA1P49,22,21,12,20
LINC00472,0,0,1,0
DEFA9P,0,0,0,0
PHC2-AS1,0,0,1,1
MTND6P9,0,0,0,0
LOC100129434,531,467,470,546
CRIP1P1,0,0,0,0
RPL21P134,0,0,0,0
RPSAP63,0,0,0,1
FAM238A,0,4,2,2
LOC105376116,0,0,0,0
HMGB1P31,5,4,3,2
AMMECR1LP1,0,0,0,0
GPX1,2,2,0,3
LINC01728,0,0,0,0
MTCYBP10,0,0,0,0
MTND3P10,0,0,0,1
RPL27P11,0,0,0,0
LOC101928401,14,9,13,7
RPL7AP61,0,0,0,0
TMEM18-DT,10,7,9,15
EIF4A1P1,0,1,0,1
OR4C14P,0,0,0,0
XXYLT1-AS1,1,0,0,0
TRGV2,0,0,0,0
SRSF3P6,0,0,0,0
OSTN-AS1,23,14,21,25
RPS6P12,0,0,0,0
MTCO1P54,0,0,0,1
C4B_2,24,7,0,0
DSCR10,0,0,0,0
LINC02669,0,0,0,0
TNXB,0,0,0,0
EEF1A1P34,0,0,0,0
USP32P2,73,56,70,78
RPS16P3,0,0,0,0
RPL36AP14,0,0,0,0
UBE2FP3,11,9,9,4
TLR8-AS1,0,0,3,2
ATP6V1G1P4,5,0,1,0
MSH5,124,118,166,215
BAG6,0,0,0,0
RPS7P9,0,0,0,0
LINC00028,0,0,0,0
CHRM3-AS2,0,0,0,0
PDXP-DT,2,6,6,3
LOC101929297,0,0,0,0
GTF2IP4,1864,1757,1321,1671
ACTR1AP1,1,0,0,0
USP9YP34,0,0,0,0
RPS2P48,0,0,0,0
NKAPP1,0,0,0,1
CNIH3-AS2,0,0,0,0
MTCO3P8,0,0,0,0
UICLM,0,0,0,0
LOC105369306,60,47,55,50
LINC01648,0,0,0,0
PRKAR1AP1,0,0,0,0
RPS2P8,2,3,2,5
FANK1-AS1,0,0,0,0
OR5H15,0,0,0,0
RPS25P3,0,0,1,1
LINC01783,1,0,0,0
KRT18P67,0,0,0,0
EIF3FP3,404,293,335,385
PPIAP65,0,0,0,0
HOTAIRM1,143,142,137,190
MTIF2P1,2,0,0,3
BTBD18,10,10,4,8
LOC100130849,0,0,0,0
PSORS1C1,0,0,0,4
CYP2AB1P,0,0,0,0
RPL17P11,0,0,0,0
PDK1P2,0,0,0,0
MTATP6P14,0,0,0,0
STXBP5-AS1,42,32,36,22
LOC729532,0,0,0,0
ST6GALNAC4P1,4,2,1,3
KRT18P62,2,1,2,1
PPIAP38,0,0,0,0
LINC01683,0,0,0,0
FHAD1-AS1,7,3,4,9
RPSAP69,1,1,0,0
PAXBP1P1,0,0,0,0
GPSM3,0,9,0,0
LOC100128317,0,0,0,0
TMEM238,1,1,0,0
SYNJ2-IT1,0,0,1,0
HNRNPLP1,1,0,2,2
LINC01518,0,0,0,1
RPL7P35,0,0,0,1
LINC01638,17,9,9,4
PHBP5,0,2,0,0
ZNF529-AS1,57,63,66,60
DEFA10P,0,0,0,0
LINC00460,0,0,0,0
MKNK2P1,0,0,0,0
LOC105378013,0,0,0,0
LOC730338,4,4,5,2
DNM3-IT1,1,0,0,0
EIF3KP2,0,0,0,0
MTCYBP8,0,0,0,0
RPL7AP46,3,5,3,5
LOC100287430,0,0,9,7
KRT8P39,7,1,4,5
DHX16,1550,1507,1033,1328
RPS3AP8,0,0,0,0
OR52E7P,0,0,0,0
PRR3,476,122,316,318
LOC101928797,0,0,0,0
LINC00690,0,0,0,0
TRIM31,0,0,0,0
KRT8P15,4,7,3,3
HLA-DPB2,0,0,0,0
LOC100420869,2,1,3,1
LINC01884,0,0,0,0
LINC02609,50,32,45,62
MTND2P29,0,0,0,0
RPL19P6,2,0,0,3
TRIM15,0,0,0,0
ERI3-IT1,5,5,6,4
JTBP1,0,0,0,0
LINC01851,0,0,0,0
LINC01392,0,0,0,0
TWIST2,177,159,169,179
LINC00462,0,0,0,0
DDX11L16,2,5,3,0
HNRNPA1P42,1,0,1,2
USH2A-AS2,0,0,0,0
LINC01137,4,5,3,5
CYP2T1P,12,10,5,12
PGAM1P11,1,0,1,3
LOC105373352,0,0,0,0
GOT2P5,0,0,0,0
PANTR1,0,0,0,0
KRTAP13-5P,0,0,0,0
GPR158-AS1,0,0,0,0
OR52T1P,0,0,0,0
NENFP1,0,0,0,0
LOC105376748,2,2,1,1
CALM2P4,0,0,1,0
LOC100420325,0,0,0,0
RPS8P9,2,0,0,0
PIRT,1,0,0,1
CENPNP1,3,6,4,2
ANAPC1P1,1,1,4,0
FDPSP6,0,0,0,0
HNRNPA1P27,1,1,1,0
CEACAMP1,1,0,2,0
OR6L1P,0,0,0,1
PIEZO1P1,0,0,0,0
ZNF622P1,0,0,0,0
EBAG9P1,0,0,0,4
C2-AS1,0,0,0,0
PBX1-AS1,0,0,0,0
LINC02579,0,0,0,0
PRR23C,5,0,5,5
RPL37P13,0,0,0,0
MTND4P28,0,0,0,0
LOC100288853,0,0,0,0
MYCNOS,6,2,1,7
GOT2P3,2,1,2,3
LOC105376276,22,19,20,18
LINC01122,328,235,327,353
LOC100421870,0,0,0,0
NRAD1,0,0,0,0
NCKAP5-AS1,2,0,1,0
PSORS1C1,0,0,0,0
RPL27P7,0,0,0,0
HLA-DQB1-AS1,0,0,0,0
LINC00656,0,0,0,0
CICP27,177,131,131,184
RPL21P36,0,0,0,0
DSCAM-IT1,0,0,0,0
LOC100506289,0,0,1,0
RPS15P4,2,0,0,0
MTCO1P20,0,0,0,0
PSMA6P3,0,0,0,0
MED14P1,0,0,0,0
LINC01251,1,0,1,1
LINC00367,0,0,0,0
PGBD3P2,0,0,0,0
LINC01136,4,3,6,7
POLR1H,0,0,0,0
TRIM49D2,0,0,0,0
TSPY4,0,0,0,0
LINC01237,14,9,10,7
H3P32,0,0,0,0
IFNA13,0,0,0,0
LCEP1,0,0,0,0
H2BC15,173,120,69,82
ZNF311,0,0,0,0
LOC100506098,0,0,0,0
EIF3LP2,0,1,1,0
RPS19P2,0,0,0,0
PCDH9-AS4,0,0,0,0
HLA-C,14,11,3,12
ERCC8-AS1,0,0,0,0
LINC01015,0,0,0,0
SLC9B1P3,0,0,0,0
RPSAP27,0,0,0,0
RPL7P44,0,0,1,0
MFN1P1,0,0,0,0
LINC01680,0,0,0,0
MTCO2P17,1,0,0,0
TCF19,0,0,109,242
PAIP1P1,0,0,0,0
EZR-AS1,0,0,0,1
PDYN-AS1,0,0,0,0
RPL17P35,0,0,0,0
LINC01503,422,338,377,420
LINC01761,35,31,43,55
UBE2V1P4,0,0,0,0
GTF2F2P2,0,0,0,0
RPL10P9,2,0,5,2
POTEB,0,0,0,0
RPS15AP40,0,0,0,0
LINC01694,101,67,97,79
RPSAP13,1,2,0,0
LOC101927502,0,0,0,0
RPS28,2220,1921,2014,2380
KRTAP5-AS1,0,4,0,1
TRIM40,0,0,0,0
CTXN2,0,0,1,0
CTC-338M12.4,244,166,262,306
RPL27AP4,0,0,0,0
RPL12P45,0,0,0,0
LINC02650,0,0,0,0
RPS29P4,0,0,0,0
ASS1P3,1,0,1,0
TRIM27,0,0,17,0
UQCRHL,7,11,5,19
AHCYP3,0,0,0,0
BTF3P6,0,0,0,1
LOC101928834,0,1,0,0
LINC01360,0,0,2,0
LINC02574,0,0,0,0
RPSAP14,0,0,0,0
LINC01681,0,0,0,0
DTD1-AS1,0,0,0,0
GDI2P2,0,1,0,0
LINC01425,0,0,0,0
MTATP6P27,7,5,4,5
GAPDHP22,1,0,2,0
DDX39B-AS1,0,0,0,0
RPL5P34,2,0,2,0
LINC02530,2,0,0,7
EIF2AK3-DT,45,35,43,43
TMEM97P1,1,1,0,0
RPS3AP44,0,0,1,0
VARS2,869,655,546,752
RAC1P8,0,0,0,0
NDUFA5P7,0,0,0,0
RPL10P12,2,0,1,0
TRIM26,322,260,261,96
FAM96AP1,0,0,0,0
LINC00463,0,0,0,0
CASKP1,0,0,0,0
MTND4P26,4,2,1,0
TAS2R62P,0,0,0,0
RPL5P10,1,0,0,0
PAGE2,0,0,0,0
GAPDHP53,0,0,0,0
SPATA17-AS1,0,0,0,0
LOC107986032,0,0,0,0
RPL35AP,0,0,0,0
TPRG1-AS1,0,1,0,1
DDR1,63,74,40,65
HCG27,0,0,0,0
RPS2P11,2,0,0,0
RPS15AP7,0,0,0,0
LOC105375297,0,0,0,1
RPS15AP11,1,1,1,0
MOG,0,0,0,0
SRP14P2,1,0,0,3
RPL7P36,1,0,0,0
TSPY25P,0,0,0,0
LINC02433,0,0,0,0
LEFTY3,0,0,0,0
CCHCR1,4,29,4,22
RPL13AP6,1,0,0,0
RHBDF1P1,7,5,5,5
EEF1GP8,0,0,0,0
TRIM26,0,0,0,14
AP2B1P1,1,0,1,0
RPL23AP83,0,0,0,0
MUC21,0,1,0,0
UGT1A13P,0,0,0,0
COX6CP13,0,0,0,0
NAP1L4P3,0,0,0,1
AKAP8P1,0,0,0,0
ELOBP1,0,0,0,0
HLA-DMB,48,0,0,0
LINC02535,0,0,0,0
RPEP2,0,0,0,0
PABPC5-AS1,0,0,0,0
MTND4LP11,0,0,0,0
ELOBP4,1,0,0,0
RNASEH1-AS1,273,204,176,196
LOC105378311,0,1,0,0
HSPA8P1,0,0,0,1
LINC01114,0,0,0,0
DEFA11P,0,0,0,0
MTCYBP1,0,0,0,0
LINC01781,0,0,1,1
C16orf82,0,0,0,0
AIMP1P1,0,0,0,0
ZBTB12,196,76,80,0
LINC01191,1,2,0,0
BMI1P1,0,0,0,0
H3P3,0,0,0,0
LOC101927914,1,0,1,0
FHP1,0,1,0,1
CT66,0,0,0,0
MICB,0,0,0,0
LIX1L-AS1,18,17,14,14
TMEM229A,0,0,0,0
NDUFS5P2,0,0,0,0
RPL7L1P1,0,1,3,0
ZFX-AS1,0,1,1,0
ANAPC1P4,98,110,63,110
MTCO2P8,0,0,0,0
CFL1P8,0,0,0,0
LOC149844,1,0,0,0
GPSM3,29,8,39,56
RPL7P13,0,0,1,0
PTCD2P2,0,0,0,0
SOD2P1,4,1,1,4
HSPA1L,0,3,3,8
MAP3K5-AS1,0,0,0,0
DEPDC1-AS1,16,18,4,13
LINC01723,0,0,0,0
LOC100421294,0,0,0,0
RPL36P20,0,0,0,0
SDR42E1P3,0,0,0,1
TSBP1,0,0,0,0
ZNF879,19,23,15,12
GAPDHP49,0,0,0,0
OR1AA1P,0,0,0,0
H2BS1,209,219,76,101
BACH1-IT3,0,0,0,0
CLYBL-AS1,0,0,0,0
LINC01878,0,0,0,0
SLC25A18P1,0,0,0,0
SAPCD2P4,0,0,0,0
RPS12P2,4,1,0,0
LINC01505,0,0,0,0
RPL9P2,0,2,3,0
MRPS10P2,0,0,0,0
ZNF232-AS1,73,43,40,47
RPL7AP16,5,14,21,12
CYCSP53,0,0,0,0
RPS4XP11,0,0,0,0
NEU1,3361,2863,2143,2513
OR11A1,0,0,0,0
LOC101926913,35,44,28,38
LOC349160,9,10,14,18
RPL7AP42,0,0,0,0
ELK1P1,0,0,0,0
LINC01914,0,0,0,0
PPIAP27,0,0,0,0
TATDN1P1,0,0,0,1
GTF2H4,215,179,120,165
RPSAP31,2,0,2,1
UBTFL2,0,0,0,0
OBI1-AS1,2,2,2,2
LINC01426,43,35,32,44
RCC2P1,0,0,0,0
OR7E162P,0,1,0,1
LOC101929022,0,0,0,0
USP27X-AS1,23,14,9,13
LOC440896,4,3,0,2
RBMY2XP,0,0,0,0
SPRYD7P1,0,0,0,0
CCDC188,27,9,23,25
HCG14,0,2,0,2
MPV17L2P1,0,0,0,0
RBMY1A1,0,0,3,0
RPL5P7,0,0,0,0
ZNF37BP,1002,810,929,1009
UBE2WP1,0,0,0,0
LINC01250,0,1,0,0
LOC100419824,89,73,52,64
ANKRD11P1,0,0,0,0
LOC100129484,54,66,38,32
VWA7,119,97,143,121
LINC01432,0,0,0,0
KBTBD13,0,0,0,0
KRT18P2,0,0,0,0
ZNF736,1,3,0,0
FGF14-AS1,0,0,0,0
RPL26P23,2,2,1,1
SLC16A12-AS1,0,0,0,0
MAGI2-AS3,23,7,12,33
OR7E130P,0,0,0,0
COX6CP12,0,0,0,0
PINLYP,7,4,8,11
CLDN34,0,0,0,0
ZNF101P2,1,1,0,1
MIR3663HG,0,0,0,0
HSPA1A,0,6,0,0
ACBD3-AS1,3,0,1,5
AP1B1P1,0,0,0,0
MTCO2P18,0,0,0,0
OR7E46P,0,0,0,0
HLA-F,0,6,9,0
RPL27P6,0,0,0,0
RPL34-DT,8,6,5,8
RHOXF1P1,0,0,0,0
SP2-AS1,55,27,60,34
TRIM27,830,561,809,800
ERICH3-AS1,0,0,0,0
RPL13AP20,2,12,5,9
LINC01506,0,0,0,0
BRD2,641,672,517,593
C5orf58,1,0,2,3
