gene_name,WT_A,WT_B,SMARCB1_Null-A,SMARCB1_Null-B,SMARCA4_Null-A,SMARCA4_Null-B,,,,,,,
OR4F3,0,0,1,0,2,0,,,,,,,
LOC105375556,0,0,0,0,0,0,,,,,,,
LOC100133286,14,21,12,8,7,24,,,,,,,
LINC01840,47,25,26,20,30,38,,,,,,,
FAM92A1P2,37,26,32,24,36,30,,,,,,,
TRIM26,7,0,0,0,0,0,,,,,,,
LOC554223,6,9,10,4,6,7,,,,,,,
LINC01753,0,0,0,0,0,0,,,,,,,
HLA-E,0,0,0,0,0,3,,,,,,,
MIRLET7DHG,0,0,5,4,2,3,,,,,,,
XXYLT1-AS2,5,0,3,2,2,0,,,,,,,
LOC100507194,3,5,2,3,4,2,,,,,,,
LTA,1,1,0,2,0,0,,,,,,,
NAALADL2-AS3,0,0,0,0,0,0,,,,,,,
MSH5,437,182,262,126,361,326,,,,,,,
OR5H6,0,0,0,0,0,0,,,,,,,
TRIM39,323,300,265,267,324,238,,,,,,,
FEZF1-AS1,36,32,166,144,177,136,,,,,,,
LINC01284,4,1,1,1,0,0,,,,,,,
LOC100506679,40,26,25,23,34,40,,,,,,,
LINC01734,0,0,0,0,0,2,,,,,,,
RNF39,17,18,43,29,19,17,,,,,,,
POU5F1,36,28,11,17,15,20,,,,,,,
LOC105376736,57,56,41,62,45,24,,,,,,,
PPP1R18,0,0,0,0,0,0,,,,,,,
CT47A8,0,0,0,0,0,0,,,,,,,
TPI1P2,163,132,247,249,259,183,,,,,,,
DSCR9,71,56,83,84,95,71,,,,,,,
FAM41C,80,37,111,87,78,75,,,,,,,
GOLGA6L17P,2062,1455,2219,2034,2355,1857,,,,,,,
LOC100505664,0,0,0,0,0,0,,,,,,,
HCP5,2,1,0,0,0,0,,,,,,,
LINC01048,4,1,4,0,0,2,,,,,,,
LOC101928336,271,164,213,166,231,223,,,,,,,
LINC01747,4,2,5,5,1,0,,,,,,,
LINC01972,29,15,38,20,37,22,,,,,,,
LOC101927795,5,9,4,6,5,5,,,,,,,
HLA-G,4,2,2,2,2,1,,,,,,,
HLA-DQB1-AS1,0,0,0,0,0,0,,,,,,,
LINC00595,7,13,10,12,11,10,,,,,,,
LOC101927895,23,15,32,27,26,24,,,,,,,
LOC101928098,2,3,1,1,3,2,,,,,,,
USP17L25,0,0,0,2,0,0,,,,,,,
LOC102724555,0,0,0,2,0,0,,,,,,,
LRRC37A6P,4,6,20,5,7,3,,,,,,,
LINC00276,145,108,113,85,125,108,,,,,,,
LINC01381,8,7,8,8,8,3,,,,,,,
ANKRD18B,2514,2415,2178,2228,4267,3026,,,,,,,
DDR1,22,20,9,23,19,17,,,,,,,
HLA-DRB3,0,0,0,0,0,0,,,,,,,
RNF39,16,0,0,0,1,0,,,,,,,
ABHD16A,1115,1153,907,1073,1417,956,,,,,,,
PSMG3-AS1,1145,896,734,685,1088,756,,,,,,,
VAV3-AS1,0,0,0,0,0,0,,,,,,,
OR10C1,0,0,0,0,0,0,,,,,,,
PPP5D1,159,124,133,153,165,157,,,,,,,
THAP7-AS1,369,273,271,259,428,378,,,,,,,
AGER,13,17,11,11,13,8,,,,,,,
MBD3L2,0,0,0,0,0,0,,,,,,,
LINC01756,1,2,3,2,1,1,,,,,,,
COL6A4P1,12,6,2,2,6,5,,,,,,,
LINC01799,1,0,0,0,0,0,,,,,,,
LOC100507103,25,16,15,7,16,15,,,,,,,
AOAH-IT1,0,0,0,0,0,0,,,,,,,
LINC00102,30,14,24,29,39,24,,,,,,,
USP17L1,1,3,7,4,9,5,,,,,,,
LOC101929441,1,6,8,3,3,4,,,,,,,
CCDC192,17,4,80,44,18,17,,,,,,,
ZNF32-AS2,77,68,58,65,80,80,,,,,,,
LOC105376365,0,0,0,0,0,0,,,,,,,
GTF2IRD1P1,33,8,22,7,19,17,,,,,,,
FTX,744,480,465,457,533,498,,,,,,,
CT47A4,0,0,0,0,0,0,,,,,,,
TEX48,0,0,0,1,0,1,,,,,,,
HCG23,0,0,0,0,0,0,,,,,,,
HM13-AS1,5,4,10,10,18,21,,,,,,,
DDX39B,3487,3450,2376,2625,3754,2717,,,,,,,
MIR214,24,8,20,11,187,28,,,,,,,
RGPD4-AS1,618,196,606,113,145,577,,,,,,,
PRB4,0,1,1,0,1,1,,,,,,,
KLHL7-AS1,298,180,205,174,288,273,,,,,,,
CEACAM22P,129,56,49,51,84,85,,,,,,,
SETSIP,21,29,15,31,27,20,,,,,,,
PSMB8,6,8,3,1,18,11,,,,,,,
LINC01015,0,0,0,0,0,0,,,,,,,
HLA-DQB2,2,1,2,1,0,1,,,,,,,
BRD2,438,374,323,387,436,360,,,,,,,
ENO1-AS1,38,28,25,30,44,35,,,,,,,
LOC105375266,0,0,0,0,0,0,,,,,,,
CLIC1,1677,1820,1298,1582,2713,2004,,,,,,,
CSNK2B,155,150,122,135,177,122,,,,,,,
FBXW4P1,16,16,24,17,22,18,,,,,,,
TAP1,517,440,592,724,1044,754,,,,,,,
LOC389895,223,231,40,34,269,147,,,,,,,
HLA-DPB1,30,18,30,27,27,16,,,,,,,
LINC00332,0,0,0,0,0,0,,,,,,,
LOC105376480,11,5,16,4,13,15,,,,,,,
LOC284798,1,2,0,1,0,0,,,,,,,
HLA-DRA,0,0,1,0,0,0,,,,,,,
LOC339666,75,48,42,35,59,24,,,,,,,
OR5V1,0,0,0,0,0,0,,,,,,,
MEIS1-AS2,11,6,7,9,4,5,,,,,,,
ZNF341-AS1,1,1,0,0,5,0,,,,,,,
HLA-DPB1,2,1,2,1,1,2,,,,,,,
LINC01676,13,2,3,3,1,12,,,,,,,
ANKRD63,101,59,37,17,157,153,,,,,,,
OR11A1,1,1,1,1,1,1,,,,,,,
LOC340512,4,1,2,0,2,6,,,,,,,
ARHGAP26-IT1,1,1,0,1,1,1,,,,,,,
LST1,1,3,1,2,1,0,,,,,,,
YY2,1344,1112,1236,1042,1513,1057,,,,,,,
FOXD3-AS1,242,205,291,243,393,334,,,,,,,
SRGAP2-AS1,49,8,18,25,22,25,,,,,,,
ZNF674-AS1,1690,1458,1235,1241,2017,1518,,,,,,,
OR2J3,0,0,0,0,0,0,,,,,,,
STMND1,124,67,44,53,61,55,,,,,,,
LINC00486,2,2,9,3,0,0,,,,,,,
MOG,3,0,7,0,4,11,,,,,,,
LINC00692,3,6,4,2,9,5,,,,,,,
ATP6V1G2,1,4,2,1,4,2,,,,,,,
FKBPL,286,256,227,284,335,214,,,,,,,
LOC101928307,323,204,343,170,4,3,,,,,,,
LOC105375972,0,0,0,0,0,0,,,,,,,
HAO2-IT1,0,0,0,0,0,0,,,,,,,
LINC00309,0,0,0,0,0,0,,,,,,,
TMBIM7P,0,0,0,0,0,0,,,,,,,
COL11A2,4,0,4,1,2,5,,,,,,,
MIR205,55,44,48,31,40,41,,,,,,,
LOC101927686,1,1,0,0,0,1,,,,,,,
LOC154449,0,0,0,0,0,0,,,,,,,
MSH5,309,342,189,289,293,370,,,,,,,
LINC01520,0,0,0,0,0,0,,,,,,,
LINC00160,0,0,0,0,0,0,,,,,,,
PSORS1C3,4,0,0,1,0,0,,,,,,,
VARS2,215,181,257,266,308,265,,,,,,,
HSBP1,17070,16236,10351,11341,16122,12223,,,,,,,
PPP1R10,1834,1511,1250,1330,1683,1088,,,,,,,
TRIM26,30,33,30,25,22,21,,,,,,,
MPIG6B,4,7,0,4,3,5,,,,,,,
LOC105370306,0,0,0,0,0,0,,,,,,,
HLA-DRB4,0,0,0,0,0,0,,,,,,,
LOC100130520,0,0,0,0,0,0,,,,,,,
LINC00271,51,25,32,19,51,44,,,,,,,
LINC01804,1,0,1,0,0,0,,,,,,,
HCG25,30,16,22,17,23,22,,,,,,,
NELFE,510,464,472,515,637,486,,,,,,,
LST1,1,3,2,3,1,11,,,,,,,
USP17L28,0,0,0,0,0,0,,,,,,,
LINC00395,3,0,8,4,8,4,,,,,,,
MIR92B,254,266,103,97,358,186,,,,,,,
KRTAP21-3,0,0,0,0,0,0,,,,,,,
MIR4422HG,1,0,0,1,0,1,,,,,,,
PSORS1C1,12,3,5,7,13,4,,,,,,,
LOC100506801,18,7,24,10,28,35,,,,,,,
LINC01508,0,0,0,0,0,0,,,,,,,
LOC105373343,0,0,0,0,0,0,,,,,,,
RING1,1000,772,622,670,1486,1106,,,,,,,
VARS,198,164,187,193,240,133,,,,,,,
LOC101927377,55,29,65,75,34,35,,,,,,,
ABCF1,2986,3034,2745,3522,3984,2657,,,,,,,
LINC01468,0,0,0,0,0,0,,,,,,,
HAR1B,4,0,1,10,2,4,,,,,,,
MDC1,321,257,163,192,361,313,,,,,,,
LOC105378533,0,0,0,0,1,0,,,,,,,
TTTY3,0,0,0,0,0,0,,,,,,,
KLF3-AS1,254,144,226,129,219,217,,,,,,,
CSMD2-AS1,0,0,0,0,0,0,,,,,,,
LINC01098,4,8,0,1,4,5,,,,,,,
LOC101927884,51,41,52,40,70,54,,,,,,,
LINC01720,5,5,7,5,9,8,,,,,,,
LINC00852,86,99,66,66,76,53,,,,,,,
MICB,276,203,226,257,338,296,,,,,,,
LOC101926941,0,0,0,0,1,0,,,,,,,
LOC102724593,84,39,181,83,119,100,,,,,,,
OR5H1,0,0,0,0,0,0,,,,,,,
PLSCR5,6,1,77,147,0,1,,,,,,,
GS1-600G8.3,0,0,0,0,0,0,,,,,,,
LINC01593,0,0,0,0,0,0,,,,,,,
MICA,702,407,633,646,639,634,,,,,,,
TRIM31-AS1,0,0,0,0,0,0,,,,,,,
PPP1R18,24,12,25,18,0,12,,,,,,,
LOC101926964,122,105,112,90,128,85,,,,,,,
LINC01640,1,1,0,0,6,2,,,,,,,
C17orf105,77,66,75,57,85,114,,,,,,,
ATAT1,763,663,486,426,692,479,,,,,,,
AGER,13,17,11,11,13,8,,,,,,,
SBK3,0,0,0,0,0,1,,,,,,,
HCG27,0,0,0,0,0,0,,,,,,,
HLA-DQB1,0,0,0,0,0,0,,,,,,,
APCDD1L-AS1,17,22,10,33,11,8,,,,,,,
LINC00704,4,2,4,1,2,0,,,,,,,
SGO1-AS1,153,124,116,98,119,90,,,,,,,
LOC653712,333,292,284,307,289,291,,,,,,,
LOC728730,595,409,472,375,520,494,,,,,,,
LTB,1,1,0,1,1,1,,,,,,,
OR2B3,0,0,0,0,0,0,,,,,,,
RXRB,135,114,105,104,202,169,,,,,,,
RPL13AP17,1,1,0,0,0,0,,,,,,,
LY6G5C,1,1,1,1,1,0,,,,,,,
LINC01816,88,67,102,110,152,106,,,,,,,
HCG25,31,15,21,17,22,21,,,,,,,
LOC101929147,1274,1055,1088,1077,1374,1162,,,,,,,
PRRC2A,144,149,73,104,143,124,,,,,,,
MICB,0,0,0,0,0,0,,,,,,,
GNA14-AS1,0,0,1,0,0,0,,,,,,,
DHX16,1186,1052,922,1087,1483,956,,,,,,,
FGF12-AS1,0,0,0,0,0,0,,,,,,,
HLA-DPA1,0,0,1,7,0,0,,,,,,,
USP17L10,0,0,0,0,0,0,,,,,,,
LTA,1,1,0,2,0,0,,,,,,,
LINC00689,25,13,13,5,12,27,,,,,,,
LINC01516,5,11,10,8,8,7,,,,,,,
LINC01445,0,0,0,0,0,0,,,,,,,
LINC00396,0,0,0,0,0,0,,,,,,,
LOC440910,84,79,116,144,103,67,,,,,,,
WASIR2,504,459,546,537,866,501,,,,,,,
PSORS1C3,0,0,0,1,0,0,,,,,,,
LINC01305,1,0,1,0,0,0,,,,,,,
LINC00441,35,6,14,8,33,52,,,,,,,
SLC44A4,5,1,3,2,1,1,,,,,,,
ABHD16A,23,27,28,33,14,18,,,,,,,
RPS18,20565,20953,17735,22532,26611,19383,,,,,,,
LSM2,711,770,655,873,882,659,,,,,,,
LINC01353,0,0,0,0,0,2,,,,,,,
LINC01347,0,5,3,0,0,0,,,,,,,
LOC105376171,3,3,3,5,0,2,,,,,,,
LOC105375014,5,4,6,10,4,2,,,,,,,
HLA-DQA1,0,0,0,1,0,1,,,,,,,
FAM225A,492,437,354,495,821,743,,,,,,,
LINC01249,40,16,5,3,4,4,,,,,,,
LINC00278,0,0,0,0,0,0,,,,,,,
DPP10-AS3,0,0,0,0,0,0,,,,,,,
C2,40,8,40,16,36,19,,,,,,,
HSPA1B,1537,1186,2371,3761,4233,2155,,,,,,,
HLA-DOA,9,0,12,5,11,9,,,,,,,
LOC400002,143,115,118,103,170,152,,,,,,,
LOC401585,36,30,14,24,25,29,,,,,,,
HCG25,41,24,52,31,53,51,,,,,,,
LINC02015,10,10,10,10,17,10,,,,,,,
FAHD2CP,587,469,504,500,590,445,,,,,,,
SNORD62B,23,16,19,13,26,18,,,,,,,
PSMB8-AS1,1,2,8,4,19,12,,,,,,,
LINC01037,0,0,1,0,0,0,,,,,,,
DLEU2,3261,2581,1808,1650,2463,1948,,,,,,,
TNXB,7,1,4,5,2,4,,,,,,,
LOC100132215,119,114,137,120,125,126,,,,,,,
DAXX,75,40,73,18,113,65,,,,,,,
PPT2,631,567,655,690,670,441,,,,,,,
LOC101927596,0,0,0,1,0,0,,,,,,,
C6orf15,0,0,25,19,0,0,,,,,,,
LOC105373524,0,0,0,0,0,0,,,,,,,
PSMB8,83,29,63,115,64,130,,,,,,,
AGBL5-AS1,11,10,5,9,9,6,,,,,,,
USP17L29,0,0,0,0,0,0,,,,,,,
LOC100506895,0,0,0,0,0,0,,,,,,,
TRIM26,2025,2559,2060,4001,4470,2377,,,,,,,
DDX39B-AS1,6,4,5,0,4,6,,,,,,,
DLG3-AS1,17,15,17,12,7,13,,,,,,,
LOC101928489,37,32,90,65,116,96,,,,,,,
LOC101927765,68,59,59,78,81,64,,,,,,,
LINC01704,0,0,0,1,0,0,,,,,,,
LINC01307,16,8,18,14,22,14,,,,,,,
LINC00410,43,37,42,18,27,35,,,,,,,
OR2J2,0,0,0,0,0,0,,,,,,,
HLA-DQB1-AS1,0,0,0,0,0,0,,,,,,,
HLA-DRB3,0,0,0,1,0,0,,,,,,,
LOC101927136,187,127,106,95,128,110,,,,,,,
LINC01090,7,13,11,5,17,7,,,,,,,
LINC00574,11,12,7,8,9,7,,,,,,,
LINC-PINT,478,354,444,295,608,488,,,,,,,
ARHGEF9-IT1,6,0,2,0,2,3,,,,,,,
LOC105375014,0,0,0,0,0,0,,,,,,,
PPP1R10,1865,1493,1235,1313,1698,1105,,,,,,,
TSPAN19,65,30,104,97,75,59,,,,,,,
LINC01273,4,0,10,7,2,7,,,,,,,
ABCA9-AS1,1,5,5,2,1,3,,,,,,,
EMBP1,144,111,49,61,140,142,,,,,,,
LINC01354,1,1,1,1,1,1,,,,,,,
LINC01611,0,0,0,0,0,0,,,,,,,
LINC00575,9,4,11,12,7,12,,,,,,,
DBIL5P,58,84,76,83,125,123,,,,,,,
PIK3CD-AS2,491,330,387,379,636,547,,,,,,,
PCAT7,78,42,47,54,68,73,,,,,,,
LINC00210,2,2,2,4,2,3,,,,,,,
HLA-DQA1,0,0,0,0,0,0,,,,,,,
AKAIN1,0,0,0,0,0,0,,,,,,,
PRRC2A,22482,16261,17787,18940,26220,19745,,,,,,,
LINC01819,13,5,5,6,13,13,,,,,,,
LOC343052,2,2,1,1,1,3,,,,,,,
HLA-A,5,3,0,25,9,1,,,,,,,
UTAT33,18,15,15,14,13,11,,,,,,,
CYP21A2,0,0,3,0,0,0,,,,,,,
LOC105375014,0,0,0,0,0,0,,,,,,,
LOC105373805,1,0,0,2,0,0,,,,,,,
MDC1-AS1,1,1,1,1,1,0,,,,,,,
OR5K2,1,0,1,0,0,0,,,,,,,
IPO9-AS1,42,48,31,44,17,17,,,,,,,
F10-AS1,41,37,13,9,22,17,,,,,,,
PRH1,4,5,10,6,4,6,,,,,,,
TRAF3IP2-AS1,623,467,454,462,528,556,,,,,,,
DARS-AS1,257,222,308,200,368,357,,,,,,,
IDH1-AS1,48,51,65,63,69,57,,,,,,,
LOC730100,51,21,37,21,41,34,,,,,,,
NEBL-AS1,4,4,0,0,23,14,,,,,,,
PSG1,2,5,0,0,1,2,,,,,,,
TAPBP,76,82,109,64,125,175,,,,,,,
LINC01598,5,1,3,1,1,1,,,,,,,
HLA-DQB1,0,0,0,0,0,0,,,,,,,
PGM5P3-AS1,23,13,12,18,14,11,,,,,,,
PHKA1-AS1,10,9,12,15,14,6,,,,,,,
VARS,8895,10345,8431,12767,13226,8624,,,,,,,
HS1BP3-IT1,2,1,3,1,3,2,,,,,,,
PABPC1L2B-AS1,4,3,4,3,5,8,,,,,,,
LOC102724323,3,3,1,0,1,0,,,,,,,
UBD,0,0,0,0,0,0,,,,,,,
LOC101929231,15,14,13,12,15,13,,,,,,,
APOM,23,23,13,15,19,9,,,,,,,
MCCD1,2,1,3,0,2,2,,,,,,,
LINC01787,3,6,4,3,5,3,,,,,,,
PPP1R2P3,0,0,0,0,0,1,,,,,,,
LOC101928014,0,0,0,0,0,0,,,,,,,
FLJ27354,145,109,165,138,235,200,,,,,,,
PBX2,109,86,103,67,106,81,,,,,,,
LOC105372833,1,0,0,0,0,0,,,,,,,
LEF1-AS1,118,100,72,99,72,49,,,,,,,
LOC102725019,0,0,0,0,0,0,,,,,,,
DEFT1P2,0,0,0,0,0,0,,,,,,,
ZBED9,3,12,18,10,15,8,,,,,,,
EHMT2,5262,4493,4047,4153,5586,4050,,,,,,,
LINC01798,50,33,24,19,32,23,,,,,,,
LOC101928475,0,0,0,0,0,0,,,,,,,
HLA-DQA1,0,0,0,0,0,0,,,,,,,
LOC100132077,294,165,294,234,438,338,,,,,,,
LINC01063,8,23,19,15,30,22,,,,,,,
TMEM253,72,44,54,47,53,37,,,,,,,
LINC01031,1,1,7,1,4,0,,,,,,,
LINC01697,113,84,94,67,138,88,,,,,,,
LOC102725019,1,4,6,2,1,8,,,,,,,
RPS6KA2-IT1,3,8,0,0,0,1,,,,,,,
LINC01104,37,38,27,24,39,40,,,,,,,
ZFP57,0,0,0,0,0,0,,,,,,,
LINC01653,55,41,53,43,45,57,,,,,,,
RFX3-AS1,95,54,106,94,182,129,,,,,,,
C6orf10,0,0,0,0,0,0,,,,,,,
TMA7,16286,14404,12684,14137,17722,14093,,,,,,,
LOC730159,0,0,0,0,0,0,,,,,,,
LINC00384,6,4,5,2,5,4,,,,,,,
MCTS1,6534,6241,5160,6327,7268,5798,,,,,,,
DYTN,0,0,0,0,0,0,,,,,,,
HLA-B,1862,1515,2383,2352,3362,2267,,,,,,,
PSORS1C2,1,0,0,0,0,1,,,,,,,
NCOA7-AS1,1,0,1,0,0,0,,,,,,,
NDFIP2-AS1,0,0,0,0,0,0,,,,,,,
LINC00867,1,1,0,1,1,4,,,,,,,
GNL1,2391,1964,2073,2117,3356,2499,,,,,,,
RAB9BP1,0,0,0,0,0,0,,,,,,,
RAP2C-AS1,470,327,338,192,408,404,,,,,,,
LINC01873,2746,1627,2029,1380,2494,2285,,,,,,,
ABCF1,249,196,213,228,221,187,,,,,,,
LINC00708,0,0,0,0,0,0,,,,,,,
OR2J3,0,0,0,0,0,0,,,,,,,
SLC44A4,10,2,4,7,2,4,,,,,,,
LINC02181,27,28,26,15,24,29,,,,,,,
MTRNR2L4,60,40,52,24,46,57,,,,,,,
MTCO2P34,0,0,0,0,0,0,,,,,,,
LINC01701,0,0,0,0,0,0,,,,,,,
LINC01047,15,10,19,13,22,17,,,,,,,
LINC00865,1,1,2,1,3,3,,,,,,,
LINC02043,1258,995,1148,1075,1366,1063,,,,,,,
ASCL5,12,16,15,7,14,20,,,,,,,
DPCR1,0,0,0,0,4,0,,,,,,,
DDX39B-AS1,6,3,5,12,10,5,,,,,,,
TMEM114,1,0,0,0,0,0,,,,,,,
KRTAP25-1,0,0,0,0,0,0,,,,,,,
USP17L24,0,0,0,2,0,0,,,,,,,
LOC100505824,66,29,41,41,34,45,,,,,,,
OR52I1,0,1,0,1,0,0,,,,,,,
FLOT1,1086,819,820,766,1213,1072,,,,,,,
GNG12-AS1,112,73,58,70,94,80,,,,,,,
SLC6A1-AS1,0,0,1,1,1,1,,,,,,,
OR11A1,1,1,1,1,1,1,,,,,,,
LNCPRESS1,5,2,3,1,4,1,,,,,,,
DAOA-AS1,0,1,0,0,1,0,,,,,,,
DPCR1,0,0,0,0,2,1,,,,,,,
GPANK1,0,0,0,1,0,0,,,,,,,
TAP2,10,5,6,12,17,9,,,,,,,
NOTCH4,70,64,44,57,64,34,,,,,,,
LOC102725019,0,0,0,0,0,0,,,,,,,
LINC00279,0,0,0,0,0,0,,,,,,,
HLA-DQB1-AS1,0,0,0,0,0,0,,,,,,,
SEMA3B-AS1,19,16,43,28,50,26,,,,,,,
LOC105375009,0,0,0,0,0,0,,,,,,,
HSD17B8,143,101,97,84,197,199,,,,,,,
TAP1,509,440,593,719,1045,749,,,,,,,
LOC101928386,6,3,10,5,4,6,,,,,,,
OR5K1,0,0,0,0,0,0,,,,,,,
SMIM26,2055,2066,1962,2323,2564,1921,,,,,,,
OR10C1,0,0,0,0,0,0,,,,,,,
USP17L13,0,0,1,0,0,0,,,,,,,
LINC00112,0,0,0,0,0,0,,,,,,,
LOC101928402,68,55,44,47,76,83,,,,,,,
CYP21A2,1,3,2,6,3,2,,,,,,,
BPESC1,4,6,6,1,1,8,,,,,,,
TTTY19,0,0,0,0,0,0,,,,,,,
TUBB,35740,33797,28949,36425,38849,29862,,,,,,,
PRAMEF6,0,0,0,0,0,0,,,,,,,
LOC100289656,0,0,0,0,0,0,,,,,,,
C9orf172,540,592,862,913,1157,801,,,,,,,
MHENCR,580,473,654,608,751,675,,,,,,,
LOC105378753,4,4,6,2,6,6,,,,,,,
LINC01450,0,0,5,2,1,0,,,,,,,
TGFB2-AS1,12,8,4,1,0,1,,,,,,,
OSBPL10-AS1,17,22,14,18,17,15,,,,,,,
LOC101929006,0,0,0,0,0,0,,,,,,,
TRIM31-AS1,0,0,0,0,0,0,,,,,,,
LOC151484,20,6,9,11,15,14,,,,,,,
LOC645166,71,42,132,36,112,97,,,,,,,
LOC100289473,54,34,17,18,22,13,,,,,,,
OR5H8,0,0,0,0,0,0,,,,,,,
LINC00945,1,0,0,0,1,2,,,,,,,
COL11A2,46,8,31,29,41,11,,,,,,,
LINC01809,2,1,0,0,0,0,,,,,,,
KCND3-IT1,0,0,0,0,0,0,,,,,,,
LINC01549,36,23,27,29,37,23,,,,,,,
LOC101927257,144,89,92,78,124,121,,,,,,,
GABBR1,42,33,218,33,80,56,,,,,,,
TUBB,35731,33770,28935,36403,38819,29848,,,,,,,
SKIV2L,1270,1106,1291,1412,1806,1261,,,,,,,
LOC101927143,56,32,29,32,41,43,,,,,,,
HLA-DQB2,3,2,3,1,6,2,,,,,,,
GABBR1,371,253,245,179,329,277,,,,,,,
MOG,7,4,0,0,0,0,,,,,,,
LOC105374328,31,24,26,38,27,27,,,,,,,
LINC01431,54,48,71,69,63,82,,,,,,,
LINC01780,8,1,1,4,3,5,,,,,,,
LOC105375009,0,0,0,0,0,0,,,,,,,
GOLGA8N,1409,951,1476,1270,1444,1297,,,,,,,
LINC01656,0,1,0,0,0,0,,,,,,,
IDI2-AS1,24,31,50,52,41,26,,,,,,,
LOC100507670,57,46,45,42,64,70,,,,,,,
LINC00665,475,323,377,342,449,435,,,,,,,
ATP11A-AS1,30,31,27,16,35,38,,,,,,,
LINC00442,0,0,0,0,0,0,,,,,,,
LINC01628,0,0,0,0,0,0,,,,,,,
KIZ-AS1,61,43,66,47,115,70,,,,,,,
LOC101926943,216,112,163,146,207,210,,,,,,,
LINC02022,1,1,0,0,1,1,,,,,,,
HCG27,0,1,0,0,0,0,,,,,,,
LOC100506178,2,0,0,0,0,0,,,,,,,
LOC100421746,0,0,0,0,0,0,,,,,,,
LOC105378499,0,0,0,0,0,0,,,,,,,
FLJ22447,1503,1146,1232,1044,1606,1341,,,,,,,
BMS1P22,778,598,525,561,512,465,,,,,,,
LINC01162,0,0,0,0,0,0,,,,,,,
SLCO4A1-AS1,82,59,57,44,47,32,,,,,,,
HSPA1B,0,0,0,324,1561,28,,,,,,,
TTTY20,0,0,0,0,0,0,,,,,,,
TNF,0,0,0,0,0,0,,,,,,,
COL4A2-AS1,0,0,0,0,0,0,,,,,,,
RPS2P32,253,205,227,199,265,191,,,,,,,
LOC100129620,3,0,3,0,1,1,,,,,,,
LMLN-AS1,6,3,13,3,17,7,,,,,,,
LINC01700,0,0,1,0,0,0,,,,,,,
PET117,942,915,1004,1155,1191,928,,,,,,,
TRIM39,323,300,265,267,324,238,,,,,,,
PTGES2-AS1,266,195,221,157,306,295,,,,,,,
LYRM9,448,247,407,329,526,709,,,,,,,
SMG7-AS1,185,132,109,105,122,115,,,,,,,
SEC1P,34,11,24,19,15,56,,,,,,,
DPYD-AS1,55,32,24,30,59,29,,,,,,,
LOC101928404,3,3,6,4,0,3,,,,,,,
LOC101929413,0,0,0,0,0,0,,,,,,,
LOC105375009,0,0,0,0,0,0,,,,,,,
LINC01166,0,0,1,0,0,1,,,,,,,
DLGAP4-AS1,154,119,219,159,126,123,,,,,,,
PLCE1-AS2,0,2,2,3,5,13,,,,,,,
RPL23AP87,38,20,31,25,29,26,,,,,,,
HCG25,30,16,22,17,23,22,,,,,,,
OR2J2,0,0,0,0,0,0,,,,,,,
DEFB130,0,0,0,0,0,0,,,,,,,
LINC00374,0,0,0,0,0,0,,,,,,,
SNHG15,3129,3329,3116,3782,3761,2459,,,,,,,
HLA-DOA,8,0,12,7,11,9,,,,,,,
CSNK2B,47,47,29,45,55,37,,,,,,,
HLA-DOA,3,0,4,10,0,0,,,,,,,
LINC01737,10,6,5,4,6,5,,,,,,,
CYP1B1-AS1,1063,726,673,507,969,1038,,,,,,,
MTCO1P57,0,0,0,0,0,0,,,,,,,
LINC00327,86,92,88,69,54,35,,,,,,,
OR2H1,0,0,0,0,0,0,,,,,,,
LINC01219,1,1,2,1,2,9,,,,,,,
GACAT1,0,0,0,0,1,1,,,,,,,
RGS5,509,348,320,285,401,395,,,,,,,
VPS13A-AS1,0,0,1,1,1,0,,,,,,,
MIR3936HG,223,157,135,88,199,199,,,,,,,
LOC101927560,34,29,21,17,19,23,,,,,,,
NALCN-AS1,4,2,1,0,0,0,,,,,,,
SNHG7,6447,6288,5582,7069,7472,4760,,,,,,,
NPIPA1,580,398,392,466,536,463,,,,,,,
LOC100506585,0,0,0,0,0,2,,,,,,,
PHGR1,3,0,1,0,3,6,,,,,,,
OR5V1,0,0,0,0,0,0,,,,,,,
LINC01722,285,198,220,145,255,234,,,,,,,
DHX16,1186,1052,922,1086,1483,956,,,,,,,
LOC100133267,0,0,0,0,0,0,,,,,,,
MICA,702,407,633,646,639,634,,,,,,,
OR2B3,0,0,0,0,0,0,,,,,,,
DDAH2,89,127,59,70,118,113,,,,,,,
LINC01271,0,0,2,2,2,2,,,,,,,
LINC01755,0,0,0,0,0,0,,,,,,,
LINC01399,0,0,1,0,6,1,,,,,,,
WTH3DI,27,11,149,234,144,13,,,,,,,
PSMB8-AS1,11,4,2,5,11,9,,,,,,,
LINC00892,0,0,0,0,0,0,,,,,,,
HLA-G,4,2,2,2,2,1,,,,,,,
LOC339260,60,66,111,68,72,70,,,,,,,
HOXB-AS3,4,8,10,12,11,10,,,,,,,
CTAGE7P,248,191,298,221,238,242,,,,,,,
LINC01007,0,0,0,0,0,0,,,,,,,
LINC00456,0,0,0,0,0,0,,,,,,,
USP17L11,4,0,11,2,16,6,,,,,,,
PSMB8-AS1,11,4,2,5,10,13,,,,,,,
MAS1L,0,0,0,0,0,0,,,,,,,
LOC728660,0,0,0,0,0,0,,,,,,,
GTF2H4,680,529,619,639,921,602,,,,,,,
CYP21A2,0,0,0,0,0,0,,,,,,,
UBE2E2-AS1,1,0,2,0,1,2,,,,,,,
LINC01762,21,20,17,16,28,27,,,,,,,
C6orf136,110,107,120,111,153,103,,,,,,,
