gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
ADAM20P1,8,9,2,5,2,6
LOC101928909,2,1,1,2,0,1
DDX18P1,0,0,0,0,0,1
GNRHR2P1,2,3,0,0,0,0
LOC104613533,0,0,0,0,0,0
LOC100289091,0,0,0,0,0,0
LOC101929586,8,10,4,6,7,11
UBE2CP4,0,0,0,1,0,0
MED28P6,0,0,0,0,0,0
MRPS15P1,0,0,0,3,0,0
LOC105370802,1,0,2,2,0,3
ITGB3,241,270,182,370,230,252
LOC645405,0,0,0,0,0,1
LINC00928,0,0,0,0,0,0
LOC105371022,8,10,5,11,7,3
SLC35G6,0,0,0,0,0,0
LINC02345,1,1,0,0,0,0
LINC02323,5,8,4,9,3,6
ANKRD34C-AS1,1,0,0,1,0,0
LINC02490,0,0,0,0,0,0
MIR4713HG,0,1,0,1,0,0
USP3-AS1,9,8,2,9,2,1
LINC01895,0,0,0,2,0,0
NDUFA3P4,0,0,0,0,0,0
LINC02622,0,0,0,0,0,0
ANKRD62P1,0,0,0,0,0,0
LINGO1-AS2,0,0,0,0,0,0
SPATA8-AS1,0,0,0,0,0,0
LINC02349,0,0,0,0,0,0
LINC02206,0,0,0,2,0,0
ZNF710-AS1,12,20,10,13,25,12
LIPC-AS1,1,6,3,3,4,4
LOC440300,61,52,25,57,41,27
LOC100420707,0,0,0,0,0,0
IGHV2OR16-5,0,0,0,0,0,0
ZHX1-C8orf76,26,28,15,19,15,44
ACTG1P17,8,13,6,3,2,6
INAFM2,84,99,79,97,88,104
ST20-MTHFS,32,41,27,18,35,21
HNRNPMP1,0,0,0,1,0,0
LOC101928988,0,0,0,0,1,0
LINC00927,1,2,2,2,0,1
LOC101929457,0,0,2,3,2,0
LOC105370854,6,3,5,8,6,12
NDUFB4P11,0,2,0,0,1,0
MTND5P32,0,0,0,0,0,0
GH1,0,0,0,0,0,0
RLIMP3,0,0,0,0,0,0
TGIF2-RAB5IF,0,0,0,6,7,0
LOC105371006,0,0,0,0,0,0
HNRNPA1P45,0,1,0,1,0,3
CTXND1,0,1,2,1,0,1
HNRNPCP3,0,1,0,1,0,0
LOC105370906,0,0,0,0,0,0
LOC101929439,1,1,2,0,1,1
LOC145694,28,20,21,15,27,16
DPPA5P2,0,0,0,0,0,0
HMGB3P26,0,0,0,0,0,0
UBE2Q2P2,11,20,11,13,3,9
THTPA,111,139,102,140,115,159
OR4N3P,0,0,0,0,0,0
MAPK6-DT,4,4,1,3,2,1
LINC01833,0,2,0,4,1,0
RYR3-DT,0,0,0,0,0,0
NIFKP8,1,1,0,0,0,0
WBP1LP5,0,0,0,0,0,0
ADNP-AS1,14,15,7,24,15,16
MGC15885,0,0,0,0,0,0
CPEB1-AS1,29,74,27,19,30,15
AHCYP7,0,0,0,0,0,0
KRT8P9,0,1,0,1,1,1
LINC01169,0,0,0,0,1,0
LINC02205,0,0,0,0,0,0
SORD2P,83,102,72,122,75,88
RORA-AS2,0,0,0,0,0,0
MRPL46,401,381,311,350,365,316
LOC100419668,0,0,0,0,0,0
LOC100421087,0,0,0,0,0,0
UBE2Q2L,1,1,0,1,5,6
ANP32AP1,0,3,1,0,1,0
LINC01583,3,1,0,1,5,6
LOC101928414,13,12,6,3,3,3
LINC00052,1,1,0,2,3,3
LOC101928850,0,0,0,0,0,0
UBE2Q2P11,0,0,0,0,0,0
LOC102723335,0,0,0,0,0,0
LOC649133,0,0,0,0,0,0
CYCSP2,0,0,0,0,0,0
BLID,0,0,1,1,0,0
LOC101927310,0,0,0,0,0,0
LOC101927751,32,44,26,31,24,20
PHF5HP,0,0,0,0,0,0
DDX18P2,0,1,0,0,0,0
LINC01582,0,0,1,0,0,1
EEF1A1P22,25,41,31,26,24,23
TUBAP12,0,0,0,0,0,0
LOC102724452,0,0,0,0,0,0
LOC100288241,0,0,0,0,0,0
MTND3P12,0,0,0,0,0,0
LOC105370954,1,0,0,0,0,0
MTCO3P23,0,0,0,0,0,0
LOC100128108,11,19,10,11,6,11
LOC642366,3,15,3,5,2,3
LINC02254,0,0,0,0,0,2
LINGO1-AS1,0,0,0,0,0,0
MTCYBP23,0,0,0,0,0,0
IQCH-AS1,19,120,54,21,26,11
IGHV3OR16-17,0,0,0,0,0,0
LOC400347,0,0,0,2,1,1
LOC107984784,0,7,2,7,5,1
LOC105370969,0,0,0,0,0,0
HSP90B2P,7,6,7,8,6,10
NUTF2P6,1,0,1,0,0,0
LINC00677,0,0,0,0,0,0
LINC01581,0,0,0,0,0,0
LINC00933,5,22,8,5,8,2
CRTC3-AS1,3,6,2,8,5,1
LOC100419366,0,0,0,0,0,0
NCAPGP2,1,0,0,0,0,0
TUBAP11,0,1,1,2,0,1
PCSK6-AS1,0,8,2,0,0,0
LOC646071,0,0,0,0,0,0
FDPSP9,0,0,0,0,0,0
LOC283710,1,2,0,1,1,0
LOC103171574,0,2,0,1,0,0
LINC01922,1,4,3,1,0,0
LINC02259,2,0,0,0,0,0
ANP32BP1,0,2,0,1,0,1
LOC107987232,0,0,0,0,0,0
SLC22A31,0,3,2,4,0,0
LOC107984813,2,0,0,3,0,0
LYPD8,0,0,0,0,0,2
LOC112267983,14,20,6,9,4,9
LINC00567,0,0,0,0,0,0
AGGF1P6,0,0,0,0,0,0
LINC01904,0,0,0,0,0,0
LINC01566,0,1,0,0,0,1
LINC02126,28,20,19,31,16,24
LOC442028,1,0,0,0,0,0
VENTXP1,0,2,1,4,4,2
LOC100420642,0,0,0,0,0,0
LOC101927793,0,0,0,0,0,0
EHD4-AS1,3,3,5,2,3,2
FIGNL2-DT,0,0,0,0,0,0
LOC100422492,0,0,0,0,1,0
LOC729652,28,32,13,16,11,7
ACTG1P15,5,21,10,29,23,28
PWRN1,13,2,2,6,1,9
LOC100509620,0,2,0,0,0,0
LOC100130044,0,0,0,0,0,0
LOC107984893,1,3,2,2,3,0
LOC105371049,0,2,2,0,0,0
CDRT7,0,0,0,0,0,0
IL21R-AS1,3,11,4,6,3,2
RBM15B,1109,1396,1068,1308,1062,1068
THSD4-AS1,0,3,0,0,16,1
LINC00261,23,13,17,22,16,10
MRPS21P8,0,0,0,0,0,0
VN1R68P,0,0,0,0,0,0
TGFBR3L,16,6,17,6,13,2
LINC02130,0,0,0,0,0,0
LINC01992,0,0,1,1,2,0
MRPS21P7,0,0,0,0,0,0
LINC02189,0,0,0,0,0,0
HOXB7,2,15,3,2,0,1
NORAD,6370,6960,4533,6592,4715,5255
LCMT1-AS2,4,3,1,2,0,1
ABCB10P4,0,0,0,0,0,0
LOC101928728,8,14,3,5,7,12
MTND4LP25,0,0,0,0,0,0
LOC101927026,0,0,0,0,0,0
LOC643802,6,11,4,5,7,10
LOC105373383,3,4,5,6,4,10
MIR762HG,7,20,10,18,14,13
DDX59-AS1,4,16,7,6,3,5
ADAM3B,0,2,0,1,0,0
LINC00564,0,0,0,0,0,0
SPDYE6,0,0,0,0,0,4
LOC101927402,12,24,16,16,10,12
LINC01070,0,0,0,0,0,0
AOC4P,4,2,1,8,1,0
AGBL1-AS1,2,5,0,1,0,0
CA5AP1,0,0,0,1,0,0
C1QL1P1,0,0,0,0,0,0
CSPG4P13,0,0,0,3,0,0
LOC646665,0,2,0,0,0,1
MTND5P34,0,0,0,0,0,0
RARRES2P10,0,0,0,0,0,0
MTCYBP28,0,0,0,0,0,0
LINC01413,0,0,0,0,0,0
LINC02240,0,0,0,0,0,0
DUX4L47,0,0,0,0,0,0
CD2BP2-DT,6,11,7,8,6,11
CCDC187,2,0,0,0,0,0
UBL5P4,0,0,0,0,0,0
LOC102724163,3,12,4,0,3,0
PPIAP51,3,2,2,3,4,0
FRRS1L,38,24,12,28,20,10
KDM7A-DT,96,100,52,73,60,67
PMF1-BGLAP,98,159,108,117,112,83
LOC100421259,0,0,0,0,0,0
LINC02166,2,2,2,2,4,4
SNHG19,280,315,206,272,257,224
LINC02194,1,0,0,0,0,0
PPIAP46,18,32,14,42,29,54
LINC00919,0,0,1,0,0,0
LOC105371414,2,0,0,1,0,0
SLX1B-SULT1A4,101,181,93,131,115,90
TPSP2,0,0,0,0,0,0
ARMH2,0,0,0,0,0,0
FRG2GP,0,0,0,0,0,0
ACTG1P16,0,0,0,1,0,0
NTRK3-AS1,0,0,0,0,0,0
MRC1,2,5,3,7,0,2
HSPB9,1,0,1,0,0,0
HEXA-AS1,2,2,3,2,0,1
LINC01043,0,0,0,0,0,0
AQP4-AS1,0,7,0,2,0,0
LOC100131080,0,0,0,0,0,0
LDC1P,0,0,0,0,0,0
LINC00562,7,21,6,14,9,9
WBP11P1,0,2,0,0,1,2
LINC02867,1,1,2,0,0,0
LINC02182,0,0,0,0,1,0
LINC02367,0,0,0,1,0,0
AGGF1P9,0,0,0,0,0,0
SCX,149,173,136,105,91,84
LINC01917,0,0,0,0,0,0
LMF1-AS1,0,1,0,2,0,1
ATP2A1-AS1,15,11,2,17,11,14
TPRKBP2,0,0,0,0,0,0
C16orf95,52,51,28,41,42,41
KCNJ18,0,0,1,0,0,3
LINC01290,0,2,0,1,2,0
PPIAP49,2,3,0,0,1,0
LINC01584,0,0,0,0,0,0
C2orf69P4,0,0,0,0,0,0
LOC102723322,1,2,5,2,1,3
LOC105371335,0,0,0,0,0,0
CYP3A52P,0,0,0,0,0,0
IRS4,0,0,0,0,0,0
MT1L,68,62,66,27,15,23
PWRN2,0,0,0,0,0,0
COSMOC,24,47,20,20,16,18
LOC105378231,0,0,0,1,0,0
TPST2P1,0,0,0,0,0,1
LINC00515,6,3,0,3,1,3
STAM-AS1,9,15,8,9,8,6
OR4C49P,0,0,0,0,0,0
DUX4,4,0,0,0,0,0
FRG2IP,0,0,0,0,0,0
LOC101929124,0,0,1,0,0,0
LOC100419016,0,0,0,0,0,0
BGLT3,0,0,0,0,0,0
SNAI3-AS1,47,85,53,43,44,43
RBM22P12,0,0,0,0,0,0
HERC2P5,34,81,39,18,41,20
LOC100653233,0,0,0,0,0,0
LOC105376731,0,0,0,0,0,0
TCERG1P2,0,0,0,0,0,0
LINC01541,3,1,1,4,3,2
HNRNPA3P11,0,3,0,0,1,0
ANKRD20A1,6,4,5,0,5,2
LINC00543,1,1,3,4,0,4
LINC01243,0,0,0,0,0,0
VN1R67P,0,0,0,0,0,0
SLC7A5P1,9,10,2,6,2,8
KRT8P22,0,0,0,1,0,1
TLE7,0,0,0,0,0,0
LOC100505915,3,0,7,0,0,0
LINC01227,0,0,0,0,0,0
LINC00554,0,0,0,0,1,0
LOC106660606,33,20,14,9,22,22
LOC101927410,0,0,0,0,1,1
ARHGAP23P1,0,7,0,0,10,0
CASC17,0,1,0,0,0,0
LOC440346,3,5,2,4,0,5
LINC02280,7,21,6,10,9,5
KRT8P50,2,0,0,0,0,0
SERTM2,0,0,0,0,0,1
LINC01963,212,247,143,221,154,180
CEROX1,23,26,3,7,9,7
VPS35P1,0,0,0,1,0,0
OR4C45,0,0,0,0,0,0
HMGB3P32,0,0,2,0,0,0
LOC101928417,0,0,0,0,0,0
LINC01964,1,1,3,0,0,0
FBXL19-AS1,73,97,49,73,51,46
LINC02184,0,0,0,0,0,0
LOC101928446,4,5,4,2,6,4
CYP2C60P,0,0,0,0,0,0
SLC9B1P5,0,0,0,0,0,0
LINC01960,1,5,3,4,3,4
SNTB2,0,0,0,0,0,0
LOC105371050,1,2,1,4,3,1
LINC01229,0,0,0,1,0,0
HCCAT5,1,0,0,0,0,0
VN1R65P,0,0,0,0,0,0
TAT-AS1,1,0,2,1,0,1
CASC22,0,0,0,0,0,0
ARLNC1,1,10,1,1,22,1
ADPGK-AS1,0,0,0,0,4,0
LINC02011,0,0,0,0,0,0
XKR7,0,4,0,1,3,1
LINC01254,2,7,1,2,1,2
CCPG1,3937,4703,3305,4788,3606,3951
LOC103344931,102,133,102,121,81,110
LOC105370791,0,0,0,0,0,0
LOC101927556,0,4,3,4,2,2
SPCS2P1,0,0,1,0,0,0
LINC01416,0,0,0,3,1,0
LOC100133137,0,0,0,0,0,0
LOC105370829,0,0,0,0,0,0
LOC100128523,0,0,0,0,0,0
LINC00622,15,17,5,16,6,17
CAPN10-DT,47,39,11,40,25,23
FOXC2-AS1,5,4,1,1,3,3
LOC105371200,1,0,0,0,0,0
LINC00557,0,0,0,0,0,0
LOC105371264,0,0,0,0,0,0
RPL23AP91,0,0,0,0,0,0
RARRES2P5,0,0,0,0,0,0
LOC105371046,0,0,0,0,0,0
AGGF1P7,0,0,0,0,0,0
LOC101927450,0,0,0,0,0,0
LINC01572,30,20,18,37,15,22
RARRES2P6,0,0,0,0,0,0
LINC02165,0,0,0,0,0,0
GS1-279B7.1,1,3,5,8,4,4
LINC02544,0,0,0,0,0,0
WFDC21P,912,841,599,653,634,641
C2orf69P1,0,0,0,0,0,0
VN1R60P,0,0,0,0,0,0
SULT1A3,91,81,13,47,44,42
NAMPTP3,0,0,0,0,0,0
LOC338694,0,0,0,0,0,0
LINC01195,0,0,0,0,0,0
LOC100422491,0,0,0,0,0,0
LINC02516,12,12,7,4,0,3
ZNNT1,30,51,33,40,24,29
LOC112268176,2,3,1,1,1,0
LINC02178,3,3,3,0,3,1
LOC101928708,0,0,1,0,0,0
LINC00563,0,0,0,0,1,0
LMO7-AS1,17,15,9,13,8,11
TMEM178B,33,29,14,46,30,31
LINC02473,10,8,7,9,6,13
LINC02167,0,0,0,0,0,0
RBFADN,23,23,6,23,8,25
MPV17L,0,1,0,1,0,0
LOC105370941,9,12,6,10,5,5
ADAMTS7P3,19,48,53,86,89,19
EPPK1,598,663,436,1374,896,918
LOC342443,0,0,0,0,0,0
LINC01989,9,15,9,17,11,5
LOC107984827,0,1,0,0,1,0
HMGB1P33,0,0,0,0,0,0
LINC02188,4,6,2,1,1,0
SPINT1-AS1,2,6,6,4,3,6
LOC101928618,0,0,0,0,0,0
LINC01238,1,2,5,1,0,1
RNF126P1,0,0,0,0,1,0
LINC01898,0,0,0,0,0,0
CYP4A43P,0,0,0,0,0,0
LOC114841040,0,1,0,1,1,3
LINC00561,0,0,0,0,0,0
SULT1C2P2,0,0,0,0,0,0
CLEC19A,0,0,0,0,0,0
ZNF865,227,295,168,238,191,172
LINC02133,4,5,4,1,1,0
BOP1,828,980,710,802,756,749
LOC112267895,0,0,1,0,0,1
GOLGA8T,0,0,0,3,0,0
LINC01751,0,0,0,0,0,0
LOC100287036,6,7,9,4,2,7
LOC102723786,0,0,0,0,0,0
MUC22,0,0,0,0,0,0
TP53TG3GP,0,0,0,0,0,0
ULK4P1,0,0,0,0,3,2
SOD1P2,0,0,0,0,0,0
RBM22P13,0,0,0,0,0,0
LOC101928392,6,8,0,3,0,7
ATP2C2-AS1,7,18,3,7,7,4
CYP4A44P,0,0,0,0,0,0
LOC105371286,0,0,1,2,0,0
FIGNL2,3,9,7,11,9,6
LINC01834,0,0,0,0,0,0
LINC02192,1,0,0,0,1,0
PPIAP50,5,5,4,4,0,7
LOC105274304,0,5,3,5,4,6
EIF4BP5,1,2,0,0,0,2
LINC01616,0,0,0,0,0,0
LOC105372440,1,3,1,2,3,0
PYCARD-AS1,3,2,2,3,0,1
LOC728178,17,6,2,4,5,13
LOC101059997,0,0,0,0,0,0
MANEA-DT,1,3,2,3,0,1
PECAM1,87,63,48,33,69,48
VPS9D1-AS1,27,39,24,59,52,52
MAFTRR,4,9,1,6,2,2
LOC101927227,0,0,0,0,0,0
LINC01177,0,0,0,0,0,0
LOC112268173,0,0,0,0,0,0
LOC101928035,1,1,1,0,0,0
TEN1-CDK3,68,49,102,62,27,111
HERC2P6,0,0,0,0,0,1
TMEM202-AS1,12,10,5,9,4,11
LINC01613,0,0,0,0,0,0
LOC100288748,7,9,0,1,5,4
DKFZP434H168,0,0,0,0,0,0
DUX4L45,0,0,0,0,0,0
LINC00559,2,2,2,2,3,0
LOC102723692,0,0,0,0,0,0
LINC01003,77,73,56,63,49,49
TUBB8,0,0,2,2,1,1
LOC102723385,10,5,1,2,0,0
GOLGA8M,0,4,0,0,0,0
TBILA,14,14,10,14,7,9
LINC00566,3,3,1,0,4,1
LINC01686,0,3,3,5,3,1
TP53TG3B,0,0,0,0,0,0
CYP3A137P,0,0,0,0,0,0
LINC01976,0,0,0,0,0,0
VN1R70P,0,0,0,0,0,0
LINC00558,0,0,0,0,0,0
DLGAP1-AS5,0,2,0,2,0,0
LOC100133920,1,1,0,0,0,0
ABCB10P3,0,0,0,0,0,0
LOC100420066,0,0,0,0,0,0
CCNYL7,0,0,0,0,0,0
SMG1P7,179,237,76,192,113,113
LINC01859,0,0,0,0,0,0
TPSP1,0,0,0,0,0,0
TMEM249,4,4,2,5,9,0
CYP4A27P,0,0,0,0,0,0
TPBGL,6,5,2,1,7,2
PRSS46P,0,0,0,0,0,0
GAN,193,263,175,205,186,185
LINC01858,24,6,7,3,1,2
LINC02177,1,3,0,1,2,1
LINC02179,6,5,0,0,0,0
NDUFB10P2,1,0,0,0,1,0
DISC1FP1,0,2,2,0,0,0
GOLGA6L7,2,0,1,0,0,0
C15orf65,47,84,38,31,30,42
BEAN1-AS1,3,0,0,5,0,4
TTC39A-AS1,0,1,0,0,0,0
TUBAP4,0,0,0,0,1,0
LINC00560,1,0,0,0,0,0
LY6L,0,0,0,0,0,0
SCRT1,4,5,4,11,5,3
ATP5PDP1,1,1,0,0,0,0
LINC00838,1,3,0,1,0,1
AGGF1P4,0,0,0,0,0,0
LOC101928682,0,0,0,0,0,0
HPR,0,0,0,0,0,0
LINC02168,0,0,0,0,0,0
SSTR5-AS1,4,9,1,4,1,8
LINC01477,0,0,0,0,0,0
H2BC20P,113,148,82,122,104,86
GS1-204I12.4,0,1,1,0,0,2
CLCA4-AS1,26,17,18,25,20,24
MIR3976HG,0,0,0,0,0,0
GOLGA8S,12,12,5,3,6,1
BOLA2-SMG1P6,621,704,578,584,553,617
FRG2KP,0,0,0,2,0,0
LINC00922,9,8,3,4,6,3
LOC100128882,0,2,0,3,0,0
LOC441750,0,0,0,0,0,0
LINC02180,0,0,0,0,0,0
AGGF1P8,0,0,0,0,1,0
LOC100507334,0,2,0,1,0,0
LINC02616,0,0,0,0,0,0
KRT18P18,0,0,0,0,0,2
DNAAF4-CCPG1,0,0,0,0,0,132
LOC100506083,8,9,7,10,11,5
LINC02582,243,414,190,521,421,396
LINC01654,0,0,0,0,0,0
TCF24,0,0,1,0,1,0
GOLGA8H,0,2,1,0,0,2
ISY1-RAB43,436,564,449,357,433,326
LOC101929536,0,0,0,0,0,0
LOXL1-AS1,458,592,352,433,353,347
LINC02140,0,0,0,0,0,0
LINC02141,7,2,1,3,4,1
CYP3A54P,0,0,0,0,0,0
TUBB8P7,0,2,1,1,0,0
DNM1P49,0,0,0,0,0,0
LINC00662,420,465,281,350,320,301
CLN3,21,72,14,16,24,29
LOC100130602,0,1,0,0,0,0
LOC730183,7,11,23,12,11,3
AADACL2,0,0,0,0,0,0
LOC100288728,2,0,0,0,1,0
KRTAP2-1,0,0,0,0,0,0
LINC02186,1,0,1,1,0,0
MIA,0,1,0,1,0,0
LINC01996,2,1,0,1,1,0
LOC100130950,7,20,9,21,6,6
CLK2,463,596,299,506,422,339
OR5T3,0,0,0,0,0,0
MTND5P33,0,0,0,0,0,0
LOC400627,1,4,5,6,1,1
PCDHGA9,8,12,9,6,4,4
LARP7P2,0,0,0,0,0,0
GFY,1,1,0,2,1,0
OR9G1,0,0,0,0,0,0
KRTAP4-8,0,0,0,0,0,0
CES5A,0,0,1,0,0,0
GATAD2B,0,514,114,326,286,338
WEE2-AS1,5,6,1,12,3,4
LOC101927727,16,17,10,8,12,11
TCF20,0,0,0,0,0,0
KRT34,0,0,0,1,0,0
LOC105371592,5,2,1,2,1,2
DKFZP434A062,0,4,2,0,1,1
OR1P1,0,0,0,0,0,0
LOC647208,0,0,0,0,0,0
MTATP6P25,0,0,0,0,0,0
DHX33-DT,0,0,0,0,0,0
MTND6P33,0,0,0,0,0,0
TAS2R30,0,0,0,0,0,0
BCAR4,0,2,0,1,0,0
MTCO1P28,0,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0
GARS1P1,0,1,0,0,0,0
ANO4,22,22,0,0,28,0
LINC02175,4,3,2,2,2,0
APOBEC3A,0,0,0,0,0,0
MTCO3P24,0,3,0,0,0,0
MYMX,0,2,0,1,0,0
LINC02861,31,44,17,29,15,23
LINC01978,20,15,2,12,3,4
OR9G9,0,0,0,0,0,0
LINC02403,0,0,0,0,0,0
PCDHGB3,0,3,0,9,5,1
SLC5A8,1,0,0,1,0,1
KRTAP9-7,0,0,0,0,0,0
LOC100130370,2,0,1,1,1,0
LOC105371508,0,0,0,0,0,0
CES1,5,7,8,11,0,9
CORO7,184,276,123,151,162,179
MTND4LP24,0,0,0,0,0,0
OR8U8,0,0,0,0,0,0
AGK,51,33,97,22,0,171
RPH3AL,18,17,12,12,15,11
KRTAP1-3,0,0,0,0,0,0
NDUFA3P6,0,0,0,0,0,1
MTATP6P24,0,0,0,0,0,0
MMP12,2,4,3,2,2,8
PTPRC,1,6,0,1,0,5
WASH8P,378,363,259,321,264,225
GBA,74,50,27,82,73,89
SPDYE9,0,0,0,0,0,0
GART,234,237,138,122,165,189
SAMD11P1,0,0,0,0,0,0
FAM187B2P,3,0,0,0,0,0
MAPK8IP1P1,0,0,0,0,0,0
LOC100128007,0,1,0,0,1,0
ASIC5,0,0,0,0,0,0
LINC00308,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0
TAS2R46,0,0,0,0,0,1
SMIM28,0,0,0,0,0,0
KRTAP9-2,0,0,0,0,0,0
PCDHGA4,5,5,11,5,5,17
LINC01979,0,1,0,2,0,2
LOC554206,13,9,5,5,5,8
KRTAP9-9,0,0,0,0,0,0
IQSEC3,0,0,0,0,0,0
BTF3P14,0,1,0,0,0,0
TAS2R43,0,0,0,0,0,0
OR1D5,0,0,0,0,0,0
OR9G4,0,0,0,0,0,0
PHBP15,0,0,0,0,0,0
SPON1,0,0,0,0,2,0
OVCA2,371,453,275,290,285,323
FAM189B,0,0,0,0,0,0
OR1F1,1,0,0,3,0,2
APOBEC3B-AS1,1,1,1,1,1,2
GLIS2-AS1,1,0,0,2,1,1
LOC100421173,2,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0
SSBP1,290,246,216,304,509,157
UTP4,0,262,29,0,0,0
IFNGR2,793,796,531,639,518,658
OR8J1,0,0,0,0,0,0
MRPL12,1051,1194,862,1011,1024,1013
LOC101928855,10,12,10,6,18,3
KRT40,0,1,0,0,0,0
OR5T2,0,0,0,0,0,0
LSM14A,1306,1368,1246,1578,1311,1287
C19orf84,0,0,0,0,1,0
LOC101927060,37,68,46,83,52,75
LOC101927911,2,1,0,1,0,1
KRTAP9-4,0,0,0,0,0,0
MTCO1P40,92,89,22,52,45,44
TMPOP2,2,2,3,1,1,0
DNAJC28,30,44,13,33,16,15
CCNQ,227,250,181,188,176,172
FAM138D,0,0,2,0,0,1
ALOX12P2,23,4,5,2,6,4
LOC101928266,0,0,1,0,0,0
OR52L2P,0,0,0,0,0,0
SMIM10L1,14,0,0,13,18,0
KRT31,0,3,1,0,10,16
LOC101927131,5,12,3,13,6,8
GTF2I,3406,3941,2379,4358,2675,2783
ZNF234,108,150,120,173,97,111
ROCK1P1,20,8,0,6,7,9
KRT33B,0,5,1,1,0,1
LOC101929552,1,2,0,0,0,1
RNF213-AS1,15,5,21,15,3,5
LOC105371083,0,4,3,1,2,2
KRTAP9-2,0,0,0,0,0,0
TAS2R31,0,1,2,0,0,0
PAXBP1,0,0,0,0,0,0
LRRC37A17P,3,0,1,0,8,7
MYZAP,0,5,4,3,6,4
TMEM50B,596,704,406,518,543,440
SLC27A3,106,303,69,205,308,211
MTND1P8,0,0,0,0,0,0
CYP2D7,0,9,5,5,0,0
KRTAP16-1,0,0,0,0,0,0
MTND3P13,0,0,0,0,0,0
DPEP2NB,0,0,0,0,1,3
RYKP1,0,0,0,0,0,1
KRTAP4-11,0,0,0,0,0,0
ATP5F1AP3,0,1,3,0,2,0
MTCYBP33,0,0,0,0,0,0
KRTAP1-4,0,0,0,0,0,0
KRT12,3,3,0,3,2,3
PRH1,7,6,11,6,9,9
KRTAP9-6,3,3,1,2,2,1
RPS7P1,18,3,6,14,5,4
THCAT158,0,0,0,0,1,1
KRTAP3-2,0,0,0,0,1,0
LOC105371084,0,0,0,0,0,0
SALL3,0,2,0,5,0,5
LINC01982,0,0,0,0,0,0
HCN3,74,95,43,132,56,53
TAPT1-AS1,24,30,13,26,16,33
PPIAL4A,2,0,0,0,2,0
MIR5011,0,0,0,0,0,0
AKR1B10P2,0,0,0,0,0,0
RN7SL134P,27,38,10,7,7,3
MIR378H,0,0,0,0,0,0
MIR5702,0,0,0,0,0,0
MIR548AO,0,0,0,0,0,0
LOC100533653,0,0,0,0,0,0
MIR5584,0,0,0,0,0,0
LOC105372035,0,0,0,0,0,0
MIR3973,0,0,0,0,0,0
MIR3119-2,0,0,0,0,0,0
MIR3170,0,0,0,0,0,0
TMEM220-AS1,12,13,15,9,12,7
MIR4673,0,0,0,0,0,0
MIR4660,0,0,0,0,0,0
MIR4747,0,0,0,0,0,0
RN7SL460P,7,8,1,0,3,0
MIR4538,0,0,0,0,0,0
MIR3187,0,0,0,0,0,0
TMEM238L,0,0,0,0,0,0
RN7SL689P,7,15,7,12,8,5
MIR3158-1,0,0,0,0,0,0
LINC01919,1,0,0,0,0,0
MIR4753,0,0,0,0,0,0
MIR4450,0,0,0,0,0,0
MIR5189,0,0,0,0,0,0
MIR4455,0,0,0,0,0,0
PPIAL4C,0,0,1,0,0,0
SRSF8,967,1162,725,983,820,778
MIR3130-2,0,0,0,0,0,0
MIR3156-1,0,0,0,0,0,0
RN7SL509P,0,0,0,0,1,0
MTATP6P3,0,0,0,0,0,0
RN7SL155P,2,0,0,1,0,5
LOC101927539,0,0,0,0,0,0
MIR4497,0,0,0,0,0,0
MIR5699,0,0,0,0,0,0
MIR4311,0,0,0,0,0,0
FAM72C,29,48,13,35,49,0
MIR3668,0,0,0,0,0,0
MIR548AN,0,0,0,0,0,0
LINC02563,0,0,0,0,0,0
MIR378G,0,0,0,0,0,0
MIR4526,0,0,0,0,0,0
IKBKE,192,257,184,160,117,137
RN7SL122P,0,0,0,0,1,1
MIR4463,0,0,0,0,0,0
RN7SL387P,3,3,2,0,0,0
MIR5582,0,0,0,0,0,0
LOC339298,2,0,0,1,0,1
RN7SL383P,0,0,0,0,0,0
RN7SL716P,6,4,0,0,0,0
MIR4704,0,0,0,0,0,0
UBBP4,25,46,20,23,23,14
MIR7853,0,0,0,0,0,0
MIR4270,0,0,0,0,0,0
LOC100134391,0,0,0,0,0,0
MIR4665,0,0,0,0,0,0
MIR548X2,0,0,0,0,0,0
MIR4522,0,0,0,0,0,0
MIR4480,0,0,0,0,0,0
HID1-AS1,0,0,2,1,0,1
LINC01145,3,0,0,0,0,0
MIR4804,0,0,0,0,0,0
RN7SL823P,1,0,0,0,0,0
MIR3936,2,1,2,0,0,0
MIR3915,0,0,0,0,0,0
MIR3185,0,0,0,0,0,0
RN7SL353P,20,20,7,0,20,4
LOC105372041,0,0,0,0,0,0
MIR4306,0,0,0,0,0,0
RN7SL178P,0,0,0,0,0,0
PPP4R1-AS1,0,1,0,0,0,1
MIR3155A,0,0,0,0,0,0
MIR5586,0,0,0,0,0,0
MIR378D1,0,0,0,0,0,0
MIR3919,0,0,0,0,0,0
MSMB,0,1,0,0,0,0
MIR4777,0,0,0,0,0,0
MIR4802,0,0,0,0,0,0
MIR4515,0,0,0,0,0,0
BPTFP1,0,0,0,5,8,0
