gene_name,DLD1_WT_replicate1,DLD1_WT_replicate2,DLD1_Furin_KO_replicate1,DLD1_Furin_KO_replicate2,HCA7_WT_replicate1,HCA7_WT_replicate2,HCA7_Furin_KO_replicate1,HCA7_Furin_KO_replicate2,HT29_WT_replicate1,HT29_WT_replicate2,HT29_Furin_KO_replicate1,HT29_Furin_KO_replicate2
MTND4P9,2,2,0,1,0,0,1,2,2,0,0,0
LINC01018,0,2,0,0,0,5,0,0,6,0,1,2
MAPK10-AS1,0,0,0,0,0,0,0,0,0,0,0,0
YJEFN3,330,220,402,331,184,337,145,227,112,114,100,85
SH3TC2-DT,9,3,3,2,3,44,3,8,4,10,4,7
LOC101929340,5,18,13,20,12,27,12,7,33,48,22,30
LOC101927237,10,14,12,16,1,2,0,2,4,2,0,0
LOC100533667,0,0,0,0,0,0,0,0,0,0,0,0
LOC107987327,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374516,0,0,0,0,0,0,0,0,0,0,0,0
NREP-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PANCR,3,1,1,0,0,1,0,4,1,0,0,0
CACNA1G-AS1,0,0,0,0,1,0,0,0,0,0,0,0
LOC101929141,0,0,0,0,0,0,0,0,0,0,0,0
RHOQ-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PCDHA10,12,4,13,8,20,19,16,18,6,36,12,20
LINC02232,0,0,0,0,0,0,0,0,2,0,1,0
LINC02108,72,48,56,62,37,59,77,86,67,86,81,59
HOXC-AS2,1,1,0,0,0,0,0,0,4,1,2,0
LOC728488,1,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P35,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P31,1,0,1,2,0,2,0,0,1,1,0,0
ARPC4-TTLL3,132,75,83,109,90,108,74,55,55,37,38,53
LOC107986412,1,1,1,0,0,1,0,0,0,0,1,0
LINC02060,0,0,0,0,0,0,0,0,0,0,0,0
TRMT112P5,0,0,0,0,0,0,0,0,0,0,0,0
MYLK-AS2,0,0,0,0,0,0,0,0,0,0,0,0
RCC2P8,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377448,0,0,0,0,0,0,0,0,0,1,0,0
HMGN1P15,0,0,2,0,1,1,0,0,0,0,1,0
TTTY23B,0,0,0,0,0,0,0,0,0,0,0,0
YWHAEP4,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422513,0,0,0,0,0,0,0,0,0,0,0,0
FZD10-AS1,8,4,6,3,102,131,681,866,3,8,7,3
CIR1P2,0,0,0,0,0,0,0,0,0,0,0,0
ALDH1L1-AS1,0,0,1,1,0,0,0,0,0,0,0,0
LTV1P1,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P32,0,0,0,0,0,0,0,1,0,0,0,0
LINC01216,0,0,0,0,0,0,0,0,0,0,0,0
TRIM60P14,3,0,0,0,0,2,2,1,3,2,0,3
LOC101927495,0,2,0,2,0,0,0,0,0,1,0,1
LOC101927359,4,1,4,7,6,3,1,6,6,2,3,3
CTD-2350J17.1,0,0,0,0,0,0,0,0,0,0,0,0
PKD1P6,333,213,180,207,138,524,182,196,158,170,260,67
LINC02430,0,0,0,0,0,0,0,0,0,0,0,0
PTTG2,1,0,0,0,0,0,0,0,0,0,0,0
LINC02509,0,0,0,0,0,0,0,0,0,0,0,0
LINC01612,0,0,0,0,0,0,0,0,27,38,18,24
PSMC1P5,209,158,200,92,66,190,99,126,62,86,38,35
LOC100128059,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371824,0,3,0,0,4,10,7,4,3,1,1,2
VWA8P1,0,0,0,0,0,0,0,0,0,0,0,0
RDH10-AS1,0,0,0,0,0,0,0,0,0,0,0,0
GIMD1,0,0,0,0,0,0,0,0,0,0,1,0
LINC01618,3,0,0,0,0,0,0,1,1,0,0,0
LINC02762,12,11,20,15,24,51,47,90,17,22,20,18
TRMT9B,63,15,30,23,46,79,57,49,27,23,19,13
TUBB8P3,0,0,0,0,0,0,0,0,0,0,0,0
SALL4P1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF718,145,112,126,93,5,16,9,4,43,36,37,27
SMIM20,348,338,298,225,359,541,352,483,364,477,372,304
RPL13AP26,10,8,16,8,3,8,11,16,18,15,13,8
MRPL22P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377623,3,3,5,3,2,4,4,4,3,6,2,1
RPSAP70,1,2,0,0,0,2,0,0,6,13,8,10
MGC32805,173,126,135,77,2,0,3,2,21,16,18,20
LINC01340,0,0,0,0,0,0,0,0,0,0,0,0
LINC00989,5,3,4,0,5,0,0,1,1,7,0,0
PURPL,14,0,6,0,3,28,97,162,16,11,7,2
LINC02494,0,0,0,0,0,0,0,0,0,0,0,0
SNRPCP16,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419356,0,0,0,0,0,0,0,0,0,0,0,0
H3P20,0,0,0,0,0,0,0,0,0,0,0,0
GYPB,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P21,0,0,0,0,0,0,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927124,0,3,2,6,2,1,2,2,0,1,0,0
TUNAR,0,2,2,1,0,5,2,3,1,2,1,2
MARK2P4,1,2,1,0,0,0,0,1,1,0,0,0
LOC107986453,0,0,0,0,2,0,0,1,0,0,0,0
H3P21,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02502,0,0,0,0,0,0,0,0,0,0,0,0
LOC402229,0,0,0,0,0,0,0,0,0,0,0,0
KLHL2P1,3,0,0,3,0,4,0,0,6,0,0,2
SEC63P2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02116,0,0,0,0,0,0,0,0,0,0,0,0
AACSP1,4,9,6,6,1,2,2,3,11,15,0,3
KIAA1210,10,4,6,5,2,3,3,3,0,1,1,6
OR7E35P,0,0,0,0,0,0,0,0,0,0,0,0
FTLP10,2,3,4,1,1,1,0,3,0,0,0,0
LINC02148,3,0,0,1,0,4,3,3,0,4,0,2
LOC100420385,0,0,0,3,0,0,0,0,0,0,3,0
CLSTN2-AS1,0,0,0,0,0,2,0,0,6,3,5,4
LINC02499,0,0,0,0,1,0,0,0,0,0,0,0
EIF3KP3,0,0,0,0,0,0,0,0,0,0,0,0
CCT5P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02105,0,0,0,0,0,0,0,0,0,0,0,1
HOXC-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02260,8,9,9,3,4,6,3,7,4,6,4,4
LRRC34P2,0,0,0,0,0,0,0,0,0,0,0,0
GMPSP1,0,0,0,0,0,0,0,0,0,0,0,0
DUTP7,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P11,0,1,0,0,0,0,0,0,0,0,0,0
ENPP7P9,0,0,0,0,0,0,0,0,0,0,0,0
PPM1AP1,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP76,0,0,0,0,0,0,0,0,0,0,0,0
FAM218A,0,0,0,0,0,0,0,0,0,0,0,0
LINC02145,5,2,2,2,5,7,0,4,2,14,1,2
INTS6P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929227,9,4,4,2,1,7,3,2,0,1,2,0
KRT18P51,0,0,0,0,0,0,1,0,0,0,0,0
LOC100422637,0,0,0,0,0,0,0,0,0,0,0,0
CDK3,85,46,106,22,14,35,56,35,64,146,56,64
LINC02701,11,10,23,15,1,4,1,2,4,2,6,3
GPR162,1,0,0,0,0,0,0,0,3,1,6,3
LINC02125,0,2,2,1,0,0,2,0,0,0,0,0
CCT6P2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02121,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986321,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P33,10,10,22,7,4,23,17,17,10,15,6,1
LOC101928978,14,2,17,5,2,2,11,6,12,17,18,7
LOC133332,0,0,0,0,0,0,0,0,0,0,0,0
LINC01303,36,18,3,2,0,1,0,0,2,1,0,2
CCDC34P1,0,0,0,0,0,0,0,0,0,0,0,0
OR7E59P,0,0,0,0,0,0,0,0,0,0,0,0
LOC102546229,0,0,0,0,0,0,0,0,0,1,0,0
ATP6V1E2,172,181,235,158,126,197,119,214,18,40,19,28
NTAN1P2,5,3,6,3,4,9,11,11,3,2,7,6
GLI4,179,120,161,109,106,212,169,204,127,159,142,87
CTD-2297D10.2,0,0,0,0,0,0,0,0,0,0,0,0
SNRPCP8,2,0,0,0,0,0,0,0,0,0,0,0
SMAD1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01511,1,0,0,0,0,0,0,1,0,0,1,0
LINC02492,0,0,0,0,0,0,0,0,0,0,0,0
PRSS3P1,0,0,0,0,0,0,0,0,0,0,0,0
RNF14P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC339874,21,6,5,2,2,19,6,11,5,2,9,1
MTCYBP43,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420228,0,0,0,0,0,0,0,0,0,0,0,0
TTC39CP1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02171,0,0,0,0,0,0,0,0,0,0,0,0
LINC01182,0,0,0,0,0,0,0,0,0,0,0,0
CXXC5-AS1,0,1,0,0,0,0,1,0,1,0,0,0
LOC100420534,0,0,0,0,0,0,0,0,0,0,0,0
LY6G6F-LY6G6D,0,3,0,0,0,0,0,1,0,0,0,0
LOC107986375,0,0,0,0,0,0,0,0,0,0,0,0
LOC100240735,1,0,0,0,0,0,0,0,8,0,15,24
LINC01596,0,0,0,0,0,0,0,0,0,0,0,0
LINC02123,0,0,0,0,0,0,0,0,0,0,0,0
LOC359819,0,0,0,0,0,0,0,0,0,0,0,0
REELD1,31,17,17,13,3,5,2,1,0,0,2,0
LINC00491,1,0,0,0,1,0,0,0,0,0,4,0
LOC654780,8,0,0,1,1,8,1,1,2,7,0,6
TRAJ55,0,0,0,0,0,0,0,0,0,0,0,0
RPF2P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377267,0,0,0,0,0,0,0,2,0,0,3,0
LINC02269,0,0,0,0,0,0,0,0,0,0,0,0
CCDC169-SOHLH2,0,0,0,0,0,0,0,0,0,0,0,0
OR7E99P,0,0,0,0,0,0,0,0,0,0,1,2
LOC391713,0,0,0,0,0,0,0,0,0,0,0,0
LINC01017,0,0,0,0,0,0,0,0,0,0,0,0
P3R3URF,0,0,0,0,0,0,0,0,0,0,0,0
SELENOP,185,131,294,182,10,21,10,10,21,25,18,23
HMGB3P3,0,0,0,0,0,0,0,0,0,0,0,0
RPEP1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01262,0,0,0,0,0,0,0,0,0,0,0,0
NT5C1B-RDH14,0,0,0,0,0,0,0,0,0,0,0,0
LINC02381,0,0,0,0,0,0,0,0,0,0,2,0
USP17L20,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288073,0,0,0,0,0,0,0,0,0,0,0,0
LOC101060067,0,0,0,0,0,0,0,0,0,0,0,0
LOC105369187,9,0,8,0,6,8,3,3,3,2,14,3
LINC02436,0,1,0,1,2,1,0,1,2,1,2,2
LOC100419170,32,34,32,19,26,31,21,12,26,22,29,26
LINC01365,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374428,0,2,0,0,1,0,1,0,0,2,0,0
SNHG18,189,169,207,158,240,381,292,372,0,0,0,0
HMGN1P17,0,0,0,0,0,0,0,0,0,0,0,0
TUBB8P4,0,0,0,0,0,0,0,0,0,0,0,0
PRODH2,0,0,0,0,0,0,0,0,0,0,0,0
ZBED3-AS1,21,18,20,17,22,26,26,13,22,20,16,10
LOC100505841,0,0,0,0,0,0,0,0,0,0,0,0
OR7E111FP,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P30,0,0,1,0,0,1,0,1,0,0,0,0
LOC100128865,0,0,0,0,0,0,0,0,0,0,0,0
SERF1AP1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02493,0,0,0,0,0,0,0,0,0,0,0,0
EXOC1L,0,0,0,0,0,0,0,0,0,0,0,0
LINC02111,0,0,0,0,0,0,0,0,0,0,0,0
MFSD4BP1,0,0,0,0,0,0,0,0,0,0,0,0
MRPS35P2,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P54,0,0,0,0,0,0,0,0,0,0,0,0
USP17L18,0,0,0,0,0,0,0,0,0,0,0,0
EPHA5-AS1,0,0,0,0,0,0,0,0,0,0,0,0
IGBP1P5,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPKP1,0,0,0,0,0,0,0,1,2,0,1,0
LOC105374438,0,0,0,0,0,0,0,0,0,0,0,0
XKRY,0,0,0,0,0,0,0,0,0,0,0,0
METTL21EP,1,3,0,4,1,4,0,2,6,5,1,1
OR7E85P,0,0,0,0,0,0,0,0,0,0,0,0
LINC01455,0,0,0,0,0,0,0,0,0,0,0,0
HMGB3P15,0,0,0,0,0,0,0,0,0,0,0,0
SMAD1-AS1,0,1,0,0,0,0,0,0,0,0,0,0
LOC102724776,38,13,17,20,16,16,17,16,24,20,20,10
LOC101928532,0,0,0,0,0,0,0,0,0,0,0,0
MESTP3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100127986,0,0,0,0,0,0,0,0,0,0,0,0
LNX1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ENPP7P11,1,0,0,0,0,1,0,0,0,0,0,0
TRPC7-AS2,10,13,8,7,0,0,0,0,0,0,0,0
USP9YP1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928622,0,0,0,0,0,0,0,0,0,0,0,0
LINC00492,0,0,0,0,0,0,0,0,0,0,0,0
GLUD1P3,13,8,17,8,7,9,30,27,49,35,19,26
H3P14,0,0,0,0,0,0,0,0,0,0,0,0
LINC02382,0,0,0,0,0,0,0,0,0,0,0,0
SNHG21,31,18,44,29,8,39,35,26,66,65,49,45
LOC105370401,1,2,3,2,0,0,0,0,0,2,0,0
H3P15,0,0,0,0,0,0,0,0,0,0,0,0
ORAOV1P1,0,0,0,0,0,0,0,0,0,0,0,0
GAPDHP62,12,13,14,8,5,9,19,14,6,11,6,3
LOC100286958,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A30-AS1,0,1,0,0,0,0,0,0,0,1,0,0
LOC643014,0,0,0,0,0,0,0,0,0,0,0,0
HIGD1AP13,0,0,0,0,0,0,0,0,0,0,0,0
THAP9-AS1,847,655,731,544,1104,1622,1176,1602,1087,1246,948,1030
NDUFB5P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01950,1,1,1,0,0,3,1,1,0,0,1,0
IGKV2D-40,0,0,0,0,0,0,0,0,0,0,0,0
LINC02480,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A48-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ELL2P2,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A17P,3,3,0,3,0,7,4,2,2,0,0,2
PRKG2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LMNB1-DT,0,1,0,0,0,1,0,2,0,0,0,0
NUDT19P5,1,1,1,2,0,0,0,0,0,0,0,0
LOC101927023,0,0,0,0,0,0,0,0,0,0,0,0
CTBP2P4,0,0,0,0,0,0,0,0,0,0,0,0
LOC100533708,0,0,0,0,0,0,0,0,0,0,0,0
NIFKP2,0,0,0,0,0,0,0,0,0,0,0,0
WWC2-AS1,1,0,1,2,0,0,0,0,0,0,1,0
LOC101929709,76,74,59,47,31,43,43,57,112,113,81,87
LINC02882,6,9,2,4,2,15,5,12,15,10,10,18
LOC100128494,26,16,15,10,13,17,10,14,21,16,16,22
MTND5P5,0,0,0,0,0,0,0,0,0,0,0,0
HOXC-AS3,0,0,10,0,0,0,0,1,0,1,0,0
LOC728506,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP4,0,0,0,0,0,0,0,0,0,0,1,1
F11-AS1,2,1,0,1,1,1,0,0,0,0,0,1
OR7E163P,0,0,0,0,0,0,0,0,0,0,0,0
LINC01843,30,25,8,5,28,68,63,85,40,37,39,33
UCHL1-AS1,0,0,0,0,0,1,1,0,0,1,1,1
GSTCD-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422024,1,2,0,1,0,1,1,1,0,2,2,1
OR7E21P,0,0,0,0,0,0,0,0,0,0,0,0
TMEM92-AS1,0,0,1,0,0,0,0,0,1,0,0,0
LINC01861,0,0,0,0,0,0,0,0,0,0,0,0
LINC00589,0,0,0,0,2,1,3,1,1,1,0,0
ZNF674,97,63,108,71,54,92,47,87,86,104,95,69
TMED7-TICAM2,230,197,223,134,77,82,142,158,77,81,38,74
LOC105378208,0,0,0,0,0,0,0,0,0,0,0,0
LINC00923,137,96,97,67,53,74,75,103,92,77,70,50
LINC02270,0,0,0,0,0,0,0,0,0,0,0,0
LOC645853,0,0,1,1,0,0,0,1,0,0,0,0
MTND5P4,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927845,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4AP3,0,0,0,0,0,0,0,0,0,0,0,0
LINC01337,17,11,16,9,2,5,7,3,1,1,2,3
MTCO1P9,0,0,0,0,0,0,0,0,0,0,0,0
LINC02714,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986237,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422189,0,0,0,0,0,0,0,0,0,0,0,0
B3GNTL1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927253,0,0,0,1,0,0,0,0,2,0,1,0
LOC101060035,0,0,0,0,0,0,0,0,0,0,0,0
ZNF345,35,14,18,14,15,22,15,20,34,25,18,20
LOC100505685,22,9,14,11,1,9,10,5,11,16,13,9
MTND2P31,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4B,0,2,0,0,0,0,0,0,0,0,0,0
LINC02429,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422638,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419861,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L2,7,11,4,7,2,1,0,1,3,1,2,2
LOC100287014,0,0,0,0,0,0,0,0,0,0,0,0
LINC02384,6,5,3,1,0,3,4,4,3,8,7,2
CAB39P1,0,0,0,0,0,0,0,0,0,0,0,0
NDUFB4P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100286946,1,0,0,0,0,0,0,0,0,0,0,0
LOC101929710,3,4,4,3,2,2,0,5,2,0,0,1
PCAT4,0,0,0,0,0,0,0,0,0,0,0,0
SHANK3,26,28,32,22,24,30,1,1,5,2,39,20
LINC02728,21,9,13,17,7,8,3,4,22,18,9,12
LINC01386,0,0,0,0,0,0,0,0,0,0,0,0
LINC02353,0,0,0,0,0,0,0,0,0,0,0,0
PSME2P4,0,0,0,0,0,0,0,0,0,0,0,0
TEMN3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422639,0,0,0,0,0,0,0,0,0,0,0,0
MTCYBP35,0,0,0,0,0,0,0,0,0,0,0,0
IRF5P1,0,0,0,0,0,0,0,0,0,0,0,0
MSANTD3-TMEFF1,42,40,26,21,25,26,8,21,16,17,13,13
LINC02475,20,18,73,74,0,1,7,12,2,0,1,0
LOC100420514,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P5,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420532,0,0,0,0,0,0,0,0,0,0,0,0
WWC2-AS2,2,2,2,2,1,0,1,2,0,1,1,2
LOC100506258,8,4,9,3,1,4,10,10,7,2,9,5
LINC02236,2,4,4,5,0,0,2,2,1,4,2,2
ZNF550,17,5,9,2,105,150,93,128,197,227,84,69
SEMA5A-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00499,0,3,3,0,1,1,0,3,0,0,0,2
DCANP1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00958,19,8,25,6,1,12,3,16,17,11,15,12
LINC02483,0,0,0,1,0,0,0,0,0,0,0,0
MTCYBP16,0,0,0,0,0,0,0,0,0,0,0,0
YTHDF1P1,0,0,0,0,0,0,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0,0,0,0,0,0,0
FTH1P9,0,0,0,0,0,0,0,0,0,0,0,0
LINC01256,0,0,0,0,0,0,0,0,0,0,0,0
ALDH7A1P1,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P22,0,0,0,0,0,0,0,0,0,0,0,0
LOC391798,0,0,0,0,0,0,0,0,0,0,0,0
AIDAP2,71,45,19,22,1,5,4,3,0,3,0,3
MTCO3P27,0,0,0,0,0,0,0,0,0,0,0,0
LINC02615,12,9,7,11,12,20,18,26,19,12,12,12
CCNHP1,0,0,0,0,0,0,0,0,0,0,0,0
RTEL1P1,1,1,1,2,0,0,0,0,1,4,2,0
LINC02160,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P19,0,0,0,0,0,0,0,0,0,0,0,0
RASGRF2-AS1,4,5,1,1,3,5,13,21,4,2,2,2
GTF2IP9,4,5,0,1,1,2,2,1,5,3,3,0
LOC100422204,2,1,2,3,0,2,0,4,0,0,0,0
LOC100288146,0,0,0,0,0,0,0,0,0,0,0,0
RPL32P3,412,299,286,263,162,209,178,220,567,511,488,348
MTCO1P31,0,0,0,2,0,0,0,1,0,0,0,0
TCP1P2,0,0,0,0,0,0,0,0,0,0,0,0
OR7E28P,0,0,0,0,0,0,0,0,0,0,0,0
FOXD1,248,238,224,141,257,343,209,288,8,7,5,4
PITPNM2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100289568,0,0,0,0,0,0,0,0,0,0,0,0
PGBD3P4,0,0,0,0,0,0,0,0,0,0,0,0
CENPS-CORT,6,16,31,29,15,30,35,42,3,9,1,2
LINC01099,1,1,0,2,1,0,6,2,3,4,3,0
CCDC11P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02110,0,0,0,0,0,0,0,0,0,0,0,0
TCP11X3P,0,0,0,0,0,0,0,0,0,0,0,0
LINC00605,1,0,3,2,4,2,2,1,0,2,3,1
LINC02201,0,0,0,0,0,0,0,0,0,0,0,0
LINC01957,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P12,0,0,0,0,0,0,0,0,0,0,0,0
IGKV1D-39,0,0,0,0,0,0,0,0,0,0,0,0
OR12D1,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPKP3,0,0,0,0,0,0,0,0,0,0,0,0
MALAT1,6100,3621,6481,4667,3105,4191,1659,3658,10856,9890,8912,7824
IARS2P1,3,3,7,4,1,6,3,4,6,8,4,4
HMGB1P35,0,0,0,0,1,1,1,1,2,0,0,0
ALG3P1,1,0,0,0,0,0,0,0,0,0,0,0
LINC02106,0,0,0,0,0,0,0,0,0,0,0,0
LOC105379109,0,0,1,0,0,0,0,0,0,0,0,0
C5orf64-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01267,5,3,11,5,0,0,2,0,2,2,0,0
TRBV21-1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420298,0,0,0,0,0,0,0,0,0,0,0,0
LINC02482,2,5,5,9,11,12,13,19,9,11,18,15
NIFKP7,0,0,0,0,0,0,0,0,0,0,0,0
ABCA11P,143,129,138,83,54,91,75,93,103,121,60,64
HADHAP1,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P25,0,0,0,0,0,0,0,0,0,0,0,0
LOC105379030,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927636,0,0,0,0,0,0,0,1,0,1,0,0
LOC100507437,44,34,48,36,46,67,72,77,35,33,32,34
OR12D1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02508,0,0,0,0,0,0,0,0,0,0,0,0
STPG2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
FAM153B,0,0,0,0,0,0,0,0,0,0,0,0
LINC02241,0,0,0,0,0,1,0,1,0,0,0,0
LINC02172,4,10,5,0,6,4,5,4,9,6,4,9
LINC02379,0,0,0,0,0,0,0,0,0,0,0,0
LOC105374344,0,0,0,0,0,0,0,0,0,0,0,0
PRB1,0,0,0,0,0,0,0,0,5,7,17,18
PRELID3BP5,0,0,0,0,0,0,0,0,0,1,1,0
SUMO2P5,0,0,0,0,0,0,0,0,0,0,0,0
PCDHA12,0,0,0,0,0,3,0,0,0,0,0,0
BRCC3P1,5,4,13,3,6,4,6,4,3,4,1,6
FAM86EP,91,84,68,79,47,119,76,151,58,136,48,90
SNHG27,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929773,1,3,2,0,0,1,0,0,0,0,0,0
OR10J8P,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422022,0,0,0,0,0,0,0,0,0,0,0,0
PTX4,3,1,1,0,0,0,0,0,1,3,1,1
USP17L9P,0,0,0,0,0,0,0,0,0,0,0,12
RN7SKP24,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP445,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-857P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-998P,1,0,0,0,0,0,1,0,0,0,0,0
RNA5-8SP6,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-61P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-68P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-632P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-20P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP67,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP419,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-13P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-408P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-123P,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-3P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-175P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-41P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-488P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP401,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP122,0,0,0,0,0,0,0,0,0,0,0,0
SCARNA8,4,0,0,2,1,2,0,1,1,0,0,1
RNU6-1053P,1,0,1,0,0,2,0,1,0,1,0,0
RNU4ATAC13P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP13,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-124P,0,0,0,0,0,0,1,0,0,0,1,0
RNA5SP112,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-60P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4ATAC11P,0,0,1,0,0,0,0,0,0,0,0,0
RNU5F-8P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP46,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-29P,0,0,0,0,0,0,0,0,0,0,0,1
RNU6-75P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-999P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP385,0,0,2,0,0,0,0,0,0,0,0,0
RN7SKP298,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP418,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-138P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-470P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP446,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP518,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-8P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP217,0,0,1,0,0,0,0,0,0,0,0,0
RNA5SP486,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1129P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-377P,1,1,0,1,1,1,1,0,1,0,0,0
RN7SKP242,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP356,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1170P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP20,0,0,0,0,0,0,0,0,0,0,0,0
