gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
LINC02078,8,16,10,13,12,4,15,21,7,8,13,6
LINC02565,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-9,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372143,0,0,0,0,0,0,0,0,0,1,1,0
LOC105372233,45,65,49,90,63,41,64,91,52,46,71,56
RPS10P27,0,0,0,0,0,0,0,0,0,0,0,0
EML2-AS1,65,64,58,55,41,43,34,82,47,37,34,29
MIR4527HG,0,0,0,0,0,0,0,0,0,0,0,0
LINC01801,0,0,0,0,0,0,0,0,0,0,0,1
LOC100419624,0,0,0,0,0,0,0,0,0,0,0,0
LINC01999,0,0,0,0,0,0,0,0,0,0,0,0
LINC01791,0,0,0,0,0,0,0,0,0,0,0,0
LINC01533,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A36P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01987,0,0,0,0,0,0,0,0,0,0,0,0
SMIM22,0,0,0,0,0,0,0,1,0,0,0,0
LIN37,74,109,54,100,87,68,107,118,90,85,99,84
LOC107985131,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA7,457,683,529,606,524,450,378,530,324,271,267,212
MZF1-AS1,15,28,24,25,21,17,22,18,15,13,15,9
ZNF460-AS1,2,0,4,3,5,3,3,2,4,6,4,2
LOC100131496,1,3,0,5,0,1,2,2,2,1,3,1
ZSCAN5DP,0,0,0,0,0,0,0,0,0,1,0,2
CCDC177,0,0,0,1,0,0,0,0,1,0,0,0
MIR3188,1,0,0,1,0,0,2,0,0,1,3,0
OR10B1P,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372441,0,0,0,0,0,0,0,0,0,0,0,0
MAGEA9B,0,0,0,0,1,0,0,0,0,0,0,0
CARD8-AS1,173,227,136,230,122,158,78,115,87,89,80,68
PTOV1-AS1,16,25,26,30,11,13,18,46,14,20,19,10
SSX4,0,0,0,0,0,0,0,1,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,1,0,0
LINC01785,0,0,0,0,0,0,0,0,0,0,0,0
ERFL,0,0,0,0,0,0,0,0,1,0,0,0
NBPF12,269,373,219,330,180,263,318,347,267,187,302,166
BNIP3P40,0,0,0,0,0,0,0,0,0,0,0,0
NAPA-AS1,6,12,5,3,6,1,1,13,8,2,7,6
SRP14P4,0,0,0,0,0,0,0,0,0,0,0,0
FMR1-AS1,0,2,0,0,0,0,2,2,2,0,0,1
RPL22P5,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P30,0,0,0,0,0,0,0,0,0,0,0,0
GABRQ,0,0,0,0,0,0,1,0,0,0,0,0
ZNF649-AS1,0,1,0,0,0,0,0,0,0,0,0,0
CYP2G2P,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A14,1,3,0,2,1,1,1,2,1,0,0,1
LOC105372321,7,15,11,7,7,8,7,12,6,17,11,23
LOC100289361,20,17,12,20,17,20,28,40,18,36,35,19
LOC100129935,2,3,3,7,4,4,6,6,2,5,3,3
BNIP3P22,0,0,0,0,0,0,0,0,0,0,0,0
SMIM17,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422190,0,0,0,0,0,0,0,0,0,0,0,0
OPN1MW,0,0,0,0,0,0,0,0,0,0,1,0
ARL14EPL,0,0,0,0,0,0,0,0,2,0,0,1
FKBP4P6,0,0,0,0,0,0,0,1,0,0,0,0
TCP11X1,0,0,0,0,0,0,0,0,0,0,0,0
IGFL1P2,0,0,0,0,0,0,0,0,0,0,0,0
AIRN,0,0,0,0,1,0,1,3,1,0,0,0
LINC02560,0,0,0,1,1,0,0,0,1,0,0,0
LINC01872,0,0,0,0,0,0,0,0,0,0,0,1
BNIP3P25,0,0,0,0,0,0,0,0,0,0,0,0
LRRC2-AS1,1,1,0,3,1,0,1,3,0,0,3,1
BNIP3P23,0,0,0,0,0,0,0,0,0,0,0,0
FAM156A,337,479,400,522,528,478,323,442,211,231,207,254
FENDRR,0,2,1,0,0,0,3,0,1,0,0,0
MTCO3P42,0,0,0,0,0,0,0,0,0,0,0,0
LOC644656,57,61,33,64,45,41,60,86,60,72,64,57
MTDHP3,0,0,0,0,0,0,0,0,0,0,0,0
HAVCR1P1,0,0,0,0,0,0,0,0,0,0,0,0
SSX2B,0,0,0,0,0,0,0,0,0,0,0,0
LOC93429,15,10,2,12,9,3,2,16,4,3,6,5
BNIP3P38,0,1,0,0,0,0,1,0,0,0,0,0
MIR4453HG,58,71,48,87,76,73,135,181,120,117,130,83
LOC100132686,2,0,1,1,0,0,1,3,1,1,3,3
NFILZ,0,0,0,0,0,0,0,0,0,1,0,0
RPL7AP69,0,0,0,0,0,0,0,0,1,0,0,0
LOC105372482,14,36,18,38,21,18,30,35,16,44,52,30
VN1R83P,10,14,6,12,11,5,13,15,8,9,10,7
CYP2T3P,0,0,0,0,0,0,0,0,0,0,0,0
LINC02135,0,0,0,0,0,0,0,0,0,0,0,0
MTDHP4,0,0,0,0,0,0,1,0,0,0,0,0
VN1R107P,1,0,0,0,0,0,0,0,0,0,0,0
RAET1E-AS1,0,4,2,1,3,1,0,4,3,1,2,2
VN1R106P,0,0,0,0,0,0,0,0,0,0,0,0
VN1R80P,1,2,1,1,1,0,0,1,0,0,0,0
MAGEA2,0,0,0,0,0,0,0,0,0,0,0,0
IGFL2-AS1,4,20,12,85,64,86,31,57,38,47,56,30
LOC646666,0,0,0,0,0,0,0,0,0,0,0,0
TEX13A,0,0,0,0,0,0,0,0,0,0,0,0
LOC102725254,0,0,0,2,0,0,0,0,0,0,1,0
CTAG1A,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133225,0,0,0,0,0,0,0,0,0,1,0,0
MIMT1,0,0,0,0,1,0,5,3,0,0,1,1
LOC101059948,1,0,0,0,0,4,0,1,1,0,0,0
LINC00664,7,10,5,6,10,9,7,9,9,6,7,2
COX6CP7,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928295,18,10,14,9,10,5,14,14,8,14,12,10
ZNF723,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P26,0,0,0,0,0,0,0,1,0,0,0,0
BNIP3P33,0,0,0,0,0,0,0,0,0,0,0,0
MTCO3P39,0,5,3,4,1,2,6,5,0,6,6,1
HSFX2,0,1,0,2,1,0,1,0,0,0,0,0
ADGRE4P,0,2,1,0,0,0,0,3,2,0,3,0
RPL7P50,0,1,0,1,0,0,1,0,1,0,0,1
VN1R87P,0,0,0,0,0,0,0,0,0,0,0,0
VN1R90P,0,0,0,0,0,0,0,0,0,0,0,0
H3Y2,0,0,0,0,0,0,0,0,0,0,0,0
LOC91370,5,6,6,5,2,2,0,6,1,0,0,0
BNIP3P32,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268269,18,25,18,18,33,22,29,42,20,18,18,15
ARHGEF18,0,65,41,13,18,0,22,0,0,0,0,0
LOC284379,9,8,6,8,10,7,10,17,3,6,17,3
LOC100419847,0,0,0,0,0,0,0,0,0,1,0,0
PLCE1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
A1BG-AS1,1,0,3,0,0,2,0,2,2,0,1,0
CSAG2,0,1,0,0,0,0,0,0,0,0,0,0
VN1R92P,0,0,0,0,0,0,0,0,0,0,0,0
CSAG3,0,0,0,0,0,0,0,0,0,0,1,0
CT45A1,0,0,0,0,0,0,0,1,0,0,0,0
LINC01711,0,0,0,0,0,1,0,0,0,0,0,1
ERVV-2,0,0,0,0,0,0,0,0,0,0,0,0
SPANXN2,0,0,0,0,0,0,0,0,0,0,0,0
RPL22P6,0,0,0,0,0,1,0,0,0,0,0,0
FAM236B,0,0,0,0,0,0,0,0,0,0,0,0
MAN1B1-DT,9,25,16,14,13,15,27,36,18,11,29,18
MTRNR2L2,0,0,0,2,2,3,1,5,5,4,1,4
LINC01838,0,0,0,0,0,0,0,0,0,0,0,1
BNIP3P24,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372316,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P18,0,0,0,0,1,0,0,0,0,0,0,0
CALR3,2,0,4,6,2,1,0,7,1,0,2,0
ZNF728,0,1,1,2,1,0,0,0,0,0,0,0
LOC101928517,1,1,0,0,0,0,0,0,0,0,0,0
CT45A3,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1LP1,0,0,0,0,0,1,0,0,0,0,1,0
LSP1P1,0,0,0,0,0,0,0,0,0,0,0,0
TRABD2B,0,0,0,0,0,0,0,0,0,0,1,0
CCNYL6,0,0,0,0,0,0,0,0,0,0,0,0
LOC441179,0,0,0,0,0,0,1,2,0,0,2,0
LINC01082,0,0,0,0,0,0,0,0,0,1,0,0
LOC375196,5,14,4,17,15,6,7,12,8,9,8,9
LINC00528,5,11,6,8,3,5,7,6,5,2,3,5
TMSB15B,3,7,3,4,4,6,4,5,4,3,6,2
ZNF350-AS1,1,6,4,7,3,6,3,7,1,7,2,2
RPL23AP78,0,1,0,0,0,0,0,0,0,0,0,0
LOC100505851,0,0,0,0,0,0,0,0,0,0,0,0
ZSCAN16-AS1,123,161,104,124,78,70,68,124,70,69,83,42
MAGIX,15,30,27,31,24,34,26,49,40,49,41,34
RAD54L2P1,0,0,0,0,0,0,0,0,0,0,0,0
VN1R93P,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA2P9,0,0,0,0,0,0,0,0,0,0,0,0
IKBKG,102,149,84,156,114,110,151,147,88,94,105,107
ZNF587B,675,962,575,891,687,708,569,697,497,435,450,291
LINC01233,0,0,0,0,0,0,0,1,0,0,0,0
LOC732229,7,6,0,5,9,7,8,12,3,6,3,2
RAB11B-AS1,38,54,47,60,38,23,25,50,26,25,33,19
SPIB,7,14,9,18,18,15,12,14,12,9,11,12
NXF2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01224,13,9,7,10,7,10,7,4,1,6,1,1
PLA2G4C-AS1,0,0,0,0,0,0,0,1,0,0,0,0
BNIP3P8,0,0,0,0,0,0,0,0,0,0,0,0
OPN1MW3,0,0,0,0,0,0,0,0,0,0,0,0
NXF2B,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507551,19,30,31,25,31,19,23,39,20,19,23,22
H3Y1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420250,0,0,0,0,0,0,0,0,0,0,0,0
DMRTC1,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P34,0,0,0,0,0,0,0,0,0,0,0,0
ERVV-1,1,0,0,0,0,0,0,0,0,0,0,0
TMEM185A,48,57,44,25,27,35,41,40,20,13,4,17
CT45A10,0,0,0,0,0,0,0,1,0,0,0,0
OSTCP3,0,0,0,0,0,0,0,0,0,0,0,0
RPARP-AS1,290,418,300,411,336,306,334,499,298,343,419,288
MTDHP2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422633,0,0,0,0,0,0,0,0,0,0,0,0
NOP53-AS1,0,0,0,0,0,0,0,0,0,0,0,1
BNIP3P39,0,0,0,0,0,0,0,0,0,0,0,0
FKBP4P2,0,0,0,0,0,0,0,0,0,0,0,0
ZIM2,10,9,12,2,9,9,0,3,7,10,0,0
NBPF9,351,476,365,487,327,422,179,406,191,117,125,141
CCDC194,1,4,1,1,1,2,1,1,1,1,0,0
BNIP3P29,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A53,36,63,33,58,43,40,29,61,29,28,26,25
LOC100422106,0,0,0,0,0,0,0,0,0,0,0,0
MIR1470,0,0,0,0,0,0,0,0,0,0,0,0
LOC100887072,0,1,0,0,0,0,1,0,2,0,1,0
KCNQ1OT1,1804,2228,1765,2413,1491,2001,2330,2910,1820,2189,2197,1575
ZNF528-AS1,6,6,7,12,3,7,3,9,8,8,4,5
CCNYL6,0,1,0,0,0,1,1,2,0,0,0,0
RNF225,1,1,0,0,0,0,2,0,0,0,2,2
EGLN2,1199,1814,1402,1839,1923,1364,1454,1911,1276,1180,1334,1124
ARHGAP19-SLIT1,0,0,0,1,0,0,66,35,91,1,0,20
SNHG8,2132,3192,1786,2931,2409,2334,1885,2574,1838,1697,1907,1449
LOC100129534,9,10,10,11,13,8,39,18,7,6,15,13
COMMD3-BMI1,235,266,279,355,229,198,197,358,259,158,237,207
RMRP,56462,100759,60282,52797,43297,39039,47992,60971,62028,45523,39714,46518
MAP2K4P1,0,0,1,3,2,1,1,0,0,0,0,2
FMC1-LUC7L2,158,284,164,310,257,201,155,246,126,176,102,124
MKNK1-AS1,0,0,0,0,0,0,0,1,0,1,0,0
SPACA6P-AS,2,2,2,2,0,0,0,3,0,0,0,2
MEI4,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927972,0,0,0,0,2,1,0,0,0,0,0,0
LOC440173,3,1,0,3,1,1,5,4,1,1,9,3
LOC101928659,7,7,3,7,8,3,10,10,3,4,5,2
ZNF559-ZNF177,14,5,0,5,3,4,7,17,2,9,3,12
BMS1P7,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927837,19,14,15,11,12,11,10,23,17,3,11,5
TSNAX-DISC1,9,5,1,2,1,3,4,6,3,0,1,0
LOC101928557,0,0,0,0,0,0,0,0,0,0,0,0
LINC01480,2,0,0,1,1,1,0,0,0,0,0,0
NCBP2AS2,161,231,182,241,214,187,233,271,188,147,166,139
LOC101927950,0,0,0,0,0,0,0,0,1,0,0,0
BIVM-ERCC5,846,1104,737,841,701,742,521,750,368,396,418,229
MTRNR2L11,0,0,0,1,0,0,0,0,0,0,0,0
BNIP3P31,0,0,0,0,0,0,0,0,0,0,0,0
LOC152048,50,68,45,64,35,51,48,74,44,44,64,40
GTF3C6P3,0,0,0,0,0,0,0,0,0,0,0,0
DUXAP11,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P22,0,0,0,0,0,0,0,0,1,0,0,0
LOC100419811,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P22,1,1,1,1,0,0,1,0,2,3,0,2
NBPF8,133,177,120,104,70,98,56,73,57,34,20,13
MTCYBP22,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420336,0,0,0,0,0,0,0,0,0,0,0,0
NDUFB8P2,0,0,0,0,0,0,0,0,0,1,0,0
CORO1CP1,0,1,0,0,0,0,0,0,0,0,0,0
BNIP3P10,1,0,0,0,0,0,1,0,0,1,0,0
H4C15,75,252,24,111,139,151,280,304,192,251,331,179
LOC100419046,0,0,0,0,1,0,0,0,0,0,0,0
LOC100422449,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100533631,0,0,0,0,0,0,0,1,0,0,1,0
LOC100419713,0,0,0,0,0,0,0,0,0,1,0,0
BNIP3P9,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419616,0,0,0,0,0,0,0,0,0,0,0,0
SMC2-AS1,15,30,13,30,18,16,8,19,18,34,30,6
XIAPP1,0,0,0,0,0,0,0,0,0,0,0,0
PPIAL4H,0,0,0,0,0,0,0,0,0,0,0,0
HMGN3-AS1,19,34,20,23,23,14,31,14,13,13,7,9
HEATR9,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-154P,0,0,0,0,0,0,0,0,0,0,0,0
RFPL4AP4,0,0,0,0,0,0,0,0,0,0,0,0
MTCO3P22,0,0,0,0,0,0,0,0,0,0,0,0
SFXN4P1,0,0,0,0,0,0,0,1,0,0,0,0
PFN1P2,0,0,2,1,1,0,5,2,1,0,2,1
MTRNR2L13,0,0,0,0,0,0,0,0,0,0,0,0
DPPA3P3,0,0,0,0,0,0,0,0,0,0,0,0
CAHM,14,18,19,18,14,15,21,36,18,17,20,12
PAWRP2,0,0,0,0,0,0,3,0,2,0,0,0
LOC100419644,0,0,0,0,0,0,0,0,0,0,1,0
KNOP1P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100533677,0,0,0,0,0,0,0,0,0,0,0,0
OR7E108P,0,0,0,0,0,0,0,0,0,0,0,0
PPIGP1,0,1,1,0,0,0,0,0,0,0,0,0
AZU1P1,0,0,0,0,0,0,0,0,0,0,0,0
COPS5P2,0,0,0,0,0,0,0,0,0,0,0,0
CHCHD4P1,0,1,0,0,0,0,0,0,0,0,0,0
LOC100421651,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-9,0,0,0,0,0,0,0,1,0,0,0,0
IGHV3-32,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P37,5,6,4,5,1,4,7,4,2,3,2,2
PQLC1P2,0,0,0,0,0,0,0,0,0,0,0,0
LETM1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100128293,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420680,0,0,0,0,0,0,0,0,0,0,0,0
QTRT1P1,0,0,0,1,1,0,0,0,1,0,0,0
SNRPGP19,0,0,0,0,0,0,0,0,0,0,0,0
FAM133EP,0,0,0,0,0,0,0,0,0,0,0,0
ELOCP34,0,0,0,0,0,0,0,0,0,0,0,0
LINC01235,7,6,9,7,8,8,6,13,5,6,6,5
IGHV3-30,0,0,0,0,0,0,0,0,0,0,0,0
EIF3EP4,0,0,0,0,0,0,1,0,0,0,1,0
PKD1P6-NPIPP1,6,20,21,27,11,9,28,45,18,35,44,55
LOC100420872,0,0,0,0,0,0,0,0,0,0,0,0
SNX2P1,0,1,0,0,0,0,0,0,0,0,0,0
HCG17,1,0,1,0,0,0,0,0,0,0,0,0
PPIAP52,0,0,0,0,1,0,0,0,0,0,0,0
SGO1P1,0,0,0,0,0,0,0,0,0,0,0,0
URGCP-MRPS24,4,0,0,4,0,0,0,0,0,0,4,0
LOC401913,0,0,0,0,0,0,0,0,0,0,0,0
NUDT19P6,0,0,0,0,0,0,0,0,0,0,0,0
NBPF14,478,743,442,615,613,495,391,498,371,157,245,160
LOC100287840,0,1,0,0,0,0,0,0,0,0,0,0
ECM1P1,0,0,0,0,0,0,0,0,0,0,0,0
TSIX,114,160,121,164,142,130,173,212,140,155,183,126
TAF15,839,1158,809,1171,1006,950,1393,1667,1071,971,1120,781
CYP2C61P,0,0,0,0,0,0,0,0,0,0,0,0
FTLP9,0,0,0,0,0,0,0,0,0,0,0,0
MTRNR2L6,0,0,0,0,0,0,0,0,0,0,0,1
YTHDF3-AS1,16,20,10,11,12,5,12,31,16,12,10,22
LOC100422559,0,1,0,0,0,0,0,0,0,0,0,0
FAM71BP1,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376334,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422319,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P15,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP92,0,0,0,0,0,0,0,0,0,0,0,0
MRPS6P1,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP8,0,0,0,0,0,0,0,0,0,0,0,0
S100A11P9,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420545,0,0,0,0,0,0,0,0,0,0,0,0
FBXW7-AS1,0,0,0,0,0,0,0,0,0,0,1,0
HSPE1-MOB4,136,163,109,183,117,145,115,128,78,107,104,70
DDX43P2,0,0,0,0,0,0,0,0,0,0,0,0
GAS2L2,9,9,10,23,22,18,2,5,7,7,2,3
PDHA1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421508,0,0,2,1,1,0,0,1,0,0,0,0
DPRXP6,0,0,0,0,0,0,0,0,0,0,0,0
LLPHP1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420324,0,0,0,0,0,0,1,0,0,0,0,0
RPS10-NUDT3,241,322,188,335,295,243,259,395,181,90,165,76
C17orf50,1,0,2,0,0,0,0,1,0,0,0,0
LINC00221,0,1,1,0,0,0,1,4,2,3,3,3
LOC100129949,0,0,0,0,0,0,0,0,0,0,0,0
NF1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100130664,0,0,0,0,0,0,0,0,0,0,0,0
DDX55P1,0,0,0,1,0,0,1,0,0,0,1,1
GCATP1,16,23,20,17,15,15,19,20,13,10,9,6
LOC100127892,0,0,0,0,0,0,0,0,0,0,0,0
H4C14,3774,5312,3701,6551,4980,4237,3229,4945,2966,5268,5330,4251
RASL10B,26,29,13,36,26,27,22,42,12,15,17,11
NUDT19P4,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA3P9,0,1,0,0,0,0,0,0,0,0,0,0
ATP6V1G1P5,0,0,0,0,0,0,0,1,0,0,1,0
MTND4P35,0,0,0,0,0,0,0,1,0,0,0,0
LOC100419654,0,0,0,0,0,0,0,0,0,0,0,0
MCRIP2P2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R6P,4,4,0,2,4,4,4,3,5,3,5,2
GRAMD4P8,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420531,0,0,0,0,0,0,0,0,0,0,0,0
LOC442172,0,0,0,0,0,0,0,0,0,0,0,0
RAP2CP1,0,0,0,0,0,0,0,0,0,0,0,0
CT45A9,0,0,0,0,0,0,0,0,0,0,0,0
MTDHP1,0,0,0,0,0,0,1,0,0,0,1,0
LPP-AS2,0,1,0,0,0,0,3,1,0,0,0,0
NTAN1P1,0,0,0,0,0,0,0,0,0,0,0,0
GLULP1,0,0,0,0,0,0,0,1,0,1,1,1
LOC100420048,0,0,0,0,0,0,0,0,0,0,0,0
EIF2AP3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420254,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421548,0,0,0,0,0,0,0,0,0,0,0,0
CTHRC1P1,0,0,0,0,0,0,0,0,0,0,0,0
HSPE1P19,3,9,2,11,4,1,1,2,1,6,4,2
KATNBL1P1,0,0,0,0,0,0,0,0,0,0,0,0
RNPC3P1,0,0,0,0,0,0,0,0,0,0,0,0
CLPTM1LP1,0,0,0,0,0,0,0,0,0,0,0,0
HMGB1P43,0,0,0,0,0,0,0,0,0,0,0,0
HAVCR1P2,0,0,0,0,0,0,0,0,0,0,0,0
GMCL1P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420775,0,0,0,0,0,0,0,0,0,0,0,0
CTAGE15,0,0,0,0,0,0,0,1,1,1,0,1
NAMA,0,0,0,0,0,0,0,1,0,0,0,0
TLCD4-RWDD3,62,60,30,99,29,56,40,71,34,28,36,25
BNIP3P28,3,1,1,2,3,2,1,3,1,1,1,2
SUMO2P14,0,0,0,0,0,0,0,0,0,1,0,0
DBF4P3,0,0,0,0,0,0,0,0,0,0,0,0
IMMP1LP3,0,0,0,0,0,0,0,0,0,0,0,0
KATNBL1P5,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420211,0,0,0,0,0,0,0,0,0,0,0,0
LOC100101127,0,0,0,0,0,0,0,0,0,0,0,0
MARK2P7,0,0,0,0,0,0,0,0,0,0,0,0
LOC101930085,56,77,36,68,52,44,55,64,29,43,49,27
IGHV3OR16-8,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP75,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927811,0,0,0,0,0,0,0,0,0,0,0,0
PRR20FP,0,0,0,0,0,0,0,0,0,0,0,0
YWHAQP7,0,3,0,0,0,0,0,0,0,0,0,0
LOC101928952,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP88,0,0,0,0,4,0,0,0,0,0,0,14
WDR4P1,0,0,0,0,0,0,0,0,0,0,0,0
BOLA2P2,0,0,0,0,0,0,0,0,1,0,0,0
LOC100418956,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420790,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419701,0,0,0,0,0,0,0,0,0,0,0,0
RNF138P2,0,0,0,0,0,0,0,0,0,0,0,0
MTCO1P22,0,0,0,0,0,0,0,0,0,0,0,0
BRDTP1,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P4,0,0,0,0,0,0,0,0,0,0,0,0
SREK1IP1P2,0,0,0,0,0,1,0,0,0,0,0,0
KRT18P9,0,0,0,0,0,0,0,0,1,0,0,0
SUMO2P15,0,0,0,0,0,0,0,0,0,0,0,0
HMGB1P50,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422418,0,0,0,0,0,0,0,0,0,0,0,0
DIMT1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC102724250,85,79,65,107,82,106,47,50,29,35,44,20
TMCC1-AS1,94,118,70,106,63,84,60,74,46,53,48,33
UGT2A2,1,0,0,0,0,0,0,0,0,0,0,0
CYTH1P1,0,0,0,0,0,0,0,0,0,0,0,0
BCRP9,0,0,0,0,0,0,0,0,0,0,0,0
H3P19,0,0,0,0,0,0,0,0,0,0,0,0
SRXN1,535,779,543,974,802,801,638,859,531,960,1197,901
RAC1P9,0,0,0,0,0,0,0,0,1,0,0,0
CTAGE6,0,0,0,0,0,0,0,0,0,0,0,0
B3GNTL1P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100130714,0,0,0,2,0,1,0,0,0,1,0,0
LINC02104,0,0,0,0,0,0,1,0,0,0,0,0
NDE1P2,1,1,0,0,1,1,0,1,0,0,0,0
LOC100422685,0,1,0,1,0,0,0,0,0,0,0,0
USP21P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984208,1,2,1,4,2,0,3,11,3,5,2,0
LOC100420205,1,0,0,0,0,0,0,0,1,0,0,0
LOC100421901,0,0,0,0,0,0,0,0,0,0,0,0
NANOGP3,0,0,0,0,0,0,0,0,0,0,0,0
IGKV1ORY-1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929308,0,0,0,0,0,0,0,0,0,0,1,0
LOC101928120,8,9,8,12,11,11,5,7,4,11,8,4
NBPF19,80,97,99,18,20,33,44,65,68,30,24,20
SRGNP1,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL9P1,0,0,0,0,0,0,0,0,0,0,0,0
NAPGP1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419851,0,0,0,0,0,0,0,1,0,0,0,0
RPL23AP90,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421116,0,0,0,0,0,0,0,0,0,0,0,0
NBPF10,207,338,262,288,192,252,172,180,144,78,47,53
PPATP2,0,0,0,0,0,0,0,0,0,0,0,0
TEKT4P3,0,0,0,0,0,0,0,0,0,0,0,0
MMP28,2,2,0,0,4,0,2,0,0,0,0,0
CT45A2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100422549,0,0,0,0,0,0,1,0,0,0,0,0
CKAP2LP1,0,1,0,0,0,0,0,0,0,1,0,0
SQSTM1P1,0,0,0,0,0,0,0,0,1,1,0,0
LOC100422334,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421842,0,0,0,0,0,0,0,1,0,0,0,0
MTND3P19,0,0,0,0,0,0,0,0,0,0,0,0
RBM11P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100131557,0,0,0,0,0,0,0,0,0,0,0,0
MEMO1P5,0,0,0,0,0,0,0,0,0,0,0,0
SNRPGP20,0,0,0,0,0,0,0,0,0,0,0,0
