gene_name,Wild-type_rep1,Wild-type_rep2,Wild-type_rep3,ATF7IP_KO_rep1,ATF7IP_KO_rep2,ATF7IP_KO_rep3,SETDB1_KO_rep1,SETDB1_KO_rep2,SETDB1_KO_rep3
LOC101929759,0,0,0,0,0,1,0,1,1
LOC101929210,0,0,0,0,0,0,0,1,0
LINC02288,11,10,20,10,14,7,7,12,12
LOC105377348,7,3,4,6,9,3,5,4,6
LOC389641,61,79,67,46,77,44,97,94,43
CACNA1C-AS1,0,0,1,0,0,0,0,0,0
PICART1,6,3,6,6,12,5,6,3,9
LINC00535,1,4,1,0,0,0,2,0,1
H2AFJ,104,127,132,65,132,79,124,135,108
MGC16275,20,20,19,23,22,11,26,21,18
PLA2G4E-AS1,2,8,3,2,2,3,2,3,3
RGMB-AS1,9,16,12,18,16,9,21,24,21
LOC106699570,14,27,30,16,38,10,26,26,28
STARD4-AS1,72,115,88,81,130,44,101,123,81
LOC101927282,3,6,6,3,6,3,3,5,3
UBAP1L,34,44,33,25,58,28,43,39,32
SOCS2-AS1,34,37,39,38,62,24,54,55,43
PGAM5,1258,1747,1310,1097,1579,659,1179,1551,922
BAALC-AS1,12,21,19,18,35,7,22,30,25
MIR210HG,16,22,25,16,21,6,6,27,14
LOC101928002,3,3,8,4,12,2,2,9,9
CSTF3-AS1,18,7,14,7,5,11,15,16,17
LINC01252,7,6,8,2,18,6,7,7,5
LOC439933,5,4,10,5,5,6,5,5,8
LOC102546294,14,11,18,31,98,58,50,57,38
LINC01498,3,3,6,1,2,4,2,2,3
LOC400541,0,1,0,0,0,0,0,0,0
UBL7-AS1,32,60,53,77,140,29,76,115,67
ZBED5-AS1,81,79,63,29,54,13,68,63,36
ZCCHC3,279,448,351,350,530,224,444,522,383
LOC100507250,12,21,17,15,17,7,11,22,15
DNAJC3-AS1,50,60,55,55,67,41,52,56,54
LOC101928847,4,5,1,4,5,0,4,4,3
LOC100506314,37,48,49,34,53,23,37,49,27
MIR4458HG,287,352,303,236,321,195,210,359,249
CKMT2-AS1,79,96,87,64,85,43,88,78,62
SPTY2D1-AS1,30,26,30,12,36,15,19,19,16
TWF2,265,313,282,200,354,119,250,344,208
CPEB2-AS1,5,4,5,5,7,1,3,4,5
MARS2,149,212,174,134,171,91,115,191,110
LRP4-AS1,9,8,2,7,13,4,8,9,4
STX18-AS1,44,64,53,58,70,37,95,85,39
USP51,2,3,6,1,2,0,0,2,2
PCED1B-AS1,26,26,26,24,29,12,18,21,16
SNCA-AS1,0,0,0,2,3,0,1,0,1
LOC257396,25,27,28,24,24,11,31,28,23
NR2F2-AS1,2,2,0,2,4,2,0,3,2
TMEM161B-AS1,67,92,125,73,132,57,99,107,99
LOC283214,3,0,4,0,1,0,2,0,0
SEC24B-AS1,11,9,7,8,14,7,18,21,11
LINC00926,18,20,20,13,22,9,8,11,8
NRAV,147,203,190,153,231,107,194,185,129
FAM13A-AS1,20,28,26,21,20,12,11,40,18
LOC100128386,6,5,0,2,7,0,2,3,2
UBA6-AS1,60,71,80,64,89,38,119,101,65
LOC100132813,0,0,1,0,2,0,1,0,0
DPH6-AS1,2,1,2,1,2,1,5,4,1
BCKDHA,262,448,390,402,433,117,437,437,301
INSL3,1,1,2,1,6,2,0,2,1
LINC02039,0,0,0,0,0,0,0,0,0
LOC105378220,86,138,168,673,1326,860,858,939,648
LINC01019,0,0,0,0,0,0,0,0,0
LINC02383,1,0,0,1,0,3,0,0,2
ADH1C,0,0,0,0,0,0,0,0,0
LINC02150,0,2,1,3,4,2,3,0,2
TRIM39-RPP21,0,0,0,0,0,0,0,0,0
LINC02268,1,4,1,8,8,2,2,8,8
LINC00290,0,0,0,0,0,0,0,0,0
LINC02234,0,1,3,3,6,2,1,2,0
LINC02355,0,0,0,0,0,0,0,0,0
STX18-IT1,0,0,0,1,1,1,0,1,2
SLIT2-IT1,0,0,0,0,0,0,0,0,0
FLJ12825,16,32,35,31,44,18,31,47,31
TRIM52-AS1,30,33,30,28,31,16,43,48,22
LOC105371814,3,5,5,1,3,0,3,7,2
LINC02120,0,0,0,0,0,0,0,0,0
MTCYBP44,1,1,1,2,6,1,1,0,0
LINC00616,0,0,0,0,0,0,0,0,0
MEF2C-AS1,9,14,10,3,8,8,5,6,5
LOC101927543,3,2,4,2,0,0,2,1,0
LINC02275,17,19,21,8,22,13,15,20,14
LUCAT1,22,46,49,27,41,18,52,47,19
APELA,5,5,6,6,9,5,1,7,5
LINC00613,0,0,0,0,0,0,0,0,0
TUB-AS1,0,1,0,0,1,0,1,2,1
CDK11B,415,531,648,356,601,283,570,555,460
LOC101928288,10,10,7,10,15,4,5,12,11
LINC00504,217,276,399,185,419,168,320,338,258
LINC02056,1,0,1,2,0,1,0,1,0
PCDHAC1,1,0,0,1,2,1,0,0,0
TARM1,3,2,1,1,2,1,2,6,1
ARHGAP8,2,3,7,0,2,0,5,5,3
LINC01197,11,6,5,8,9,3,12,10,4
SEMA6A-AS1,2,1,3,5,0,0,3,1,2
PCDHGB8P,4,4,2,2,2,2,6,2,1
LINC02217,0,0,0,0,0,0,0,0,0
LOC105377439,0,1,0,1,1,0,0,1,0
LINC02119,5,2,2,2,9,2,3,4,9
FGF10-AS1,0,0,0,0,0,0,0,0,0
LOC100996385,0,0,0,0,0,0,0,0,0
DDX11L16,0,2,6,8,7,7,2,7,2
LINC01962,1,4,0,6,2,0,1,2,1
POU5F2,74,104,100,75,151,57,85,116,91
PCP4L1,0,0,0,0,0,0,0,0,0
ABHD14A,42,57,61,35,75,26,53,63,45
ZFAT-AS1,1,1,0,0,0,1,0,0,1
ZBED9,38,57,59,28,37,32,40,35,35
LINC02380,0,0,0,3,1,0,1,1,0
SRP14-AS1,38,51,42,30,50,19,59,41,34
SBF1P1,0,0,0,0,0,0,0,0,0
LOC101928651,0,1,0,0,2,0,0,1,0
LOC101929128,5,6,10,5,8,3,8,9,11
LOC283731,5,6,3,6,7,1,3,1,0
OTX2-AS1,14,26,16,20,31,10,11,16,16
EGFLAM-AS2,0,3,1,0,0,0,0,0,0
GDNF-AS1,1,2,2,2,0,0,2,2,2
TMEM110-MUSTN1,5,37,19,16,45,13,17,12,10
DSTNP2,32,52,55,31,74,34,38,59,42
LOC643201,12,10,13,7,12,7,8,15,10
FLJ42969,0,0,2,0,0,0,0,0,0
LOC105370027,0,0,0,0,0,0,0,0,0
RBM14-RBM4,95,90,47,84,130,49,63,110,65
OXCT1-AS1,12,18,16,15,33,5,28,16,5
ALG1L9P,24,28,27,25,49,19,40,40,23
LY75-CD302,0,0,0,0,0,0,0,0,0
LINC01331,0,0,0,0,0,0,0,0,0
LINC02102,1,6,1,4,10,4,6,3,7
LINC01085,1,6,4,4,6,1,2,6,1
LINC02415,0,0,0,0,0,0,0,0,0
CCDC153,16,21,19,24,24,13,15,24,13
LOC285556,0,0,1,1,0,0,0,0,0
LOC102724596,3,1,3,0,4,2,2,1,4
NPHP3-AS1,7,5,6,3,6,3,4,6,3
LINC01948,0,0,0,0,0,0,0,0,0
EGFLAM-AS4,2,6,2,2,5,3,1,4,2
LOC101929237,4,11,10,3,7,3,8,4,9
LINC02428,3,0,1,0,3,0,0,0,1
ACTN3,0,0,0,0,1,1,0,3,0
LINC02115,0,0,0,0,0,0,0,0,0
MTCYBP37,1,0,0,0,0,0,0,0,0
LINC01207,8,13,10,35,16,9,16,55,48
LINC02118,0,0,0,0,0,0,0,0,0
LOC105379164,0,0,0,0,0,0,0,0,0
C8orf34-AS1,45,32,34,35,36,20,31,37,18
LINC01095,0,0,0,0,0,0,0,0,0
LOC105374524,7,12,3,5,9,3,5,14,6
LOC101928443,0,0,0,0,0,0,0,0,0
PPBPP2,0,0,0,1,0,0,0,0,0
FLJ46284,19,15,11,24,20,7,15,13,12
LINC01574,0,0,0,0,0,0,0,0,0
USP46-AS1,18,22,30,32,34,7,30,28,30
TNFSF12-TNFSF13,0,0,0,0,0,0,0,0,0
LOC100506122,11,10,9,1,10,2,7,4,3
C5orf17,39,26,56,28,68,30,44,56,47
HHIP-AS1,0,0,0,1,2,0,0,0,2
FAM138E,0,0,0,0,0,0,0,0,9
FMN1,0,0,1,0,1,2,0,1,1
LINC02239,0,0,0,0,2,0,0,1,0
ATP5J2-PTCD1,128,142,124,94,159,61,115,119,70
USP17L19,0,0,0,0,0,0,0,0,0
MTCYBP40,0,1,0,1,0,0,1,2,0
LOC100507291,7,10,8,13,26,5,10,17,12
USP17L22,0,0,0,0,0,0,0,0,0
LINC01335,0,0,0,0,0,0,0,0,0
LOC101929470,0,1,0,0,1,0,0,1,1
LOC105374374,3,1,1,0,2,1,0,1,0
LINC02231,0,0,0,0,0,0,0,0,0
LINC00533,2,1,1,0,2,1,2,1,3
CTB-113P19.1,0,0,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0,0,0
LINC01033,2,0,2,1,0,0,3,1,0
WSPAR,0,0,0,0,0,0,0,0,0
C5orf66-AS1,0,1,1,0,0,1,1,0,1
ZNF436-AS1,8,11,8,7,11,6,14,12,9
LINC02362,12,11,19,7,20,5,11,10,12
USP17L17,0,0,0,0,0,0,0,0,0
LOC101928590,0,0,0,0,0,0,0,0,0
HAUS5,341,470,377,297,498,179,453,450,293
LINC02215,0,0,0,0,0,0,0,0,0
PSD2-AS1,0,0,0,0,0,0,0,0,0
SLED1,0,0,0,0,0,0,0,0,0
EPPIN-WFDC6,0,0,0,0,0,0,0,0,0
PCDHA11,0,0,0,0,0,0,0,0,0
LINC02213,0,0,0,0,0,1,0,0,0
TMEM132D-AS1,0,1,1,2,5,2,1,1,3
CTD-3080P12.3,2,6,3,6,9,5,3,14,5
ATP5L2,17,8,13,7,8,9,17,16,8
CASC16,0,0,0,0,0,0,0,0,0
LINC02265,0,0,2,1,1,1,3,1,0
TMEM150C,1,1,1,2,5,3,2,0,1
LOC101929095,3,2,4,1,5,2,1,3,3
LINC00939,39,37,44,31,57,27,34,49,37
LOC101928924,0,0,0,0,0,0,0,0,0
LINC02174,0,0,0,0,0,0,0,0,0
LINC01411,13,20,17,21,36,33,15,14,38
APOBEC3B-AS1,8,7,12,2,9,3,9,9,7
LOC105377480,0,0,0,0,0,0,0,0,0
CTD-2194D22.4,1,3,1,0,1,0,2,1,0
LOC101927040,8,16,9,12,12,10,6,20,3
LOC100506444,1,1,3,3,0,1,0,1,2
LINC01333,0,0,0,0,0,0,0,0,0
LINC02405,12,13,8,11,12,4,23,16,9
LINC01016,28,41,43,21,62,34,32,52,31
UGDH-AS1,237,303,352,206,515,190,328,398,320
LOC101928858,0,0,0,0,0,0,0,0,0
CASC11,6,8,11,12,10,4,16,7,0
LINC01060,0,2,2,1,3,0,1,3,2
LOC105375095,12,5,11,5,5,0,9,3,3
LOC105377245,0,2,2,1,1,3,2,0,0
LINC02071,12,14,9,11,19,12,10,15,9
LOC100240734,0,0,1,0,0,0,2,1,2
LINC02212,0,0,0,0,0,0,0,0,0
LOC101928052,5,1,0,0,0,2,5,2,5
ADAMTS19-AS1,0,0,0,0,0,0,0,0,0
NAIP,2,9,3,2,5,2,3,9,0
ZNF286B,139,168,172,124,204,113,172,194,142
LINC01091,17,24,22,21,31,16,20,36,21
ZNF324B,60,84,90,85,130,74,83,109,81
SPATS1,0,0,0,0,0,0,0,0,0
LINC01470,4,3,2,6,6,0,3,4,0
LINC01586,4,12,16,4,10,3,3,7,6
LOC105379143,7,12,9,5,10,4,9,12,6
LINC02075,8,9,6,7,16,1,3,8,6
LINC01179,1,3,0,1,8,5,1,1,0
LINC02114,0,0,0,0,0,0,0,0,0
MIR302B,3,14,19,10,14,6,12,11,11
LINC01258,0,0,0,0,0,0,0,0,0
LINC01234,16,17,10,84,62,109,35,46,113
LINC02216,3,7,1,6,11,0,6,5,0
PPP2R2B-IT1,0,0,0,0,0,0,0,0,0
LOC442497,0,0,0,0,0,0,0,0,0
CLRN2,0,0,0,0,0,0,0,0,0
LINC02225,15,24,21,16,25,14,15,31,18
LOC100129917,59,78,53,86,117,60,36,100,82
LOC101929577,2,5,6,6,4,3,7,7,6
HOXC13-AS,11,18,12,29,37,22,23,30,28
C5orf66-AS2,1,1,1,0,1,0,2,3,0
LINC02218,0,0,0,0,0,0,0,0,0
MIR143,36,47,41,33,76,24,42,47,35
NOP14-AS1,106,137,126,102,124,54,87,155,69
LOC105377590,0,0,0,1,0,0,1,1,0
LOC729558,14,14,16,10,14,8,15,24,10
THEGL,0,0,0,0,0,0,1,0,0
LOC574538,1,1,2,0,2,0,2,1,1
LINC02261,2,6,7,3,4,3,4,3,4
SRD5A3-AS1,30,42,51,34,46,27,26,43,35
ZNF564,76,127,150,164,266,133,178,201,191
LOC101929353,0,0,0,0,0,0,0,0,0
LOC101929109,0,0,0,0,0,0,0,0,0
FER1L5,22,23,38,28,53,23,29,36,31
LOC100507388,0,0,0,0,0,0,0,0,0
OR10J4,0,0,0,0,0,0,0,0,0
LINC02236,0,0,0,0,0,0,0,0,0
LOC285626,1,7,3,5,8,2,0,6,8
LINC01265,27,45,26,35,42,17,33,50,22
LOC100506406,0,1,2,0,1,0,1,0,1
ECSCR,0,0,0,0,0,0,0,0,0
LINC02112,2,3,4,2,5,3,6,6,6
SCARNA22,21,28,11,9,25,5,36,70,9
LINC02103,0,0,0,0,0,0,0,0,0
LINC01377,0,0,0,0,0,0,0,0,0
USP17L21,0,0,0,0,0,0,0,0,0
LINC00964,9,13,15,16,10,5,12,10,8
CTD-2201I18.1,0,2,2,1,3,1,1,0,2
CCDC37-AS1,0,0,0,0,0,0,0,0,0
VCAN-AS1,0,0,0,0,0,0,0,0,0
HS3ST5,0,2,0,0,0,2,1,1,0
PVT1,442,585,500,380,643,283,515,621,365
MTRNR2L5,0,0,0,0,0,0,0,0,0
LGALS16,0,0,0,0,0,0,0,0,0
LINC02372,0,0,0,0,0,0,0,0,0
RNF103-CHMP3,22,19,9,15,26,4,20,12,5
ARHGEF38-IT1,0,0,0,0,0,0,0,0,0
LOC100288866,0,0,0,1,0,0,0,0,0
BRD9P2,0,0,0,1,0,0,0,0,0
PDCD6,3687,4977,4320,3083,4430,2195,3064,4555,2911
LINC00536,0,0,1,0,1,1,0,3,1
LOC284865,1,17,14,1,11,4,9,12,4
GOLGA8K,0,1,0,0,0,0,7,0,3
GBA3,0,0,0,0,0,0,0,0,0
TERB1,2,6,4,2,5,3,8,3,2
LOC107987420,0,0,0,0,0,0,0,0,0
TMEM158,19,43,33,4,20,4,17,16,6
BFSP2-AS1,5,4,4,2,6,2,5,7,3
LINC02107,0,0,0,0,0,0,0,0,0
LOC101928174,13,8,14,8,7,6,10,9,7
C15orf38-AP3S2,275,346,364,320,428,169,337,452,264
TMPRSS11BNL,6,11,11,7,7,4,8,10,14
SLC7A11-AS1,6,9,10,7,32,6,76,30,24
LINC01018,0,3,3,0,8,2,1,4,1
LOC101929064,0,0,0,1,1,0,0,0,0
YJEFN3,61,72,97,59,92,32,93,44,90
LOC255187,0,1,1,2,6,1,0,1,4
LOC101929340,19,18,37,17,23,5,48,34,22
LOC101927237,3,5,1,2,5,2,4,3,3
LOC105374516,0,0,0,0,0,0,0,0,0
NREP-AS1,0,0,0,0,0,0,0,0,0
CACNA1G-AS1,1,1,2,2,2,1,4,0,3
LOC100506142,11,16,11,10,15,9,15,23,8
PCDHA10,27,23,39,19,25,11,20,32,17
LINC02232,0,0,0,0,1,1,0,1,0
LINC02108,5,13,10,16,20,9,8,13,14
HOXC-AS2,28,36,34,39,36,24,22,51,36
ARPC4,68,92,60,61,120,48,31,52,65
LINC02060,0,0,0,0,0,0,0,0,0
MYLK-AS2,0,0,0,0,0,0,0,0,1
LOC105377448,0,0,0,1,0,0,0,1,0
FZD10-AS1,16,13,13,5,21,3,7,28,12
ALDH1L1-AS1,0,0,0,0,0,0,0,0,0
LINC01216,0,0,0,0,0,0,0,0,0
LOC101927495,0,0,0,0,1,0,0,0,1
LOC101927359,6,7,3,1,9,1,1,6,9
CTD-2350J17.1,0,5,4,3,8,3,4,6,3
PTTG2,0,0,1,0,0,0,0,0,0
LOC105371824,1,1,0,5,2,1,1,3,3
RDH10-AS1,11,8,16,15,15,12,15,17,12
GIMD1,0,0,0,0,0,0,0,0,0
LINC01618,0,0,0,0,0,0,0,0,0
LOC283140,30,36,36,33,39,18,24,26,24
KIAA1456,43,54,52,34,61,22,38,65,37
ZNF718,5,8,5,6,11,7,5,7,5
LINC02229,0,0,0,0,0,0,0,0,0
SMIM20,127,146,153,93,99,59,136,168,91
LOC105377623,2,4,4,5,2,0,8,4,1
MGC32805,1,1,1,0,0,0,2,0,1
LINC01340,0,0,0,0,0,0,0,0,0
LINC00989,3,4,2,1,6,3,7,4,6
LINC01021,133,216,256,438,554,290,394,623,456
LOC105377671,0,0,0,0,0,0,0,0,0
GYPB,0,0,0,0,0,0,0,0,1
OR12D3,0,0,0,0,1,0,0,0,0
LOC101927124,19,24,15,10,18,7,16,28,10
TUNAR,3,2,0,1,0,0,1,2,0
LOC107986453,0,0,0,0,0,0,0,0,0
LOC100996694,0,0,0,0,0,0,0,0,0
LINC00977,0,0,0,0,0,0,0,0,0
LINC02116,0,0,0,0,0,0,0,0,0
AACSP1,8,7,6,155,177,63,92,170,131
KIAA1210,2,3,1,0,1,3,1,0,4
FTLP10,3,1,4,1,1,1,1,1,1
LINC02148,0,0,0,0,0,0,0,0,0
LINC01598,3,2,1,0,1,0,2,0,3
CLSTN2-AS1,0,0,1,0,0,1,0,1,0
LOC728040,0,0,0,0,0,0,0,0,0
LINC02105,0,0,0,0,0,0,0,0,0
HOXC-AS1,32,27,37,32,41,22,25,28,35
LINC02260,12,20,28,19,23,7,21,22,23
CHCHD10,224,311,324,238,379,115,294,256,205
FAM218A,0,0,0,0,0,0,0,0,0
LINC02233,0,0,0,0,0,0,0,0,0
LINC02145,6,5,1,5,9,3,4,6,6
LOC101929227,9,9,9,7,18,6,11,13,8
CDK3,31,21,54,47,64,8,66,43,29
LOC105369364,25,16,25,21,34,23,15,30,34
GPR162,6,6,4,0,7,5,3,9,4
LINC02125,0,1,1,0,0,1,1,0,0
LINC02121,0,0,0,0,0,0,0,0,0
LOC107986321,0,0,2,2,1,0,1,1,0
LOC101928978,3,1,2,0,1,2,4,3,1
LOC101927780,2,3,4,1,4,1,0,5,0
LOC102546229,1,0,0,0,0,0,3,0,1
ATP6V1E2,102,136,168,129,164,79,174,167,133
GLI4,75,121,83,92,137,56,102,99,86
SMAD1-AS2,5,2,5,7,7,3,3,5,7
LINC01511,0,0,0,12,9,6,1,5,17
LOC100506272,0,0,0,0,0,0,0,0,0
LOC339874,2,0,1,1,1,0,0,0,0
MTCYBP43,3,0,0,1,3,0,0,2,4
LOC101930028,1,6,1,1,3,0,1,2,2
LINC02171,0,0,0,0,0,0,0,0,0
LINC01182,2,8,4,4,6,0,8,8,3
LOC100240735,2,3,11,8,4,3,5,13,11
LINC01596,0,0,0,0,0,0,0,0,0
LINC02123,0,0,0,0,0,0,0,0,0
LOC345051,6,6,2,2,4,3,2,2,3
LOC105377267,0,0,0,0,0,0,0,0,0
CCDC169-SOHLH2,0,3,0,0,0,0,3,0,0
LINC01017,0,0,0,0,0,0,0,0,0
PIK3R3,0,0,0,0,0,0,0,0,0
SELENOP,5,3,4,2,3,0,2,9,3
LINC01262,0,0,0,0,0,0,0,0,0
NT5C1B-RDH14,0,0,0,0,0,0,0,0,0
LINC02381,0,7,4,3,5,1,2,6,2
USP17L20,0,0,0,0,0,0,0,0,0
LOC105369187,2,0,3,2,1,0,3,5,1
LOC100419170,14,21,27,26,21,4,14,24,14
LINC01365,0,0,0,0,0,0,0,0,0
LOC105374428,2,4,3,1,4,1,1,5,2
SNHG18,0,0,0,0,0,0,0,0,0
PRODH2,0,0,0,0,0,0,0,0,0
LOC100505841,0,0,0,0,0,1,0,1,0
LOC101929123,0,1,0,0,0,0,0,4,0
LINC02111,1,4,1,0,0,0,2,0,0
USP17L18,0,0,0,0,0,0,0,0,0
EPHA5-AS1,9,30,11,22,25,18,8,25,14
METTL21EP,3,8,6,1,5,3,6,14,4
LINC01455,0,0,0,0,0,0,0,0,0
LINC01336,0,0,0,0,0,0,0,0,0
SMAD1-AS1,0,0,2,2,1,0,0,0,0
LOC102724776,3,9,4,5,6,2,2,8,4
LNX1-AS1,0,0,0,0,0,0,0,0,0
TRPC7-AS2,0,0,0,0,0,0,0,0,0
LOC101928622,0,0,0,0,0,1,0,0,0
LINC00492,0,0,0,0,0,0,0,0,0
GLUD1P3,12,14,18,27,23,12,21,22,21
LINC02382,0,0,0,0,0,0,0,0,0
SNHG21,39,52,47,38,48,14,31,63,33
TMEM108-AS1,0,0,0,0,0,0,0,0,0
SLC25A30-AS1,2,2,2,0,1,1,3,4,0
THAP9-AS1,1223,1665,1819,1337,1969,979,2649,2475,1421
LINC01950,0,0,3,0,0,0,0,0,1
LOC105377652,0,0,0,0,0,0,0,0,0
LINC01959,0,0,0,0,0,0,0,0,0
LOC101928942,0,0,0,0,0,0,0,0,0
LOC102723557,0,1,0,4,5,2,3,4,1
LOC101927023,2,2,2,2,4,2,6,5,6
LINC01969,0,0,1,0,0,1,0,0,0
WWC2-AS1,3,5,5,2,5,1,2,1,1
LOC102723828,0,3,1,1,3,3,2,4,4
LOC101929709,91,124,139,126,167,78,200,178,139
LOC100507377,14,21,18,24,34,21,24,27,21
LOC100128494,31,34,38,19,36,24,15,45,25
HOXC-AS3,10,23,12,19,20,21,26,33,17
HULC,0,2,1,2,0,1,0,3,0
F11-AS1,0,0,0,0,0,0,0,0,1
LINC01843,5,9,8,17,14,10,15,9,18
UCHL1-AS1,5,3,3,2,3,3,3,3,6
LOC101929529,2,4,4,5,7,2,4,4,6
TMEM92-AS1,6,7,2,2,5,2,5,8,3
LOC102723778,0,0,0,0,0,0,0,0,0
LINC00589,0,0,0,0,0,0,0,0,0
ZNF674,71,127,112,86,148,60,261,132,112
TMED7-TICAM2,48,44,37,73,56,30,39,66,39
LINC00923,3,10,9,23,28,16,17,53,35
LINC02270,0,0,0,0,0,0,0,0,0
LOC101927845,1,0,0,2,2,0,0,2,1
LINC01337,1,2,7,0,3,2,3,4,0
LOC101927253,0,0,0,0,0,0,0,0,0
ZNF345,11,3,28,137,186,84,47,41,128
LOC100505685,2,3,1,5,2,1,5,5,3
RFPL4B,0,0,0,0,0,0,0,0,0
LOC105377247,0,0,0,0,0,0,0,0,0
ALG1L2,6,7,9,6,9,2,6,13,5
LINC02384,10,8,15,18,11,7,9,9,11
LOC101929710,4,7,1,2,4,2,3,10,3
PCAT4,0,0,0,0,0,0,0,0,0
SHANK3,73,14,0.00E+00,0,34,14,16,14,32
LOC101928865,19,15,31,19,18,14,19,29,10
LINC01386,0,0,0,0,0,0,0,0,0
LINC02353,0,0,0,0,0,0,0,0,0
MTCYBP35,1,4,5,3,2,3,3,1,3
LVCAT1,3,4,3,4,6,3,7,3,5
WWC2-AS2,11,21,13,11,14,6,27,30,15
LOC100506258,10,15,18,22,26,18,14,39,20
ZNF550,174,239,253,265,427,209,364,392,265
SEMA5A-AS1,0,0,0,0,0,0,0,0,0
LINC00499,10,16,8,7,9,4,5,15,11
DCANP1,0,0,0,0,0,0,0,0,0
LINC00958,1007,1349,1393,1542,2858,1184,1840,2088,1927
LOC441025,3,3,1,4,4,1,3,1,0
OR12D3,0,0,0,0,1,0,0,0,0
LINC01256,0,0,0,0,0,0,0,0,0
LOC102724404,0,0,0,0,0,0,0,0,0
LOC100507487,19,18,14,12,20,9,22,29,18
RASGRF2-AS1,2,0,0,0,0,0,0,0,0
RPL32P3,157,214,228,176,276,138,207,261,182
FOXD1,0,0,1,0,0,0,0,0,0
LOC100507091,1,3,5,2,3,0,1,1,3
APITD1-CORT,23,13,22,16,29,13,8,20,20
LINC01099,4,8,3,10,11,5,2,8,4
LINC02110,0,0,0,0,0,0,0,0,0
LINC00605,2,4,2,3,8,5,5,10,6
LINC02201,0,2,6,1,1,1,0,1,0
LINC01957,0,0,0,0,0,0,0,0,0
HNRNPKP3,0,0,0,0,0,0,0,0,0
MALAT1,131109,227006,260096,117601,305057,125902,295712,239783,212156
LINC02106,0,0,0,0,0,0,0,0,0
LOC105379109,0,0,1,4,3,2,8,7,5
LINC01267,9,8,15,3,14,6,10,5,3
LOC105374366,7,6,3,3,5,6,4,9,0
ABCA11P,25,29,36,50,67,25,63,79,47
LOC105379030,0,0,0,0,0,0,0,0,0
LOC101927636,5,3,6,4,2,4,5,4,2
LOC100507437,59,47,49,65,102,40,51,94,58
STPG2-AS1,0,0,0,0,0,0,0,0,0
LINC02172,2,0,1,2,4,5,3,1,0
LOC105374344,0,0,0,0,0,0,0,0,0
PRB1,0,0,0,0,0,0,0,0,0
PCDHA12,0,0,0,0,0,0,0,0,0
FAM86EP,28,27,28,26,36,9,52,46,31
PTX4,3,4,2,2,1,0,1,2,0
USP17L9P,0,0,0,0,0,0,0,0,0
SCARNA8,3,13,4,5,15,2,16,17,6
SCARNA6,160,230,77,162,201,91,165,245,89
SNORD116-26,0,0,0,0,0,0,0,0,0
MIR449C,0,0,0,0,0,0,0,0,0
MIR1343,1,0,1,0,0,2,0,2,1
SCARNA23,5,7,3,8,10,1,13,8,7
SNORD116-27,0,0,0,0,0,0,0,0,0
SCARNA11,3,1,5,0,0,0,2,11,1
SCARNA5,516,919,535,646,828,399,678,891,566
MIR2278,0,1,0,0,0,0,0,0,0
MIR892C,0,0,0,0,0,0,0,0,0
SNORD116-30,0,0,0,0,0,0,0,0,0
RNY4,5,2,5,1,10,5,8,5,4
SNORD116-25,0,0,0,0,0,0,0,0,0
MIR2114,0,0,0,0,0,0,0,0,0
MIR2115,0,0,0,0,0,0,0,0,0
SCARNA13,276,383,253,322,485,164,424,505,268
SNORD36C,0,1,0,0,1,0,1,0,1
SCARNA20,4,1,7,4,2,1,0,5,5
MIR514B,0,0,0,0,0,0,0,0,0
MIR2276,0,0,0,0,1,0,0,0,0
SCARNA14,1,0,1,1,1,1,1,1,0
SCARNA21,683,1044,1062,749,1158,536,857,1175,789
SCARNA3,5,3,2,4,7,1,3,1,3
SCARNA1,3,9,5,1,8,3,4,10,8
SNORA50B,0,0,0,0,0,0,0,0,0
MIR2355,0,0,1,0,0,0,0,0,0
MIR2116,3,5,4,1,2,6,4,5,1
LINC01609,49,54,90,55,113,61,64,83,68
LOC102724804,0,1,0,0,0,0,0,0,1
OC90,0,0,0,0,0,0,0,0,0
LINC00967,6,7,5,10,10,13,8,12,11
LOC102467222,0,0,0,0,0,0,0,0,0
RGS21,0,0,0,0,0,0,0,0,0
PCDHGA12,0,0,0,3,2,0,4,4,2
LOC101927798,3,9,9,2,9,5,5,3,4
HOXA10-AS,65,70,70,57,97,44,90,63,66
LINC02153,0,0,1,0,0,0,0,0,0
GUSBP3,16,22,6,10,41,22,29,39,16
LINC00599,0,0,0,0,0,0,0,1,0
LINC02143,0,0,0,0,0,0,0,0,0
C8orf88,0,0,0,0,0,0,0,0,0
TRAPPC13,46,64,77,66,105,42,71,98,67
PCAT2,2,2,1,1,4,2,0,0,0
DLGAP2-AS1,0,0,0,0,0,0,0,0,0
CCDC71L,25,27,26,10,45,10,133,31,23
LINC02209,0,2,3,0,5,2,1,1,2
LOC101929528,0,0,0,0,0,0,0,0,0
HOXA10,152,204,157,144,178,68,169,238,131
LINC01845,0,0,0,0,0,0,0,0,0
LINC01606,0,0,0,0,0,0,0,0,1
STAU2-AS1,6,7,5,5,7,3,2,3,4
TMEM200B,3,1,0,2,3,1,3,5,0
PCDHGB6,7,10,4,8,9,2,4,7,4
SERPINE3,6,5,6,9,14,6,2,4,7
LINC01847,0,0,1,0,0,0,0,0,0
C1orf210,0,6,1,0,0,2,0,0,0
LINC00293,0,0,0,1,0,0,0,2,1
