gene_name,WT1,WT2,WT3,KO2_ASH1L,KO1_ASH1L,KO4_ASH1L,KO3_ASH1L
RNU6-751P,0,0,0,0,0,0,0
RNU6-764P,2,0,0,0,0,2,0
RNU7-40P,0,0,0,0,0,0,0
RNA5SP365,0,0,0,0,0,0,0
RNU1-48P,0,0,0,0,0,0,0
RNU2-58P,0,0,0,0,0,0,0
SNORA74D,1,0,1,0,2,0,1
RNU6-542P,0,0,0,0,0,0,0
MIR892C,0,0,0,0,0,0,0
RNU6-977P,0,0,0,0,0,0,0
RNU7-13P,0,0,0,0,0,0,0
RNU6-1049P,0,0,0,0,0,0,0
RNU4ATAC15P,0,0,0,0,0,0,0
RNA5SP67,0,0,0,0,0,0,0
RN7SKP253,0,0,0,0,0,0,0
RNU4-54P,0,0,0,0,0,0,0
RNU7-115P,0,0,0,0,0,0,0
RNU6-412P,0,0,0,0,0,0,0
RNU7-3P,0,0,0,0,0,0,0
RNA5SP92,0,0,0,0,0,0,0
RNU6-70P,0,0,0,0,0,0,0
RNU6-687P,0,0,0,0,0,0,0
RNU2-35P,0,0,0,3,0,0,0
RN7SKP265,0,0,0,0,0,0,0
RNA5SP49,0,0,0,0,0,0,0
RNA5SP461,0,0,0,0,0,0,0
RNA5SP262,0,0,0,0,0,0,0
RNA5SP61,0,0,0,0,0,0,0
RNU6-659P,0,0,0,0,0,0,0
RNU7-153P,0,0,0,0,0,0,0
RNA5SP495,0,0,0,0,0,0,0
RNA5SP417,0,0,0,0,0,0,0
RNU4ATAC12P,0,0,0,0,0,0,0
RNU6-1110P,0,0,0,0,0,0,0
RNA5SP470,0,0,0,0,0,0,0
RNU6-426P,0,0,0,0,0,0,0
RNU7-192P,0,0,0,0,0,0,0
SNORD116-30,0,0,0,0,0,0,0
RNU6-406P,0,0,0,0,0,0,0
RNU6-1089P,0,0,0,0,0,0,0
RNA5SP24,0,0,0,0,0,0,0
RNU6-966P,0,0,0,0,0,0,0
RNA5SP519,0,0,0,0,0,0,0
RN7SKP238,0,0,0,0,0,0,0
RNU6-589P,0,0,0,0,0,0,0
RNU6-875P,0,0,0,0,0,0,0
RNA5SP134,0,0,0,0,0,0,0
RNA5SP147,0,0,0,0,0,0,0
RNA5SP153,0,0,0,0,0,0,0
RNU1-103P,2,2,3,2,4,4,7
RN7SKP21,0,0,0,0,0,0,0
RNA5SP281,0,0,0,0,0,0,0
RNY4,0,0,0,0,0,0,0
RNU6-320P,0,0,0,0,0,0,0
RN7SKP83,0,0,0,0,0,0,0
RN7SKP244,0,0,0,0,0,0,0
RNU6-1038P,0,0,0,0,0,0,0
SNORD116-25,0,0,0,0,0,0,0
RNU6-911P,0,0,0,0,0,0,0
RNU6-964P,0,0,0,0,0,0,0
RNU6-1337P,0,0,0,0,0,0,0
RNU6-62P,0,0,0,0,0,0,0
RNA5SP148,0,0,0,0,0,0,0
RNU6-503P,0,0,0,0,0,0,0
RNU6-1061P,0,0,0,7,0,0,0
RNA5SP164,0,0,0,0,0,0,0
RNU2-34P,0,0,0,0,0,0,0
RNA5SP121,0,0,0,0,0,0,0
RNU6-1046P,0,0,0,0,0,0,0
RNU6-1256P,0,0,0,0,0,0,0
RPPH1-3P,0,0,0,0,0,0,0
RNU6ATAC12P,0,0,0,0,0,0,0
RNU7-25P,0,0,0,0,0,0,0
RN7SKP287,0,0,0,0,0,0,0
RN7SKP135,0,0,0,0,0,0,0
RNU6-118P,0,3,1,1,0,0,0
RNU6-506P,0,0,0,0,0,0,0
RNU7-43P,0,0,0,0,0,0,0
RNA5SP360,0,0,0,0,0,0,0
RNA5SP367,0,0,0,0,0,0,0
RNA5SP43,0,0,0,0,0,0,0
RNU7-51P,0,0,0,0,0,0,0
RNA5SP438,0,0,0,0,0,0,0
RNU6-725P,0,0,0,0,0,0,0
RNU6-358P,0,0,0,0,0,0,0
RNA5SP395,0,0,0,0,1,0,0
RNU6-504P,0,0,0,0,0,0,0
RNU6-314P,0,0,0,0,0,0,0
RNU6-68P,0,0,0,0,0,0,0
RNU6-1018P,0,0,0,0,0,0,0
RNU5F-4P,0,0,0,0,0,0,0
RNU6-638P,0,0,0,0,0,0,0
RNU6-1004P,0,0,0,0,0,0,0
RNU6-1007P,0,0,0,0,0,0,0
RN7SKP195,0,0,0,0,0,0,0
RNU5A-4P,0,0,0,0,0,0,0
RNU6-1291P,0,0,0,0,0,0,0
RNU4ATAC6P,0,0,0,0,0,0,0
RNU7-183P,0,0,0,0,0,0,0
RNU6-1087P,0,0,0,0,0,0,0
RNU7-121P,0,0,0,0,0,0,0
RNU6-100P,0,0,0,0,0,0,1
RNU6-1012P,0,0,0,0,0,0,0
RNU6-885P,0,0,0,0,0,0,0
RNU7-179P,0,0,0,0,0,0,0
RNU6-1069P,0,0,0,0,0,0,0
RNA5SP476,0,0,0,0,0,0,0
RNU6-229P,0,0,0,0,0,0,0
RNA5SP384,0,0,0,0,0,0,0
RNU1-107P,0,0,0,0,0,0,0
RNA5SP285,0,0,0,0,0,0,0
RNU6-1247P,0,0,0,0,0,0,0
RNA5SP459,0,0,0,0,0,0,0
RNU6-344P,0,0,0,0,0,0,0
RNU6-405P,0,0,0,0,0,0,0
RNU6-139P,0,0,0,0,0,0,0
RNA5SP168,0,0,0,0,0,0,0
RNU6-107P,0,0,0,0,0,0,0
MIR2114,0,0,0,0,0,0,0
RNA5SP434,0,0,0,0,0,0,0
RNU7-65P,0,0,0,0,0,0,0
RNU6-635P,0,0,0,0,0,0,0
RNU6-113P,0,0,0,0,0,0,0
RN7SKP70,3,2,4,9,7,1,5
MIR2115,0,0,0,0,0,0,0
RNU6-347P,0,0,0,0,0,0,0
RNU2-57P,0,0,0,0,0,0,0
RNU7-160P,0,0,0,0,0,0,0
RNU6-551P,0,0,0,0,0,0,0
RNU6-521P,0,0,0,0,0,0,0
RNU6-539P,0,0,0,0,0,0,0
RNU6-1332P,0,0,0,0,0,0,0
RNA5SP309,0,0,0,0,0,0,0
RNU6-719P,0,0,0,0,0,0,0
SCARNA13,21,14,24,19,18,7,15
RNU7-22P,0,0,0,0,0,0,0
RNU6-1178P,0,0,0,0,0,0,0
RN7SKP49,0,0,0,0,0,0,0
RNY4P20,0,0,0,0,0,0,0
RNU6-197P,0,0,0,0,0,0,0
RN7SKP66,0,0,0,0,0,0,0
RNU1-142P,0,0,0,0,0,0,0
RNU6-126P,1,0,0,0,0,0,0
RNA5SP33,0,0,0,0,0,0,0
RPPH1-2P,0,0,0,0,0,0,0
RNU6-1016P,0,0,0,0,3,0,1
RNU6-63P,0,0,0,0,0,0,0
RNU4-77P,0,0,0,0,0,0,0
RNU6-531P,0,0,0,0,0,0,0
RNU6-180P,0,0,0,0,0,0,0
RNU7-81P,0,0,0,0,0,0,0
RNU4ATAC3P,0,0,0,0,0,0,0
RNA5SP271,0,0,0,0,0,0,0
RNA5SP55,0,0,0,0,0,0,0
RNU7-53P,0,0,0,0,0,0,0
RNU6-1171P,0,0,0,0,0,0,0
RNA5SP82,1,0,1,0,0,1,0
RNU6-783P,0,0,0,0,0,0,0
RNU5D-2P,0,0,0,0,0,0,0
RNU6-267P,0,0,0,0,0,0,0
RNU6-965P,0,0,0,0,0,0,0
RNU7-193P,0,0,0,0,0,0,0
RNU6-572P,0,0,0,0,0,0,0
RNA5SP254,0,0,0,0,0,0,0
RNA5SP462,0,0,0,0,0,0,0
RNU6-919P,0,0,0,0,0,0,0
RNU6-1282P,0,0,0,0,0,0,0
RNU6-362P,0,0,0,0,0,0,0
RNA5SP466,0,0,0,0,0,0,0
RNU7-149P,0,0,0,0,0,0,0
RNU6-759P,1,0,0,0,1,0,0
RNU6-307P,0,0,0,0,0,0,0
RNA5SP73,0,0,0,0,0,0,0
RNU6-861P,0,0,0,0,0,0,0
RNU6-567P,0,0,0,0,0,0,0
RNU6-256P,0,0,0,0,0,0,0
RNU6-914P,0,0,0,0,0,0,0
RNU4-18P,0,0,0,0,0,0,0
RNU1-125P,0,0,0,0,0,0,0
RNU6-922P,0,0,0,0,0,0,0
RNA5SP45,0,0,0,0,0,0,0
RNU7-28P,0,0,0,0,0,0,0
SCARNA20,0,0,0,0,0,4,0
RNU6-135P,0,0,0,0,0,0,0
RNU6-1098P,0,0,0,0,0,0,0
MIR514B,0,0,0,0,0,0,0
RNA5SP422,0,0,0,0,0,0,0
RNU7-143P,0,0,0,0,0,0,0
RNA5SP468,0,0,0,0,0,0,0
RNU6-1224P,0,0,0,0,0,0,0
RNU6-656P,0,0,0,0,0,0,0
RN7SKP82,0,0,0,0,0,0,0
RNU7-137P,0,0,0,0,0,0,0
RNA5SP460,0,0,0,0,0,0,0
RNU6-566P,0,0,0,0,0,0,0
RNU6ATAC22P,0,0,0,0,0,0,0
RNU2-44P,0,0,0,0,0,0,0
RNU6-1150P,0,0,0,0,0,0,0
RNU6-1191P,0,0,0,0,0,0,0
RNU6-1121P,0,0,0,0,0,0,0
RNU6-807P,1,0,0,0,0,0,0
RNA5SP441,0,0,0,0,0,0,0
RNU6-1149P,0,0,0,0,0,0,0
RNU6ATAC24P,1,0,0,2,0,0,0
RNU6-881P,0,0,0,0,0,0,0
RNA5SP481,1,0,0,0,0,0,0
RNA5SP409,0,0,0,0,0,0,0
RNU1-40P,0,0,0,0,0,0,0
RNU6-1308P,0,0,0,0,0,0,0
RNU6-122P,0,0,0,0,0,0,0
RNU6-453P,0,0,0,0,0,0,0
RN7SKP282,0,0,0,0,0,0,0
RN7SKP219,0,0,0,0,0,0,0
RNU2-56P,0,0,0,0,0,0,0
RNU6-826P,0,0,0,0,0,0,0
RNA5SP268,0,0,0,0,0,0,0
RNU2-24P,0,0,0,0,0,0,0
RNU6-678P,0,1,0,4,0,0,0
RNA5SP137,0,0,0,0,0,0,0
RNU6-1136P,0,0,0,0,0,0,0
RNU7-30P,0,0,0,0,0,0,0
RNU7-111P,0,0,0,0,0,0,0
RNA5SP416,0,0,0,0,0,0,0
RNA5SP480,0,0,0,0,0,0,0
RNA5SP75,0,0,0,0,0,0,0
RNU6-557P,0,0,0,0,0,0,0
RNA5SP444,0,0,0,0,0,0,0
RNU7-6P,0,0,0,0,0,0,0
RNU6-786P,0,0,0,0,0,0,0
RNU6-1088P,0,0,0,0,0,0,0
RNU6-782P,0,0,0,0,0,0,0
RNA5SP421,0,0,0,0,0,0,0
RNA5SP102,0,0,0,0,0,0,0
RNA5SP449,0,0,0,0,0,0,0
RNU6ATAC36P,0,0,0,0,0,0,0
RNU6-928P,0,0,0,0,0,0,0
RNU6-1234P,0,0,0,0,0,0,0
RNU6-579P,0,0,0,0,0,0,0
MIR2276,0,0,0,0,0,0,0
RNA5SP34,0,0,0,0,0,0,0
RN7SKP209,0,0,0,0,0,0,0
SNORA21B,0,0,0,0,0,0,0
RNU7-110P,0,0,0,0,0,0,0
RN7SKP277,0,0,0,0,0,0,0
RNU6-175P,0,0,0,0,0,0,0
RNU11-2P,0,0,0,0,0,0,0
RNU6-295P,0,0,0,0,0,0,0
RN7SKP116,0,0,2,0,0,1,1
SCARNA14,0,0,2,0,1,0,0
RNU6-1198P,0,0,0,0,0,0,0
RNA5SP392,0,0,0,0,0,0,0
RNU6-352P,0,0,0,0,0,0,0
RNU6-612P,0,0,0,0,0,0,0
RNU6-798P,0,0,0,0,0,0,0
RNU6-677P,0,0,0,0,0,0,0
RNU6-765P,0,0,0,0,0,0,0
RNA5SP94,0,0,0,0,0,0,0
RNU6-971P,0,0,0,0,0,0,0
RNU6-980P,0,0,0,0,0,0,0
RNU6-528P,0,0,0,0,0,0,0
RNU7-151P,0,0,0,0,0,0,0
RNA5SP143,0,0,0,0,0,0,0
RNU6-273P,0,0,0,0,0,0,0
RNA5SP364,0,0,0,0,0,0,0
RNU7-116P,0,0,0,0,0,0,0
RNU7-70P,0,0,0,0,0,0,0
RNU6-143P,0,0,0,0,0,0,0
RNU6-210P,0,0,0,0,0,0,0
RNU6-703P,0,0,0,0,0,0,0
RNU6-577P,0,0,0,0,0,0,0
RN7SKP96,0,0,0,0,0,0,0
RNU6-445P,0,0,0,0,0,0,0
RNA5SP54,0,0,0,0,0,0,0
RNU2-31P,0,0,0,0,0,0,0
RNU6-1092P,0,0,0,0,0,0,0
RNU6-255P,0,0,0,0,0,0,0
RNU6-250P,0,0,0,0,0,0,0
RNU6-856P,0,0,0,0,0,0,0
RNU7-4P,0,0,0,0,0,0,0
RNU6-714P,0,0,0,0,0,0,0
RNU4ATAC10P,0,0,0,0,0,0,0
RNU6-182P,0,0,0,0,0,0,0
RNA5SP471,0,0,0,0,0,0,0
RNU6-341P,0,0,0,0,0,0,0
RNU6-835P,0,0,0,0,0,0,0
RN7SKP60,0,0,0,0,0,0,0
RNU6-56P,0,0,0,0,0,0,0
RNU7-11P,0,0,0,0,0,0,0
RN7SKP272,0,0,0,0,0,0,0
RNA5SP420,0,0,0,0,0,0,0
RNU6-1006P,0,0,0,0,0,0,0
RNU6-345P,0,0,0,0,0,0,0
RN7SKP2,0,0,0,0,0,0,0
RN7SKP233,0,0,0,0,0,0,0
RNU6-410P,0,0,0,0,0,0,0
RNA5SP337,0,0,0,0,0,0,0
RNU6-388P,0,0,0,0,0,0,0
RNU6-148P,0,0,0,0,0,0,0
RNVU1-23,0,0,0,0,0,0,0
RN7SKP11,0,0,0,0,2,0,1
RNA5SP135,0,0,0,0,0,0,0
RNA5SP533,0,0,0,0,0,0,0
RNU6-1212P,0,0,0,0,0,0,0
RNA5SP186,0,0,0,0,0,0,0
SCARNA21,1,2,1,3,1,2,3
RN7SKP99,0,0,0,0,0,0,0
RNA5SP101,0,0,0,0,0,0,0
RNU2-46P,0,0,0,0,0,0,0
RNA5SP230,0,0,0,0,0,0,0
RN7SKP5,0,0,0,0,0,0,0
RNA5SP503,0,0,0,0,0,0,0
RNU6-389P,0,0,0,0,0,0,0
RNU6-1271P,0,0,0,0,0,0,0
RNU6-375P,0,0,0,0,0,0,0
RNU6-570P,0,0,0,0,0,0,0
RNU6-448P,0,0,0,0,0,0,0
RNU6-1183P,0,0,0,0,0,0,0
RNA5SP278,0,0,0,0,0,0,0
RNA5SP243,0,0,0,0,0,0,0
RNU6-909P,0,0,0,0,0,0,0
RNU7-188P,0,0,0,0,0,0,0
RNA5SP312,0,0,0,0,0,0,0
RN7SKP98,0,0,0,0,0,0,0
RNU6-334P,0,0,0,0,0,0,0
RNU6-1137P,0,0,0,0,0,0,0
RNU6-1213P,0,0,0,0,0,0,0
RN7SKP197,0,0,0,0,0,0,0
RNU6-430P,0,0,0,0,0,0,0
RNU6-1236P,0,0,0,0,0,0,0
RNU6-699P,0,0,0,0,0,0,0
RNU6-548P,0,0,0,0,4,0,0
RNU6-685P,0,0,0,0,0,0,0
RNU6-1096P,0,0,0,0,0,0,0
RNU6-303P,0,0,0,0,0,0,0
RNU6-894P,0,0,0,0,0,0,0
RNA5SP330,0,0,0,0,0,0,0
SCARNA3,0,0,0,0,0,0,0
RNU6-1003P,0,0,0,0,0,0,0
RNU6-201P,0,0,0,0,0,0,0
RNU6-158P,0,0,0,0,0,0,0
RNU6-789P,0,0,0,0,0,0,0
RNU6-762P,2,1,1,1,1,0,0
RNU6-365P,0,0,0,0,0,0,0
RNA5SP404,0,0,0,0,0,0,0
RNU6-64P,0,0,0,0,0,0,0
RNU6-218P,0,0,0,0,0,0,0
RNU6-1015P,0,0,0,0,0,0,0
RNU6-231P,0,0,0,0,0,0,0
RNU6-1223P,0,0,0,0,0,0,0
RNU7-172P,0,0,0,0,0,0,0
RNU6-1220P,0,0,0,0,0,0,0
RNA5SP423,0,0,0,0,0,0,0
RNU6-1270P,0,0,0,0,0,0,0
RNA5SP340,0,0,0,0,0,0,0
RNA5SP290,0,0,0,0,0,0,0
RNU6-264P,0,0,0,0,0,0,0
RNU6-897P,0,0,0,0,0,0,0
SCARNA1,0,0,0,0,0,0,0
RNU6-1314P,0,0,0,0,0,0,0
RNA5SP490,0,0,0,0,0,0,0
RNA5SP165,0,0,0,0,0,0,0
RNU6-232P,0,0,0,0,0,0,0
RNU4ATAC9P,0,0,0,0,0,0,0
RNA5SP40,0,0,0,0,0,0,0
RNA5SP402,0,0,0,0,0,0,0
RNA5SP170,0,0,0,0,0,0,0
RN7SKP258,0,0,0,0,0,0,0
RNU6-993P,0,0,0,0,0,0,0
RN7SKP147,0,0,0,0,0,0,0
RNA5SP400,0,0,0,0,0,0,0
RNA5SP159,0,0,0,0,0,0,0
RNU6-1057P,0,0,0,0,0,0,0
RNU6-1028P,0,0,0,0,0,0,0
RNA5SP70,0,0,0,0,0,0,0
RN7SKP183,0,0,0,0,0,0,0
RNU6-165P,0,0,0,0,0,0,0
RNU6-367P,0,0,0,0,0,0,0
RN7SKP234,0,0,0,0,0,0,0
RNU7-35P,0,0,0,0,0,0,0
RNU6-844P,0,0,0,0,0,0,0
RNA5SP66,0,0,0,0,0,0,0
RNU6-111P,0,0,0,0,0,0,0
RNU1-54P,0,0,0,0,0,0,0
RNU6-1073P,0,0,0,0,0,0,0
RNU6-1231P,0,0,0,0,0,0,0
RNU6-667P,0,0,0,0,0,0,0
RNU6-1315P,0,0,0,0,0,0,0
RNU6-889P,0,0,0,0,0,0,0
RNA5SP380,0,0,0,0,0,0,0
RNU1-45P,0,0,0,0,0,0,0
RN7SKP105,0,0,0,0,0,0,0
RNU6-1261P,0,0,0,0,0,0,0
RNU6-176P,0,0,0,0,0,0,0
RN7SKP283,0,0,0,0,0,0,0
SNORA50B,0,0,0,0,0,0,0
MIR2355,0,0,0,0,0,0,0
RN7SKP256,0,0,0,0,0,0,0
RN7SKP64,0,0,0,0,0,0,0
RN7SKP35,0,0,0,0,0,0,0
RN7SKP40,0,0,0,0,0,0,3
RNU6-902P,0,0,0,0,0,0,0
RNU6-731P,0,0,0,0,0,0,0
RNU7-156P,0,0,0,0,0,0,0
RNU6-1238P,0,0,0,0,0,0,0
RNU2-12P,0,0,0,0,0,0,0
RNU6-464P,0,0,0,0,0,0,0
MIR2116,0,0,0,0,0,0,0
RNA5SP291,0,0,0,0,0,0,0
RNU6-299P,0,0,0,0,0,0,0
RNU4ATAC5P,0,0,0,0,0,0,0
RNU6-706P,0,0,0,0,0,0,0
RNA5SP47,0,0,0,0,0,0,0
RNA5SP454,0,0,0,0,0,0,0
RNU7-181P,0,0,0,0,0,0,0
RNU4-60P,0,0,0,0,0,0,0
SNORA31B,0,0,0,0,0,0,0
RN7SKP289,0,0,0,0,0,0,0
RNU7-77P,0,0,0,0,0,0,0
RNA5SP415,0,0,0,0,0,0,0
RNU7-128P,0,0,0,0,0,0,0
RN7SKP57,0,0,0,0,0,0,0
RNA5SP437,0,0,0,0,0,0,0
RNU6-494P,0,0,0,0,0,0,0
RNU6-711P,0,0,0,0,0,0,0
RNU6-709P,0,0,0,0,0,0,0
RNU6-794P,0,0,0,0,0,0,0
RN7SKP295,0,0,0,0,0,0,0
RNU6-586P,0,0,0,0,0,0,0
RN7SKP92,0,0,0,0,0,0,0
RNA5SP169,0,0,0,0,0,0,0
RNU6-1116P,0,0,0,0,0,0,0
RNA5SP373,0,0,0,0,0,0,0
RNU4ATAC17P,0,0,0,0,0,0,0
RNA5SP106,0,0,0,0,0,0,0
RNU6-1174P,0,0,0,0,0,0,0
RNU1-104P,0,0,0,0,0,0,0
RNA5SP179,0,0,0,0,0,0,0
RNU2-19P,0,0,0,0,0,0,0
RNU7-161P,0,0,0,0,0,0,0
RNU2-60P,0,0,0,0,0,0,0
LINC01609,654,730,634,963,457,1008,501
LOC100132280,0,0,0,0,0,0,0
RPL12P22,0,0,0,0,0,0,0
OC90,0,0,0,0,0,0,0
HNRNPA3P7,0,0,0,0,0,1,1
LOC100507403,16,21,17,2,0,0,1
IGKV2D-36,0,0,0,0,0,0,0
IGHV7-56,0,0,0,0,0,0,0
IGHV3-62,0,0,0,0,0,0,0
PSMC2P2,0,0,0,0,0,0,0
LINC00967,1,0,2,3,1,6,1
CIR1P1,0,0,0,0,0,0,0
LOC102467222,0,0,0,0,0,0,0
RGS21,0,0,0,0,0,0,0
IGHVII-28-1,0,0,0,0,0,0,0
IGLV3-17,0,0,0,0,0,0,0
RPL26P18,0,0,0,0,0,0,0
H2AZP7,0,0,0,0,0,0,0
PCDHGA12,3,4,0,1,14,29,1
LOC100420403,0,0,0,0,0,0,0
LOC101927798,0,0,0,0,0,0,0
LOC100286997,1,0,0,0,0,3,0
LOC100130612,0,0,0,0,0,0,0
LOC101926956,0,0,0,0,0,0,0
CALCP,0,0,0,0,0,0,0
HOXA10-AS,0,1,0,0,0,0,0
TRBV6-7,0,0,0,0,0,0,0
IGKV1D-32,0,0,0,0,0,0,0
LINC02153,0,0,0,0,0,0,0
GUSBP3,21,0,0,0,10,0,4
PSME2P5,0,0,0,0,0,0,0
LOC105375924,4,7,18,1,2,0,3
KRT18P41,1,2,0,0,0,0,0
LOC100288001,0,0,0,2,0,0,0
HIGD1AP6,0,0,0,0,0,0,0
MIR124-1HG,0,0,0,0,0,0,0
COX6CP8,0,0,0,0,0,0,0
IGLVI-70,0,0,0,0,0,0,0
MTND1P36,0,0,0,0,0,0,0
IGHV3-76,0,0,0,0,0,0,0
C8orf88,135,136,103,133,463,428,84
SHLD3,249,263,241,238,286,359,152
DLGAP2-AS1,0,0,0,0,0,0,0
CCDC71L,1344,1413,1239,780,617,2136,373
LINC02209,0,0,0,0,0,0,0
LOC101929528,0,0,0,0,0,0,0
LOC100422614,0,0,0,0,0,0,0
MIOXP1,0,0,0,0,0,0,0
HOXA10,55,47,49,54,2,8,13
LOC101928093,0,0,0,0,0,0,0
LINC01845,0,0,0,0,0,0,0
LINC01606,0,0,0,0,0,0,0
STAU2-AS1,21,18,18,32,10,9,6
IGHVIII-82,0,0,0,0,0,0,0
TMEM200B,166,166,96,151,232,187,173
PCDHGB6,63,69,61,45,67,104,26
SERPINE3,0,0,0,0,0,0,0
IGHVIII-76-1,0,0,0,0,0,0,0
LINC01847,0,0,0,0,0,0,0
C1orf210,5,14,3,8,0,2,5
LINC00293,0,0,0,0,0,0,2
LINC01932,5,0,0,0,0,1,3
RAD21-AS1,23,21,18,35,35,27,16
SUMO2P19,0,0,0,0,0,1,0
LOC392266,0,3,5,1,0,4,0
IGHVII-22-1,0,0,0,0,0,0,0
COX6B1P6,0,0,0,0,0,0,0
LINC01298,0,0,1,0,0,0,0
TUG1,10671,10702,9830,14579,8396,14754,9040
IGKV1D-22,0,0,0,0,0,0,0
IGHVIII-25-1,0,0,0,0,0,0,0
TRNP1,18467,18627,14758,30160,608,7536,7470
LOC100507464,0,0,0,0,0,0,0
RANP9,0,0,0,0,0,0,0
LINC00534,0,0,0,0,0,0,0
LOC105379391,0,0,0,0,0,0,0
LOC105379194,0,1,1,3,2,0,0
EVX1-AS,0,2,0,0,0,0,0
TRBV7-4,0,0,0,0,0,0,0
LINC01605,59,70,56,20,13,74,0
LINC02159,0,0,0,0,0,4,0
SNX18P27,0,0,0,0,0,0,0
LOC100533622,0,0,0,0,0,0,0
HSPA8P13,0,0,0,0,0,0,0
LINC01942,0,3,1,9,0,0,1
SRPK2P,0,0,0,0,0,0,0
NCRNA00250,0,0,0,0,0,0,0
LINC02237,0,0,0,0,0,0,0
RNU6-988P,0,0,0,0,0,0,0
PCAT1,7,8,6,5,5,14,4
IGLV3-6,0,0,0,0,0,0,0
IGLV2-28,0,0,0,0,0,0,0
LOC101929217,0,0,0,1,0,0,0
SMIM18,0,0,0,0,0,0,0
HMGB1P19,4,4,3,2,1,10,0
LOC101927908,0,0,0,0,0,0,0
LOC100420127,0,0,0,0,0,0,0
LINC01603,0,0,0,0,0,0,0
PCDHGA5,9,32,26,28,9,57,10
SINHCAFP3,0,0,0,0,0,0,0
LINC02099,11,9,20,31,8,18,20
IGHVII-30-1,0,0,0,0,0,0,0
CYCSP23,0,0,0,0,0,0,0
LOC100420746,0,0,0,0,2,0,3
ATP6V1G1P2,0,0,0,0,0,0,0
MTCYBP19,0,0,0,0,0,5,0
NACA2,0,1,3,0,0,1,0
LOC105375744,5,3,4,3,8,1,6
HPYR1,0,0,0,0,0,0,0
MIR3142HG,113,78,67,54,42,51,100
LOC105375750,0,0,0,0,0,0,0
TRBV6-8,0,0,0,0,0,0,0
PCDHGA7,31,19,31,47,5,96,12
SDR16C6P,0,0,0,0,0,0,0
C1GALT1P3,0,0,0,1,0,5,0
IGHV3-52,0,0,0,0,0,0,0
TUBAP7,0,0,0,0,0,0,0
PYDC2,0,0,0,1,0,0,0
LOC101929341,0,0,0,0,0,0,0
LINC01414,12,8,19,55,17,43,14
MTCO1P4,0,0,0,0,0,0,0
NKX2-1-AS1,0,0,0,0,0,0,0
LOC392180,0,0,0,0,0,0,0
SUMO2P16,0,0,0,0,0,0,0
LOC105375700,6,3,11,7,3,8,2
IGHV3-30-2,0,0,0,0,0,0,0
KCNIP1-AS1,0,0,0,0,0,0,0
LOC101927822,0,0,0,0,0,0,0
SLC10A5,75,126,148,89,71,89,86
RPS15P6,0,0,0,0,0,0,0
RN7SL260P,0,0,0,0,0,0,0
CERNA3,0,1,3,0,2,3,0
AFG3L2P1,0,0,0,0,0,0,1
LOC101929268,0,0,0,0,0,1,0
VN1R46P,0,0,0,0,0,0,0
GRPEL2-AS1,0,1,0,0,0,0,0
RPSAP74,0,0,0,0,0,0,0
EIF5AL1,361,328,391,403,510,517,441
LOC107986898,0,0,2,0,1,4,0
LOC102724710,0,0,0,0,0,0,0
IGLVV-58,0,0,0,0,0,0,0
LINCR-0001,2,1,0,3,2,2,7
LOC101929315,0,0,0,0,0,0,0
LINC02845,0,0,0,0,0,0,0
KCNIP1-OT1,1,0,0,0,1,0,3
LOC101060000,0,0,0,0,0,0,0
LINC01592,0,0,0,1,4,0,1
ZFHX4-AS1,1,0,1,0,0,18,7
NPM1P52,0,0,0,2,0,0,1
LOC100129667,0,0,0,0,0,0,0
LOC101930275,1,9,11,41,26,7,11
IGHVII-78-1,0,0,0,0,0,0,0
LINC02844,0,0,0,0,6,0,0
LOC105375638,0,0,0,0,0,0,0
BUD31P1,0,0,0,0,0,0,0
MTND5P41,0,0,0,0,0,0,0
LINC01484,2,3,1,14,3,7,2
KBTBD11-OT1,0,0,1,0,0,0,0
IGHV1-68,0,0,0,0,0,0,0
LOC101926977,5,4,3,12,7,8,1
LOC101926993,0,0,0,0,0,0,0
IGHV1-14,0,0,0,0,0,0,0
ALG11,884,1050,871,933,863,1169,590
IGHVII-53-1,0,0,0,0,0,0,0
MINCR,222,239,345,304,221,305,227
ATXN7L3B,5941,7080,6730,7491,4612,7356,4293
LOC100129457,0,0,0,0,0,0,0
LOC101926908,0,0,0,0,0,0,0
PRKDC,171949,183893,163256,149968,186513,275828,146847
PCDHGA6,57,72,107,102,45,216,12
LZTS1-AS1,0,0,0,0,0,0,1
LINC01289,1,0,4,0,0,0,3
OTUD6B-AS1,1451,1592,1244,2068,1093,2071,990
RNU6-323P,0,0,0,0,0,0,0
LNCOC1,9,10,17,24,0,4,8
IGHV3-60,0,0,0,0,0,0,0
MARK2P11,0,0,0,0,0,0,0
IGHVII-62-1,0,0,0,0,0,0,0
CYP4F44P,0,0,0,0,0,0,0
LOC107986878,1,0,0,0,1,0,0
IGLVI-63,0,0,0,0,0,0,0
CARS1P2,0,0,0,0,0,0,0
IGHV3-6,0,0,0,0,0,0,0
LOC101928058,0,0,1,0,0,0,0
IGKV2D-19,0,0,0,0,0,0,0
PCDHGA8,58,38,30,40,58,115,18
HMGB1P23,0,0,0,0,0,0,0
C8orf37-AS1,35,36,53,14,10,0,8
IGHVIII-2-1,0,0,0,0,0,0,0
ZNF317P1,0,0,0,0,0,0,0
LOC105375814,0,0,0,0,0,0,0
IGLV3-15,0,0,0,0,0,0,0
LINC02219,0,0,0,1,0,0,2
