gene_name,A375_Control_1,A375_Control_2,A375_Control_3,A375_POLK_1,A375_POLK_2,A375_POLK_3
HADHAP1,2,0,2,0,1,5
RPL37P25,0,0,0,0,0,0
LOC105379030,0,0,0,0,0,0
LOC101927636,0,0,0,0,0,0
LOC100507437,101,139,108,146,120,138
OR12D1,0,0,0,0,0,0
LINC02508,0,0,0,0,0,0
STPG2-AS1,0,0,0,0,0,0
FAM153B,0,0,0,0,0,0
LINC02241,164,234,211,320,314,269
LINC02172,0,0,2,0,0,0
LINC02379,0,0,0,0,0,0
LOC105374344,0,0,0,0,0,0
PRB1,0,0,0,0,0,0
PRELID3BP5,0,0,0,0,0,0
SUMO2P5,0,0,0,0,0,0
PCDHA12,168,178,176,230,150,167
BRCC3P1,2,1,3,2,4,1
FAM86EP,153,215,198,270,158,204
SNHG27,0,0,0,0,0,0
LOC101929773,0,0,0,0,0,0
OR10J8P,0,0,0,0,0,0
LOC100422022,0,0,0,0,0,0
PTX4,0,0,0,1,1,0
USP17L9P,0,0,0,0,1,0
RN7SKP24,0,0,0,0,0,0
RNA5SP445,0,0,0,0,0,0
RNU6-857P,0,0,0,0,0,0
RNU6-998P,0,0,0,0,0,0
RNA5-8SP6,0,0,0,0,0,0
RNU7-61P,0,0,0,0,0,0
RNU7-68P,0,0,0,0,0,0
RNU6-632P,0,0,0,0,0,0
RNU7-20P,0,0,0,0,0,0
RN7SKP67,0,0,0,0,0,0
RNA5SP419,0,0,0,0,0,0
RNU2-13P,0,0,0,0,0,0
RNU6-408P,0,0,0,0,0,0
RNU7-123P,0,0,0,0,0,0
RNU5E-3P,0,0,0,0,0,0
RNU7-175P,0,0,0,0,0,0
RNU7-41P,0,0,0,0,0,0
RNU6-488P,0,0,0,0,0,0
RNA5SP401,0,0,0,0,0,0
RN7SKP122,0,0,0,0,0,0
SCARNA8,0,0,0,0,0,0
RNU6-1053P,0,0,0,0,0,0
RNU4ATAC13P,0,0,0,0,0,0
RN7SKP13,0,0,0,0,0,0
RNU7-124P,0,0,0,0,0,0
RNA5SP112,0,0,0,0,0,0
RNU7-60P,0,0,0,0,0,0
RNU4ATAC11P,0,0,0,0,0,0
RNU5F-8P,0,0,0,0,0,0
RN7SKP46,0,0,0,0,0,0
RNU4-29P,0,0,0,0,0,0
RNU6-75P,0,0,0,0,0,0
RNU6-999P,0,0,0,0,0,0
RNA5SP385,0,0,0,0,0,0
RN7SKP298,0,0,0,0,0,0
RNA5SP418,0,0,0,0,0,0
RNU6-138P,0,0,0,0,0,0
RNU6-470P,0,0,0,0,0,0
RNA5SP446,0,0,0,0,0,0
RNA5SP518,0,0,0,0,0,0
RNU7-8P,0,0,0,0,0,0
RNA5SP217,0,0,0,0,0,0
RNA5SP486,0,0,0,0,0,0
RNU6-1129P,0,0,0,0,0,0
RNU6-377P,0,0,0,0,0,0
RN7SKP242,0,0,0,0,0,0
RNA5SP356,0,0,0,0,0,0
RNU6-1170P,0,0,0,0,0,0
RNA5SP20,0,0,0,0,0,0
RNU7-47P,0,0,0,0,0,0
RNU5A-7P,0,0,0,0,0,0
RNU4-57P,0,0,0,0,0,0
RNU6-237P,0,0,0,0,0,0
RNU6-863P,0,0,0,0,0,0
RNU6-1294P,0,0,0,0,0,0
RNU6-202P,0,0,0,0,0,0
RN7SKP14,0,0,0,0,0,0
RN7SKP132,0,0,0,0,0,0
RNU6-983P,0,0,0,0,0,0
RN7SKP18,0,0,0,0,0,0
SNORD116-26,0,0,0,0,0,0
RNA5SP157,0,0,0,0,0,0
RNU6-322P,0,0,0,0,0,0
RNU6-583P,0,0,0,0,0,0
RN7SKP19,0,0,0,0,0,0
RNA5SP436,0,0,0,0,0,0
RNU6-1114P,0,0,0,0,0,0
RNU6-319P,0,0,0,0,0,0
RNU6ATAC32P,0,0,0,0,0,0
RNU7-12P,0,0,0,0,0,0
RN7SKP155,0,0,0,0,0,0
RNU6-1334P,0,0,0,0,0,0
RNU6-732P,0,0,0,0,0,0
RNU6-803P,0,0,0,0,0,0
RNA5SP96,0,0,0,0,0,0
RNU6-772P,0,0,0,0,0,0
RNU6-507P,0,0,0,0,0,0
MIR449C,0,0,0,0,0,0
RNA5SP362,0,0,0,0,0,0
RNU6-1288P,0,0,0,0,0,0
MIR1343,0,0,0,0,0,0
RNU6-518P,0,0,0,0,0,0
SCARNA21B,1,0,0,0,0,0
RNU7-71P,0,0,0,0,0,0
SCARNA23,2,0,0,0,0,0
RNU2-69P,0,0,0,0,0,0
RNA5SP182,0,0,0,0,0,0
RNU6-615P,0,0,0,0,0,0
RNU5F-2P,0,0,0,0,0,0
RNU2-45P,0,0,0,0,0,0
RNU7-75P,0,0,0,0,0,0
RNU6-475P,0,0,0,0,0,0
RNU6ATAC17P,0,0,0,0,0,0
RNA5SP288,0,0,0,0,0,0
RNU6-120P,0,0,0,0,0,0
RNU6-760P,0,0,0,0,0,0
RN7SKP190,0,0,0,0,0,0
RNU4-49P,0,0,0,0,0,0
RNA5SP497,0,0,0,0,0,0
RNU7-79P,0,0,0,0,0,0
RNU7-84P,0,0,0,0,0,0
RNU6-976P,0,0,0,0,0,0
SNORD116-27,0,0,0,0,0,0
RNU6-916P,0,0,0,0,0,0
SCARNA11,0,0,0,0,0,0
VTRNA2-2P,0,0,0,0,0,0
RNA5SP272,0,0,0,0,0,0
RNU7-2P,0,0,0,0,0,0
RNU6-351P,0,0,0,0,0,0
RNU6-240P,0,0,0,0,0,0
RNU6-491P,0,0,0,0,0,0
RNU6-513P,0,0,0,0,0,0
RNU7-200P,0,0,0,0,0,0
RNA5SP406,0,0,0,0,0,0
RNU1-61P,0,0,0,0,0,0
RNU7-105P,0,0,0,0,0,0
RNA5SP216,0,0,0,0,0,0
RNU6-276P,0,0,0,0,0,0
RNA5SP408,0,0,0,0,0,0
RNU6-189P,0,0,0,0,0,0
RNU6-871P,0,0,0,0,0,0
RNU6-1143P,0,0,0,0,0,0
RN7SKP179,0,0,0,0,0,0
RNA5SP249,0,0,0,0,0,0
RNU7-129P,0,0,0,0,0,0
RNU6-1278P,0,0,0,0,0,0
RNA5SP116,0,0,0,0,0,0
RNU6-693P,0,0,0,0,0,0
RNU6-1023P,0,0,0,0,0,0
RN7SKP164,0,0,0,0,0,0
RN7SKP34,0,0,0,0,0,0
RNU6-1219P,0,0,0,0,0,0
RNU6-27P,0,0,0,0,0,0
RNU6-1095P,0,0,0,0,0,0
RNU6-1102P,0,0,0,0,0,0
RNU6-559P,0,0,0,0,0,0
RNU6ATAC13P,0,0,0,0,0,0
RNA5SP208,0,0,0,0,0,0
RNU6-1333P,0,0,0,0,0,0
RNU6-123P,0,0,0,0,0,0
RNU6-473P,0,0,0,0,0,0
RNU6-718P,0,0,0,0,0,0
RN7SKP141,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0
RNA5SP236,0,0,0,0,0,0
RNU6-436P,0,0,0,0,0,0
RNU7-52P,0,0,0,0,0,0
RN7SKP43,0,0,1,0,0,0
RN7SKP157,0,0,0,0,0,0
RNU6-1161P,0,0,0,0,0,0
RNU4ATAC18P,0,0,0,0,0,0
RNA5SP180,0,0,0,0,0,0
RNU7-49P,0,0,0,0,0,0
RNA5SP227,0,0,0,0,0,0
RNU2-27P,1,8,1,4,2,1
RNU6-168P,0,0,0,0,0,0
RNA5SP303,0,0,0,0,0,0
RNA5SP154,0,0,0,0,0,0
RNU7-154P,0,0,0,0,0,0
RNU4ATAC8P,0,0,0,0,0,0
RNU6-927P,0,0,0,0,0,0
RNU4ATAC14P,0,0,0,0,0,0
RNU6-904P,0,0,0,0,0,0
RNU6-1194P,0,0,0,0,0,0
RNU2-30P,0,0,0,0,0,0
RNU6ATAC9P,0,0,0,0,0,0
RNU6-581P,0,0,0,0,0,0
RNU6-982P,0,0,0,0,0,0
RNU6-1262P,0,0,0,0,0,0
RNU6ATAC14P,0,0,0,0,0,0
RN7SKP52,0,0,0,0,0,0
RNU6-1196P,0,0,0,0,0,0
RNU6-561P,0,0,0,0,0,0
RNU6-1281P,0,0,0,0,0,0
RNU6-311P,0,0,0,0,0,0
RNY4P37,0,0,0,0,0,0
RNU6-397P,0,0,0,0,0,0
RN7SKP288,0,0,0,0,0,0
RNU6-162P,0,0,0,0,0,0
RNU6-287P,0,0,0,0,0,0
RNA5SP228,0,0,0,0,0,0
RNU6-150P,0,0,0,0,0,0
RN7SKP276,0,0,0,0,0,0
RNU6-1101P,0,0,0,0,0,0
RNU7-174P,0,0,0,0,0,0
RNA5SP464,0,0,0,0,0,0
RNU6-415P,0,0,0,0,0,0
RNU6-469P,0,0,0,0,0,0
RNU6-1041P,0,0,0,0,0,0
RNU6-864P,0,0,0,0,0,0
RNU2-53P,0,0,0,0,0,0
RNU4-71P,0,0,0,0,0,0
RNU6-390P,0,0,0,0,0,0
RNA5SP341,0,0,0,0,0,0
RNA5SP320,0,0,0,0,0,0
RNU6-947P,0,0,0,0,0,0
RNU6-416P,0,0,0,0,0,0
RN7SKP196,0,0,0,0,0,0
RNU6-327P,0,0,0,0,0,0
RNU7-99P,0,0,0,0,0,0
RNU6-277P,0,0,0,0,0,0
RNU6-547P,0,0,0,0,0,0
RN7SKP12,0,0,0,0,0,0
RNA5SP76,0,0,0,0,0,0
RN7SKP248,0,0,0,0,0,0
RNU4ATAC7P,0,0,0,0,0,0
RNU6-1146P,0,0,0,0,0,0
RNA5SP410,0,0,0,0,0,0
RNU6-346P,0,0,0,0,0,0
RNU6-758P,0,0,0,0,0,0
RNU6-917P,0,0,0,0,0,0
RNU6-191P,0,0,0,0,0,0
RNU1-143P,1,0,0,1,0,1
RNY3P15,0,0,0,0,0,0
RNA5SP220,0,0,0,0,0,0
RNU6-1232P,0,0,0,0,0,0
RNU6-523P,0,0,0,0,0,0
RNU4ATAC4P,0,0,0,0,0,0
RNU6-1108P,0,0,0,0,0,0
RNU6ATAC39P,0,0,0,0,0,0
RNU6-970P,0,0,0,0,0,0
RNU6-1299P,0,0,0,0,0,0
RNU6-313P,0,0,0,0,0,0
RNU6-1045P,0,0,0,0,0,0
RNU6-795P,0,0,0,0,0,0
RNU1-155P,0,0,0,0,0,0
RNU6-1338P,0,0,0,0,0,0
RNU6-65P,0,0,0,0,0,0
RNU6-1225P,0,0,0,0,0,0
RNY3P16,0,0,0,0,0,0
RNU6-1206P,0,0,0,0,0,0
RNU6-1265P,0,0,0,0,0,0
MIR2278,0,0,0,0,0,0
RNU6-941P,0,0,0,0,0,0
RNU6-155P,0,0,0,0,0,0
RNU6-479P,0,0,0,0,0,0
RNA5SP318,0,0,0,0,0,0
RNU6-830P,0,0,0,0,0,0
RN7SKP31,0,0,0,0,0,0
RNA5SP282,0,0,0,0,0,0
RNU1-95P,0,0,0,0,0,0
RNA5SP287,0,0,0,0,0,0
RNA5SP200,0,0,0,0,0,0
RNU6-720P,0,0,0,0,0,0
RNU6-109P,0,0,0,0,0,0
RNU7-18P,0,0,0,0,0,0
RNU7-69P,0,0,0,0,0,0
RNA5SP255,0,0,0,0,0,0
RNA5SP413,0,0,0,0,0,0
RNU6-948P,0,0,0,0,0,0
RNU2-10P,0,0,0,0,0,0
RNU6-752P,0,0,0,0,0,0
RNU6-781P,0,0,0,0,0,0
RNU6-751P,0,0,0,0,0,0
RNU6-764P,0,0,0,0,0,0
RNU7-40P,0,0,0,0,0,0
RNA5SP365,0,0,0,0,0,0
RNU1-48P,0,0,0,0,0,0
RNU2-58P,0,0,0,0,0,0
SNORA74D,3,0,1,3,1,0
RNU6-542P,0,0,0,0,0,0
MIR892C,0,0,0,0,0,0
RNU6-977P,0,0,0,0,0,0
RNU7-13P,0,0,0,0,0,0
RNU6-1049P,0,0,0,0,0,0
RNU4ATAC15P,0,0,0,0,0,0
RNA5SP67,0,0,0,0,0,0
RN7SKP253,0,0,0,0,0,0
RNU4-54P,0,0,0,0,0,0
RNU7-115P,0,0,0,0,0,0
RNU6-412P,0,0,0,0,0,0
RNU7-3P,0,0,0,0,0,0
RNA5SP92,0,0,0,0,0,0
RNU6-70P,0,0,0,0,0,0
RNU6-687P,0,0,0,0,0,0
RNU2-35P,0,1,0,0,0,0
RN7SKP265,0,0,0,0,0,0
RNA5SP49,0,0,0,0,0,0
RNA5SP461,0,0,0,0,0,0
RNA5SP262,0,0,0,0,0,0
RNA5SP61,0,0,0,0,0,0
RNU6-659P,0,0,0,0,0,0
RNU7-153P,0,0,0,0,0,0
RNA5SP495,0,0,0,0,0,0
RNA5SP417,0,0,0,0,0,0
RNU4ATAC12P,0,0,0,0,0,0
RNU6-1110P,0,0,0,0,0,0
RNA5SP470,0,0,0,0,0,0
RNU6-426P,0,0,0,0,0,0
RNU7-192P,0,0,0,0,0,0
SNORD116-30,0,0,0,0,0,0
RNU6-406P,0,0,0,0,0,0
RNU6-1089P,0,0,0,0,0,0
RNA5SP24,0,0,0,0,0,0
RNU6-966P,0,0,0,0,0,0
RNA5SP519,0,0,0,0,0,0
RN7SKP238,0,0,0,0,0,0
RNU6-589P,0,0,0,0,0,0
RNU6-875P,0,0,0,0,0,0
RNA5SP134,0,0,0,0,0,0
RNA5SP147,0,0,0,0,0,0
RNA5SP153,0,0,0,0,0,0
RNU1-103P,0,0,0,0,0,0
RN7SKP21,0,0,0,0,0,0
RNA5SP281,0,0,0,0,0,0
RNY4,0,0,0,0,0,0
RNU6-320P,0,0,0,0,0,0
RN7SKP83,0,0,0,0,0,0
RN7SKP244,0,0,0,0,0,0
RNU6-1038P,0,0,0,0,0,0
SNORD116-25,0,0,0,0,0,0
RNU6-911P,0,0,0,0,0,0
RNU6-964P,0,0,0,0,0,0
RNU6-1337P,0,0,0,0,0,0
RNU6-62P,0,0,0,0,0,0
RNA5SP148,0,0,0,0,0,0
RNU6-503P,0,0,0,0,0,0
RNU6-1061P,0,0,0,0,0,0
RNA5SP164,0,0,0,0,0,0
RNU2-34P,0,0,0,0,0,0
RNA5SP121,0,0,0,0,0,0
RNU6-1046P,0,0,0,0,0,0
RNU6-1256P,0,0,0,0,0,0
RPPH1-3P,0,0,0,0,0,0
RNU6ATAC12P,0,0,0,0,0,0
RNU7-25P,0,0,0,0,0,0
RN7SKP287,0,0,0,1,2,0
RN7SKP135,0,0,0,0,0,0
RNU6-118P,0,0,0,0,0,0
RNU6-506P,0,0,0,0,0,0
RNU7-43P,0,0,0,0,0,0
RNA5SP360,0,0,0,0,0,0
RNA5SP367,0,0,0,0,0,0
RNA5SP43,0,0,0,0,0,0
RNU7-51P,0,0,0,0,0,0
RNA5SP438,0,0,0,0,0,0
RNU6-725P,0,0,0,0,0,0
RNU6-358P,0,0,0,0,0,0
RNA5SP395,0,0,0,0,0,0
RNU6-504P,0,0,0,0,0,0
RNU6-314P,0,0,0,0,0,0
RNU6-68P,0,0,0,0,0,0
RNU6-1018P,0,0,0,0,0,0
RNU5F-4P,0,0,0,0,0,0
RNU6-638P,0,0,0,0,0,0
RNU6-1004P,0,0,0,0,0,0
RNU6-1007P,0,0,0,0,0,0
RN7SKP195,0,0,0,0,0,0
RNU5A-4P,0,0,0,0,0,0
RNU6-1291P,0,0,0,0,0,0
RNU4ATAC6P,0,0,0,0,0,0
RNU7-183P,0,0,0,0,0,0
RNU6-1087P,0,0,0,0,0,0
RNU7-121P,0,0,0,0,0,0
RNU6-100P,0,0,0,0,0,0
RNU6-1012P,0,0,0,0,0,0
RNU6-885P,0,0,0,0,0,0
RNU7-179P,0,0,0,0,0,0
RNU6-1069P,0,0,0,0,0,0
RNA5SP476,0,0,0,0,0,0
RNU6-229P,0,0,0,0,0,0
RNA5SP384,0,0,0,0,0,0
RNU1-107P,0,0,0,0,0,0
RNA5SP285,0,0,0,0,0,0
RNU6-1247P,0,0,0,0,0,0
RNA5SP459,0,0,0,0,0,0
RNU6-344P,0,0,0,0,0,0
RNU6-405P,0,0,0,0,0,0
RNU6-139P,0,0,0,0,0,0
RNA5SP168,0,0,0,0,0,0
RNU6-107P,0,0,0,0,0,0
MIR2114,0,0,0,0,0,0
RNA5SP434,0,0,0,0,0,0
RNU7-65P,0,0,0,0,0,0
RNU6-635P,0,0,0,0,0,0
RNU6-113P,0,0,0,0,0,0
RN7SKP70,1,3,1,0,0,2
MIR2115,0,0,0,0,0,0
RNU6-347P,0,0,0,0,0,0
RNU2-57P,0,0,0,0,0,0
RNU7-160P,0,0,0,0,0,0
RNU6-551P,0,0,0,0,0,0
RNU6-521P,0,0,0,0,0,0
RNU6-539P,0,0,0,0,0,0
RNU6-1332P,0,0,0,0,0,0
RNA5SP309,0,0,0,0,0,0
RNU6-719P,0,0,0,0,0,0
SCARNA13,3,1,0,1,6,5
RNU7-22P,0,0,0,0,0,0
RNU6-1178P,0,0,0,0,0,0
RN7SKP49,0,0,0,0,0,0
RNY4P20,0,0,0,0,0,0
RNU6-197P,0,0,0,0,0,0
RN7SKP66,0,0,0,0,0,0
RNU1-142P,0,0,0,0,0,0
RNU6-126P,0,0,0,0,0,0
RNA5SP33,0,0,0,0,0,0
RPPH1-2P,0,0,0,0,0,0
RNU6-1016P,0,0,0,0,0,0
RNU6-63P,0,0,0,0,0,0
RNU4-77P,0,0,0,0,0,0
RNU6-531P,0,0,0,0,0,0
RNU6-180P,0,0,0,0,0,0
RNU7-81P,0,0,0,0,0,0
RNU4ATAC3P,0,0,0,0,0,0
RNA5SP271,0,0,0,0,0,0
RNA5SP55,0,0,0,0,0,0
RNU7-53P,0,0,0,0,0,0
RNU6-1171P,0,0,0,0,0,0
RNA5SP82,0,0,0,0,0,0
RNU6-783P,0,0,0,0,0,0
RNU5D-2P,0,0,0,0,0,0
RNU6-267P,0,0,0,0,0,0
RNU6-965P,0,0,0,0,0,0
RNU7-193P,0,0,0,0,0,0
RNU6-572P,0,0,0,0,0,0
RNA5SP254,0,0,0,0,0,0
RNA5SP462,0,0,0,0,0,0
RNU6-919P,0,0,0,0,0,0
RNU6-1282P,0,0,0,0,0,0
RNU6-362P,0,0,0,0,0,0
RNA5SP466,0,0,0,0,0,0
RNU7-149P,0,0,0,0,0,0
RNU6-759P,0,0,0,0,0,0
RNU6-307P,0,0,0,0,0,0
RNA5SP73,0,0,0,0,0,0
RNU6-861P,0,0,0,0,0,0
RNU6-567P,0,0,0,0,0,0
RNU6-256P,0,0,0,0,0,0
RNU6-914P,0,0,0,0,0,0
RNU4-18P,0,0,0,0,0,0
RNU1-125P,0,0,0,0,0,0
RNU6-922P,0,0,0,0,0,0
RNA5SP45,0,0,0,0,0,0
RNU7-28P,0,0,0,0,0,0
SCARNA20,0,0,0,0,0,0
RNU6-135P,0,0,0,0,0,0
RNU6-1098P,0,0,0,0,0,0
MIR514B,0,0,0,0,0,0
RNA5SP422,0,0,0,0,0,0
RNU7-143P,0,0,0,0,0,0
RNA5SP468,0,0,0,0,0,0
RNU6-1224P,0,0,0,0,0,0
RNU6-656P,0,0,0,0,0,0
RN7SKP82,0,0,0,0,0,0
RNU7-137P,0,0,0,0,0,0
RNA5SP460,0,0,0,0,0,0
RNU6-566P,0,0,0,0,0,0
RNU6ATAC22P,0,0,0,0,0,0
RNU2-44P,0,0,0,0,0,0
RNU6-1150P,0,0,0,0,0,0
RNU6-1191P,0,0,0,0,0,0
RNU6-1121P,0,0,0,0,0,0
RNU6-807P,0,0,0,0,0,0
RNA5SP441,0,0,0,0,0,0
RNU6-1149P,0,0,0,0,0,0
RNU6ATAC24P,0,0,0,0,0,0
RNU6-881P,0,0,0,0,0,0
RNA5SP481,0,0,0,0,0,0
RNA5SP409,0,0,0,0,0,0
RNU1-40P,0,0,0,0,0,0
RNU6-1308P,0,0,0,0,0,0
RNU6-122P,0,0,0,0,0,0
RNU6-453P,0,0,0,0,0,0
RN7SKP282,0,0,0,0,0,0
RN7SKP219,0,0,0,0,0,0
RNU2-56P,0,0,0,0,0,0
RNU6-826P,0,0,0,0,0,0
RNA5SP268,0,0,0,0,0,0
RNU2-24P,0,0,0,0,0,0
RNU6-678P,0,0,0,0,0,0
RNA5SP137,0,0,0,0,0,0
RNU6-1136P,0,0,0,0,0,0
RNU7-30P,0,0,0,0,0,0
RNU7-111P,0,0,0,0,0,0
RNA5SP416,0,0,0,0,0,0
RNA5SP480,0,0,0,0,0,0
RNA5SP75,0,0,0,0,0,0
RNU6-557P,0,0,0,0,0,0
RNA5SP444,0,0,0,0,0,0
RNU7-6P,0,0,0,0,0,0
RNU6-786P,0,0,0,0,0,0
RNU6-1088P,0,0,0,0,0,0
RNU6-782P,0,0,0,0,0,0
RNA5SP421,0,0,0,0,0,0
RNA5SP102,0,0,0,0,0,0
RNA5SP449,0,0,0,0,0,0
RNU6ATAC36P,0,0,0,0,0,0
RNU6-928P,0,0,0,0,0,0
RNU6-1234P,0,0,0,0,0,0
RNU6-579P,0,0,0,0,0,0
MIR2276,0,0,0,0,0,0
RNA5SP34,0,0,0,0,0,0
RN7SKP209,0,0,0,0,0,0
SNORA21B,0,0,0,0,0,0
RNU7-110P,0,0,0,0,0,0
RN7SKP277,0,0,0,0,0,0
RNU6-175P,0,0,0,0,0,0
RNU11-2P,0,0,1,0,0,0
RNU6-295P,0,0,0,0,0,0
RN7SKP116,0,0,0,0,0,0
SCARNA14,0,0,0,0,0,0
RNU6-1198P,0,0,0,0,0,0
RNA5SP392,0,0,0,0,0,0
RNU6-352P,0,0,0,0,0,0
RNU6-612P,0,0,0,0,0,0
RNU6-798P,0,0,0,0,0,0
RNU6-677P,0,0,0,0,0,0
RNU6-765P,0,0,0,0,0,0
RNA5SP94,0,0,0,0,0,0
RNU6-971P,0,0,0,0,0,0
RNU6-980P,0,0,0,0,0,0
RNU6-528P,0,0,0,0,0,0
RNU7-151P,0,0,0,0,0,0
RNA5SP143,0,0,0,0,0,0
RNU6-273P,0,0,0,0,0,0
RNA5SP364,0,0,0,0,0,0
RNU7-116P,0,0,0,0,0,0
RNU7-70P,0,0,0,0,0,0
RNU6-143P,0,0,0,0,0,0
RNU6-210P,0,0,0,0,0,0
RNU6-703P,0,0,0,0,0,0
RNU6-577P,0,0,0,0,0,0
RN7SKP96,0,0,0,0,0,0
RNU6-445P,0,0,0,0,0,0
RNA5SP54,0,0,0,0,0,0
RNU2-31P,0,0,0,0,0,0
RNU6-1092P,0,0,0,0,0,0
RNU6-255P,0,0,0,0,0,0
RNU6-250P,0,0,0,0,0,0
RNU6-856P,0,0,0,0,0,0
RNU7-4P,0,0,0,0,0,0
RNU6-714P,0,0,0,0,0,0
RNU4ATAC10P,0,0,0,0,0,0
RNU6-182P,0,0,0,0,0,0
RNA5SP471,0,0,0,0,0,0
RNU6-341P,0,0,0,0,0,0
RNU6-835P,0,0,0,0,0,0
RN7SKP60,0,0,0,0,0,0
RNU6-56P,0,0,0,0,0,0
RNU7-11P,0,0,0,0,0,0
RN7SKP272,1,0,0,0,1,0
RNA5SP420,0,0,0,0,0,0
RNU6-1006P,0,0,0,0,0,0
RNU6-345P,0,0,0,0,0,0
RN7SKP2,0,0,0,0,0,0
RN7SKP233,0,0,0,0,0,0
RNU6-410P,0,0,0,0,0,0
RNA5SP337,0,0,0,0,0,0
RNU6-388P,0,0,0,0,0,0
RNU6-148P,0,0,0,0,0,0
RNVU1-23,0,0,0,0,0,0
RN7SKP11,0,0,0,0,0,0
RNA5SP135,0,0,0,0,0,0
RNA5SP533,0,0,0,0,0,0
RNU6-1212P,0,0,0,0,0,0
RNA5SP186,0,0,0,0,0,0
SCARNA21,0,0,0,0,1,0
RN7SKP99,0,0,0,0,0,0
RNA5SP101,0,0,0,0,0,0
RNU2-46P,0,0,0,0,0,0
RNA5SP230,0,0,0,0,0,0
RN7SKP5,0,0,0,0,0,0
RNA5SP503,0,0,0,0,0,0
RNU6-389P,0,0,0,0,0,0
RNU6-1271P,0,0,0,0,0,0
RNU6-375P,0,0,0,0,0,0
RNU6-570P,0,0,0,0,0,0
RNU6-448P,0,0,0,0,0,0
RNU6-1183P,0,0,0,0,0,0
RNA5SP278,0,0,0,0,0,0
RNA5SP243,0,0,0,0,0,0
RNU6-909P,0,0,0,0,0,0
RNU7-188P,0,0,0,0,0,0
RNA5SP312,0,0,0,0,0,0
RN7SKP98,0,0,0,0,0,0
RNU6-334P,0,0,0,0,0,0
RNU6-1137P,0,0,0,0,0,0
RNU6-1213P,0,0,0,0,0,0
RN7SKP197,0,0,0,0,0,0
RNU6-430P,0,0,0,0,0,0
RNU6-1236P,0,0,0,0,0,0
RNU6-699P,0,0,0,0,0,0
RNU6-548P,0,0,0,0,0,0
RNU6-685P,0,0,0,0,0,0
RNU6-1096P,0,0,0,0,0,0
RNU6-303P,0,0,0,0,0,0
RNU6-894P,0,0,0,0,0,0
RNA5SP330,0,0,0,0,0,0
SCARNA3,0,0,0,0,1,0
RNU6-1003P,0,0,0,0,0,0
RNU6-201P,0,0,0,0,0,0
RNU6-158P,0,0,0,0,0,0
RNU6-789P,0,0,0,0,0,0
RNU6-762P,0,0,0,0,0,0
RNU6-365P,0,0,0,0,0,0
RNA5SP404,0,0,0,0,0,0
RNU6-64P,0,0,0,0,0,0
RNU6-218P,0,0,0,0,0,0
RNU6-1015P,0,0,0,0,0,0
RNU6-231P,0,0,0,0,0,0
RNU6-1223P,0,0,0,0,0,0
RNU7-172P,0,0,0,0,0,0
RNU6-1220P,0,0,0,0,0,0
RNA5SP423,0,0,0,0,0,0
RNU6-1270P,0,0,0,0,0,0
RNA5SP340,0,0,0,0,0,0
RNA5SP290,0,0,0,0,0,0
RNU6-264P,0,0,0,0,0,0
RNU6-897P,0,0,0,0,0,0
SCARNA1,0,0,0,0,3,1
RNU6-1314P,0,0,0,0,0,0
RNA5SP490,0,0,0,0,0,0
RNA5SP165,0,0,0,0,0,0
RNU6-232P,0,0,0,0,0,0
RNU4ATAC9P,0,0,0,0,0,0
RNA5SP40,0,0,0,0,0,0
RNA5SP402,0,0,0,0,0,0
RNA5SP170,0,0,0,0,0,0
RN7SKP258,0,0,0,0,0,0
RNU6-993P,0,0,0,0,0,0
RN7SKP147,0,0,0,0,0,0
RNA5SP400,0,0,0,0,0,0
RNA5SP159,0,0,0,0,0,0
RNU6-1057P,0,0,0,0,0,0
RNU6-1028P,0,0,0,0,0,0
RNA5SP70,0,0,0,0,0,0
RN7SKP183,0,0,0,0,0,0
RNU6-165P,0,0,0,0,0,0
RNU6-367P,0,0,0,0,0,0
RN7SKP234,0,0,0,0,0,0
RNU7-35P,0,0,0,0,0,0
RNU6-844P,0,0,0,0,0,0
RNA5SP66,0,0,0,0,0,0
RNU6-111P,0,0,0,0,0,0
RNU1-54P,0,0,0,0,0,0
RNU6-1073P,0,0,0,0,0,0
RNU6-1231P,0,0,0,0,0,0
RNU6-667P,0,0,0,0,0,0
RNU6-1315P,0,0,0,0,0,0
RNU6-889P,0,0,0,0,0,0
RNA5SP380,0,0,0,0,0,0
RNU1-45P,0,0,0,0,0,0
RN7SKP105,0,0,0,0,0,0
RNU6-1261P,0,0,0,0,0,0
RNU6-176P,0,0,0,0,0,0
RN7SKP283,0,0,0,0,0,0
SNORA50B,0,0,0,0,0,0
MIR2355,0,0,0,0,0,0
RN7SKP256,0,0,0,0,0,0
RN7SKP64,0,0,0,0,0,0
RN7SKP35,0,0,0,0,0,0
RN7SKP40,0,0,0,0,0,0
RNU6-902P,0,0,0,0,0,0
RNU6-731P,0,0,0,0,0,0
RNU7-156P,0,0,0,0,0,0
RNU6-1238P,0,0,0,0,0,0
RNU2-12P,0,0,0,0,0,0
RNU6-464P,0,0,0,0,0,0
MIR2116,0,0,0,0,0,0
RNA5SP291,0,0,0,0,0,0
RNU6-299P,0,0,0,0,0,0
RNU4ATAC5P,0,0,0,0,0,0
RNU6-706P,0,0,0,0,0,0
RNA5SP47,0,0,0,0,0,0
RNA5SP454,0,0,0,0,0,0
RNU7-181P,0,0,0,0,0,0
