gene_name,5377-sg_Control,5377-sg_PAK4,5391-sg_Control,5391-sg_PAK4,5465-sg_Control,5465-sg_PAK4
LOC112267990,0,0,0,0,0,0
LOC100631242,26,12,36,37,38,14
SNRPGP14,0,0,0,0,3,1
HCG9,0,0,0,0,0,0
STARD13-AS,0,1,0,0,0,0
PRPF38AP2,0,0,4,6,0,0
MTATP6P4,0,0,0,0,0,0
RPS27AP14,0,0,0,0,0,0
MED15P5,0,0,0,0,0,0
IGHD7-27,0,0,0,0,0,0
EEF1DP8,0,2,0,0,0,0
EIF4A1P6,0,0,0,0,0,0
ZNF853,9,12,10,30,0,0
SOCS5P1,0,0,0,0,0,0
LINC02556,3,1,2,3,3,4
LOC101928530,6,0,3,0,3,1
PITPNA-AS1,109,63,101,107,42,4
C4B,0,0,0,0,0,0
MTND5P17,0,0,0,0,0,0
LINC02540,0,0,0,0,0,0
IFNA4,0,0,0,0,0,0
LINC02810,0,0,0,0,0,0
PPT2,3,0,0,2,0,0
DLX2-DT,1,3,3,0,0,0
SLC6A14P3,0,0,0,0,0,0
FRGCA,12,6,0,0,0,0
RPL27AP3,0,0,0,0,0,0
LOC100505588,0,0,0,0,0,0
KRT18P5,8,8,18,9,17,19
TSBP1,0,0,0,0,0,0
LOC441887,0,0,0,0,0,0
LINC00347,0,0,0,0,0,0
RPL23AP24,0,8,0,20,0,3
PSMC3P1,0,0,0,0,0,0
MAP3K2-DT,141,117,74,83,108,46
MTCO2P21,0,0,0,0,0,0
HLA-DPB1,0,0,0,0,10,0
ARHGEF38,0,0,1,1,0,0
LINC01010,1,0,0,0,1,2
LOC100422376,0,0,0,0,0,0
CNOT4P1,0,0,0,0,0,0
DAPK1-IT1,0,0,0,1,0,0
LINC01844,3,0,1,1,2,1
OVAAL,0,0,0,0,0,0
LINC01741,0,0,0,0,0,0
RPL27P9,0,0,0,0,0,0
HCG17,0,0,0,0,0,0
RPL31P63,0,0,0,0,0,0
UQCRC2P1,0,0,0,0,0,0
LOC101927189,3,4,10,11,8,3
YRDCP2,0,0,0,0,0,0
LINC01282,0,0,0,0,0,0
RPL9P19,0,0,0,0,0,0
MKLN1-AS,104,89,85,82,55,15
DNAJC9-AS1,26,52,26,14,49,18
EHMT2,0,0,0,0,0,0
CTAGE9,0,0,0,0,2,0
DXO,0,0,0,1,0,0
RPL17P16,0,0,0,0,0,0
LINC02659,0,0,0,0,0,0
LOC100419806,0,0,0,0,0,0
RPL21P23,0,0,0,0,0,0
INTS6-AS1,86,65,61,120,110,45
LINC01829,5,0,3,3,0,0
RPS15AP27,0,0,0,0,0,0
SDR42E1P5,0,0,0,0,0,0
LINC00299,1,1,0,0,0,0
OR2AI1P,0,0,0,0,0,0
BCRP8,0,0,0,0,0,0
CNTNAP2-AS1,0,0,0,0,1,0
LINC02626,0,1,0,0,0,2
RPL24P8,0,0,0,0,1,0
B3GALT4,5,6,15,0,90,38
SDAD1P4,0,0,0,0,0,0
RPS3AP12,4,3,1,6,5,1
RPL7AP15,2,5,3,3,4,3
POLR1H,0,0,0,0,0,0
SNX25P1,8,4,9,14,5,0
ELOA-AS1,41,34,28,29,15,11
LINC01563,22,29,0,0,0,0
BCYRN1,1115,1238,1911,2413,364,78
LSM2,3,0,0,4,0,3
RPL23AP5,9,10,4,3,3,5
CBR3-AS1,216,202,110,131,141,63
YME1L1P1,0,0,0,0,0,0
CBY1P1,0,0,0,0,0,0
LINC00421,2,1,0,0,0,0
PCYT1B-AS1,0,0,0,0,0,0
LOC101929532,0,1,1,0,0,0
RPL24P6,0,0,0,0,0,0
LINC01474,0,1,0,0,0,0
OR2R1P,0,0,0,0,0,0
LINC00486,0,0,0,0,1,0
LOC284898,0,0,1,1,0,0
NIFK-AS1,71,112,60,58,40,25
RPL23AP23,0,0,0,0,0,0
LOC100996263,0,0,0,0,0,0
POMPP1,0,0,0,0,0,0
LINC00106,8,5,7,5,7,2
PPIAP36,1,3,2,0,0,0
MTATP6P26,0,0,0,0,0,0
RPS26P57,0,0,0,0,0,0
LINC01554,10,15,14,7,9,9
HLA-DRB1,0,0,0,0,0,0
RPS15P1,0,0,0,0,0,0
ASS1P7,0,0,0,0,0,0
GTF2H4,0,2,2,0,0,4
MIR600HG,41,60,25,29,15,6
LY6G6D,0,0,0,0,0,0
RPS5P4,0,1,1,0,0,1
RPS13P3,0,0,0,0,0,0
LINC01852,9,19,10,4,2,1
DNAJA1P2,0,0,0,0,0,0
LOC729126,17,12,14,2,3,1
RPL35AP37,0,0,0,0,0,0
PTGES3P4,0,0,0,0,0,0
BAALC-AS2,0,0,0,0,0,0
LOC391711,0,0,0,0,0,0
HNRNPA1P70,0,0,0,0,0,0
LINC01774,0,0,0,0,0,0
NF1P8,0,0,0,0,0,0
LOC105371458,0,0,0,0,0,0
SULT1D1P,0,0,0,0,0,0
OR52N3P,0,0,0,0,0,0
GAPDHP51,0,0,0,0,0,0
RPL6P20,0,0,0,0,0,0
ANKRD44-IT1,8,2,4,4,23,3
LOC100967223,0,0,0,0,0,0
C3orf84,0,0,0,0,0,0
OR10G9,0,0,0,0,0,0
LOC101927964,0,0,1,5,1,0
EDRF1-AS1,0,1,0,0,0,0
RPL12P12,0,0,0,0,2,0
YBX1P9,0,0,0,0,0,0
MLIP-IT1,0,0,0,0,0,0
RPL36AP11,0,0,0,0,0,2
KRT18P52,3,1,1,6,1,0
GLIS3-AS1,0,0,0,0,0,0
LINC01812,30,8,0,0,0,0
LRRFIP2P1,0,0,0,0,0,0
LOC100129456,0,0,0,0,0,0
HLA-C,79,128,147,196,345,304
USP9YP3,0,0,0,0,0,0
RPL21P33,0,0,0,0,0,0
RPSAP7,0,0,0,0,0,0
CASP3P1,0,0,0,0,0,0
ZEB1-AS1,52,50,69,146,36,20
NDUFA6-DT,13,16,32,57,76,3
USP17L8,0,0,0,0,0,0
DPH3P2,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0
TTTY12,0,0,0,0,0,0
RPL34P1,0,0,0,0,0,0
GABBR1,0,0,0,1,0,0
PRMT5-AS1,0,0,0,2,1,0
MTCO1P48,0,0,0,0,0,0
EIF3IP1,0,0,0,0,7,1
RPL5P2,0,0,0,0,0,0
LOC105375166,0,1,0,0,1,0
TRIM27,184,126,1259,1070,0,0
RPL31P42,0,0,0,0,0,0
RPL7AP48,0,0,0,0,0,0
HCG22,0,0,0,0,0,0
LOC101927164,0,3,1,2,1,0
NCR3,0,0,0,0,0,0
HCP5,0,0,0,0,0,0
RPL21P111,0,0,0,0,0,0
TAAR9,0,0,0,0,0,0
GABBR1,191,44,198,163,676,108
CDSN,0,0,0,0,0,0
LOC100421775,0,0,0,0,0,0
LINC01056,0,0,0,0,0,0
CDSN,0,0,0,0,0,0
MTND2P11,0,0,0,0,0,0
HAND2-AS1,5,12,14,9,7,4
LINC02652,0,0,0,0,0,0
MTCYBP34,0,0,0,0,0,0
LOC107985453,0,0,0,0,0,0
DDX10P1,2,6,35,44,16,4
C4orf51,0,0,0,1,0,0
ZNF503-AS2,16,29,22,29,25,5
CNTFR-AS1,0,0,0,0,0,0
RPS20P9,6,8,7,2,8,4
CDSN,0,0,0,0,0,0
B3GNT9,556,444,246,276,593,177
NME1P1,0,0,0,0,0,0
LOC100996696,0,0,0,0,0,0
H3P7,0,0,0,0,0,0
LINC01797,0,0,0,0,0,0
LOC107987328,0,0,0,0,0,0
KRTAP9-10P,0,0,0,0,0,0
VN1R66P,0,0,0,0,0,0
RPS8P5,5,1,0,1,0,0
NR2F1-AS1,744,484,768,834,970,293
CDKN2AIPNL,652,634,457,532,166,117
TRIM10,0,0,0,0,0,0
DLGAP5P1,0,0,0,0,0,0
RBM17P3,0,0,0,0,0,0
LOC101928495,4,3,4,0,3,0
LOC100130121,8,0,0,0,0,0
RPL23AP22,0,0,0,0,0,0
RPS9P2,0,0,0,0,0,0
HLA-G,0,1,0,0,0,0
LINC01968,2,0,0,0,0,0
SULT1C2P1,0,1,2,1,0,1
OR13K1P,0,0,0,0,0,0
RPS3AP39,0,0,2,0,0,0
KRTAP2-5P,0,0,0,0,0,0
ZNF295-AS1,0,0,0,3,0,0
TRDD2,0,0,0,0,0,0
BMS1P10,133,93,56,27,162,55
CREB3L2-AS1,0,0,0,0,0,0
MBD3L5,0,0,0,0,0,0
LINC00987,2,0,0,0,8,2
LOC100130331,1,7,0,0,0,0
TRBV30,0,0,2,0,0,0
PGAM3P,0,0,0,0,0,0
MTND2P8,0,0,0,0,0,0
PPIAP67,1,3,0,3,3,3
LOC100129291,0,0,0,0,0,0
LINC01810,0,0,0,0,0,0
LINC01519,0,0,0,0,0,0
RBMY2TP,0,0,0,0,0,0
OR51R1P,0,0,2,0,0,0
RLIMP2,0,0,0,0,0,0
LINC00851,0,0,0,0,1,4
CKMT1B,1,6,0,1,3,2
LINC01343,0,0,0,0,0,0
LINC01732,0,0,0,2,0,0
SMG1P1,2171,2120,3252,3407,2040,745
TTN-AS1,27,40,421,532,489,179
MTCO1P19,7,5,8,2,4,1
OFD1P11Y,0,0,0,0,0,0
HIGD1AP8,3,5,0,1,1,0
HSPE1P22,0,0,0,0,0,0
LOC107985801,0,0,0,0,0,0
MTND2P6,0,0,0,0,0,0
GS1-124K5.4,34,14,35,45,6,2
LOC105378066,0,0,0,0,0,0
RPL12P39,0,0,0,0,0,0
LOC105374461,0,0,0,0,0,0
RPL7L1P10,6,0,0,0,0,0
RAI1-AS1,0,0,0,0,0,0
RNF223,1,0,0,0,0,0
MSH5,43,0,0,0,0,0
PFDN6,60,66,40,55,36,3
FTCD-AS1,0,0,0,1,0,0
LINC01502,11,5,4,7,7,9
SYP-AS1,0,0,0,0,0,0
PBX2,0,191,0,0,0,0
PATE4,0,7,7,2,4,4
OR52S1P,0,0,0,0,0,0
TUSC8,0,0,0,1,0,0
UNQ6494,0,1,0,0,0,0
LOC112267897,0,0,0,0,0,0
NT5DC1P1,0,0,0,0,0,0
OR4A47,0,0,0,0,0,0
LNCNEF,0,0,0,0,0,0
PITRM1-AS1,21,13,17,6,1,3
LINC01304,0,0,0,0,0,0
NDUFA9P1,26,24,26,12,39,17
ART2BP,0,0,0,0,0,0
RPL27AP2,0,0,0,0,0,0
PRSS56,0,0,0,0,0,0
MGC27382,34,25,23,34,46,10
LOC101928932,0,0,0,0,0,0
FOXD2-AS1,48,42,45,63,18,16
RPSAP2,0,0,0,0,0,0
TOMM22P1,0,0,0,0,0,0
RPS7P12,0,0,2,7,0,0
RPSAP11,0,0,1,0,0,0
SMNP,0,0,0,0,0,0
LINC02790,0,0,0,0,0,0
ASS1P12,0,0,0,0,0,0
ZNF737,101,98,164,173,182,55
OR13D2P,0,0,0,0,0,0
CDC27P2,0,0,0,0,0,0
TAAR4P,0,0,0,0,0,0
RPL23AP71,0,0,0,0,0,0
MEIOSIN,0,0,0,0,0,0
HLA-DQB1-AS1,0,0,0,0,0,0
LOC101928438,0,1,1,0,1,0
TRIM27,28,17,100,193,20,6
LRRC52-AS1,0,0,0,0,0,0
MTCO3P41,0,0,0,0,0,0
USP9YP35,0,0,0,0,0,0
LOC101928661,0,0,0,0,0,0
TUBB8P10,0,0,0,0,0,0
RPL7P53,0,0,0,0,0,0
LINC01637,1,0,0,0,4,2
LOC105373876,0,0,0,0,0,0
RPS27AP8,0,0,0,0,0,0
LINC01684,293,252,201,233,293,125
VN1R48P,0,0,0,0,0,0
C10orf143,9,15,23,22,19,11
LINC01409,155,130,100,114,228,67
OR2L9P,0,0,0,0,0,0
WAKMAR2,29,42,30,25,38,6
PKN2-AS1,1,60,1,7,0,0
RPSAP15,0,0,1,0,0,0
HLA-F,8,0,0,8,0,0
GPAT2P1,0,0,0,0,0,0
UNC5B-AS1,1,0,2,0,0,0
SHISA9,1773,1409,1192,1309,1859,726
OR7E24,0,0,0,0,0,0
LINC00857,66,29,6,12,23,15
TEX51,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0
MTCO3P17,0,0,0,0,0,0
RPS6P3,0,0,0,0,0,0
RPL9P8,218,347,228,302,443,18
RPL21P74,0,0,0,0,0,0
LINC02567,0,0,0,0,0,0
KCND3-AS1,0,0,0,0,0,0
CDY7P,0,0,0,0,0,0
LINC01497,0,0,2,1,2,0
TUBAP1,0,0,0,0,0,0
LOC100421386,0,0,0,0,0,0
LINC01856,17,8,6,10,9,2
PYY2,1,5,7,17,1,0
LINC01514,0,0,0,0,0,0
POU5F1,0,0,0,3,0,0
RPL34P8,0,0,0,0,0,0
HMGN1P32,0,0,0,0,0,0
RPL17P24,0,0,0,0,0,0
LOC150051,5,7,1,2,0,0
LINC01275,5,4,1,5,2,0
LOC644135,18,180,959,1513,39,4
TAP2,0,0,215,289,1039,640
OR4C50P,0,0,0,0,0,0
FAM138A,0,3,5,0,3,1
BTBD7P2,0,0,0,0,0,0
OR3B1P,0,0,0,0,0,0
OR9A1P,0,0,0,0,0,0
ELOCP18,0,0,0,0,0,0
OXCT2P1,4,7,128,161,16,5
MTCO2P19,4,2,3,11,8,0
NIFKP9,1,0,0,1,0,0
DUX4L29,0,0,0,0,0,0
ANKRD26P3,0,0,0,1,0,0
LINC02245,27,15,16,17,15,18
RPL28P2,0,0,0,0,0,0
KIFC1,947,647,41,118,4,74
OR11Q1P,0,0,0,0,0,0
C2orf74,102,100,73,67,174,55
LOC101929653,0,0,0,0,0,0
LINC00316,0,0,0,0,0,0
GRM7-AS2,0,0,0,0,0,0
LINC01115,0,0,0,0,0,0
TEX36-AS1,0,0,0,0,0,0
VDAC1P11,0,0,0,0,0,0
RPSAP35,0,2,0,0,0,0
LOC101929705,43,16,17,20,0,3
LOC101929006,0,0,0,0,0,0
IRGM,6,13,1,0,2,1
LOC101928596,0,0,0,0,0,0
SPIN2P1,0,4,0,2,3,2
EEF1A1P28,2,1,0,0,0,0
MTCO3P11,1,1,1,8,16,13
P4HA2-AS1,0,1,0,0,0,0
HSPA1A,0,15,291,247,0,0
CAMTA1-AS2,0,0,0,0,1,0
RPS5P8,0,0,0,0,0,0
RNGTTP1,1,6,1,3,0,0
CT75,0,0,0,0,0,0
RNF39,0,0,0,0,0,0
DCTN1-AS1,0,0,0,0,0,0
RNF216-IT1,11,4,3,2,2,1
FBP2P1,0,0,0,0,0,0
KCNH7-AS1,0,0,0,0,0,0
LINC01143,0,0,0,0,0,0
NCKAP1P1,0,0,0,0,0,0
LOC105378464,0,0,0,0,0,0
AMY1A,0,0,0,1,1,0
FAM200B,465,437,401,352,476,188
GGTA2P,6,3,10,0,3,0
SPATA31D2P,0,0,0,0,0,0
RPL14P4,0,0,2,0,0,0
OR14J1,0,0,0,0,0,0
RPS2P10,0,0,0,0,0,0
LINC02877,0,0,0,0,0,0
LINC01318,0,0,0,1,0,0
RPL18AP16,0,0,0,0,0,0
FAM197Y6,0,2,0,0,0,0
LINC00211,1,2,4,11,0,0
LOC100507516,323,248,79,85,31,22
NCR3,0,0,0,0,0,0
HCG9,0,0,0,0,0,0
SFTA2,0,0,0,0,0,0
RPL21P109,0,0,0,0,0,0
RPS3AP29,6,7,0,2,2,6
CDK6-AS1,8,9,5,19,0,0
RPL23AP33,0,0,0,0,0,0
RGL2,20,68,40,77,96,28
RPS15AP29,7,6,9,3,5,0
PPP1R11,0,0,0,0,0,0
MOG,0,0,0,0,0,0
FAM21FP,6,14,7,24,22,4
KRTAP19-9P,0,0,0,0,0,0
LOC645202,0,0,0,0,0,0
NFIA-AS1,0,0,0,0,0,0
EEF1A1P31,0,0,0,2,2,0
LOC100506271,0,0,0,0,0,0
LOC102724434,250,221,118,73,36,20
POU5F1P4,0,0,0,0,0,0
LINC00398,1,0,0,0,0,0
TSBP1,0,0,0,0,0,0
DGUOK-AS1,4,6,2,4,2,0
DDX39B,999,784,552,504,146,79
LINC00243,0,0,0,0,0,3
HCG22,0,1,5,5,3,1
MUPP,0,0,0,0,0,0
MTCO1P18,0,0,0,0,0,0
SRP68P3,4,2,0,0,3,1
FTLP19,0,0,0,0,0,0
SIRPG-AS1,26,22,22,32,16,18
RPL37P12,0,0,0,0,0,0
PARP4P1,2,0,0,0,0,0
SAPCD1,9,10,8,3,2,0
LINC02570,0,0,0,0,0,0
RPL21P112,0,0,0,0,0,0
NFIA-AS2,0,0,0,0,0,0
RPL31P14,0,0,0,0,0,0
LINC02702,0,0,0,0,0,0
LINC01238,4,13,9,2,16,9
KCNQ1DN,0,0,0,0,0,0
PRKCQ-AS1,14,16,2,4,0,1
LINC00649,158,115,121,63,163,90
MTATP6P20,0,0,0,0,0,0
RPL7AP73,0,0,0,0,0,0
TUBG1P,0,0,1,1,0,0
MTCO1P12,4,3,3,3,1,1
FLG-AS1,20,17,96,139,41,8
PTENP1,32,2,2,2,0,0
CELF2-AS2,0,0,0,1,0,0
LOC105378137,0,0,0,0,0,0
LINC01679,1,0,44,62,25,29
RPL35P1,0,0,0,0,0,0
RCC2P2,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0
PSME2P1,3,0,4,2,0,0
NPAP1P6,0,0,0,0,0,0
RPL10P4,0,0,0,0,0,0
LOC101927851,9,6,6,10,14,2
LOC100996442,20,130,11,57,130,10
RPL23P3,0,0,0,2,4,3
HTR3E-AS1,0,0,0,0,0,0
ZDHHC4P1,0,0,0,0,0,0
LOC100131216,0,0,0,0,0,0
TRIM31-AS1,0,0,0,0,0,0
S100A11P5,0,0,0,0,0,0
OOSP1P1,0,0,0,0,0,0
LINC02257,0,3,6,13,0,0
MTND5P22,0,0,0,0,0,0
MTND1P30,0,0,0,0,0,0
ISCUP1,0,0,0,0,0,0
PRRT1,0,3,0,0,2,0
ZEB2-AS1,4,7,3,4,7,7
SPATA3-AS1,0,0,0,0,0,0
HCG25,0,1,2,0,2,1
RPLP0P7,0,0,0,0,0,0
TSPY9P,0,0,0,0,0,0
RPSAP32,0,0,0,0,0,0
LINC01352,0,0,0,0,0,0
LOC100506224,0,0,0,0,0,0
LRRC37A2,83,54,48,53,128,39
PPP1R26P1,0,0,1,0,2,0
FMO8P,0,0,0,0,0,0
OFD1P7Y,0,0,0,0,0,0
LOC100421336,0,3,4,2,11,0
LINC02037,0,1,1,0,0,0
ABCA17P,3,1,0,2,0,0
LINC01625,0,2,0,0,0,2
RPL9P7,2,2,0,0,2,0
PPP1R10,608,673,513,720,935,253
GOLGA2P5,83,56,24,35,70,36
RNF14P3,0,0,0,1,2,0
RPS13P4,1,0,0,0,0,0
LINC01410,74,62,110,148,36,5
RAD21P1,0,0,0,0,0,0
SLC25A24P2,0,0,0,0,0,0
LINC01589,1,2,0,2,0,0
LINC00426,7,15,5,8,14,4
SLC9A3P2,0,0,0,0,0,0
LTA,1,1,0,1,0,0
MAP3K20-AS1,0,0,0,0,0,0
EHMT2,403,556,81,93,401,89
USP9YP10,0,0,0,0,0,0
BRWD1-AS1,1,0,0,3,0,0
LOC105376805,33,14,19,15,31,17
TUBAP8,0,0,0,0,0,0
HCG27,0,0,0,0,0,0
RPS15AP31,0,0,0,0,0,0
OR7E140P,0,0,0,0,0,0
FAM50B,0,1,0,0,0,0
OR7E117P,1,1,1,1,3,0
LOC646938,0,0,0,0,0,0
LINC01053,0,0,0,0,0,0
RPS2P35,0,0,0,0,0,0
RPL21P34,0,5,0,0,1,0
AHCYP2,0,7,0,0,0,0
RPS27P5,0,0,0,0,0,0
CD81-AS1,13,7,4,4,7,0
HADHBP1,0,0,1,1,0,0
PHACTR3-AS1,0,0,0,0,0,0
NOTCH4,0,0,0,25,6,0
PAXBP1-AS1,85,70,71,54,75,39
MPC1L,0,0,0,0,0,0
ETDA,0,0,0,0,0,0
POLR2LP1,0,0,0,0,0,0
LINC02096,0,0,0,0,0,0
TARDBPP2,0,0,0,0,0,0
HCG20,19,16,5,22,16,0
LINC01877,0,0,0,0,0,0
HLA-DQB1-AS1,0,0,0,0,0,0
TMEM250,826,811,792,784,316,161
OR7E7P,43,31,14,20,9,7
HCG22,0,0,0,0,0,0
TSPY11P,0,0,0,0,0,0
MCCD1,0,0,0,0,0,0
OR2W3,0,0,0,1,0,1
MYO5BP2,0,0,0,0,0,0
RDXP3,0,0,0,0,0,0
MTND5P20,0,0,0,0,0,0
RPL21P88,0,0,0,0,0,0
LINC00317,0,1,0,0,0,0
LINC00707,33,6,4,3,0,0
PAGE2B,0,0,0,0,0,0
IFNWP19,0,0,0,0,0,0
LOC101927760,0,0,0,0,0,0
TBC1D3P1,0,0,0,0,0,0
LINC01448,4,12,8,10,19,10
MTND3P23,0,0,0,0,0,0
MICB,0,0,0,0,13,0
SNORD121B,0,0,0,0,0,0
RNU7-120P,0,0,0,0,0,0
RNU7-50P,0,0,0,0,0,0
SNORD13E,0,0,0,1,4,4
SNORD11,0,0,0,0,0,0
RNU7-148P,0,0,0,0,0,0
SNORA13,1,0,2,1,3,0
RNU7-140P,0,0,0,0,0,0
RNU7-57P,0,0,0,0,0,0
MIR2113,0,0,0,0,0,0
RNU7-103P,0,0,0,0,0,0
RNU7-180P,0,0,0,0,0,0
RNA5SP103,0,0,0,0,0,0
RNU7-165P,0,0,0,0,0,0
RNU6-1211P,0,0,0,0,0,0
RNU7-48P,0,0,0,0,0,0
RNA5SP233,0,0,0,0,0,0
MIR2053,0,0,0,0,0,0
RNU7-171P,0,0,0,0,0,0
RNU7-63P,0,0,0,0,0,0
RNU7-186P,0,0,0,0,0,0
RNU6-437P,0,0,0,0,0,0
SNORD42B,0,0,0,0,0,0
RNU7-136P,0,0,0,0,0,0
RNU7-157P,0,0,0,0,0,0
RNU7-130P,0,0,0,0,0,0
RNU6-893P,0,0,0,0,0,0
RNU7-38P,0,0,0,0,0,0
RNU7-134P,0,0,0,0,0,0
RNU7-144P,0,0,0,0,0,0
RNU6-1014P,0,0,0,0,0,0
RNU7-169P,0,0,0,0,0,0
RNU7-14P,0,0,0,0,0,0
RNU6-1208P,0,0,0,0,0,0
RNU6-221P,0,0,0,0,0,0
SNORD13P1,0,0,0,0,0,0
RNU7-87P,0,0,0,0,0,0
RNU6-104P,0,0,0,0,0,0
MIR1270,0,0,0,0,0,0
RNU7-107P,0,0,0,0,0,0
RNU6-599P,0,0,0,0,0,0
SNORD105B,0,0,0,0,0,0
RNU7-93P,0,0,0,0,0,0
RNU7-104P,0,0,0,0,0,0
RNU1-88P,0,0,0,0,0,0
RNU7-21P,0,0,0,0,0,0
RNU6ATAC28P,0,0,0,0,0,0
RNU7-159P,0,0,0,0,0,0
SNORD4A,0,0,0,0,0,0
RNU7-167P,0,0,0,0,0,0
RNU7-54P,0,0,0,0,0,0
SNORD4B,0,0,0,0,0,0
RNU7-7P,0,0,0,0,0,0
RNU7-94P,0,0,0,0,0,0
RNU7-26P,0,0,0,0,0,0
RNU6-300P,0,0,0,0,0,0
RNU6-775P,0,0,0,0,0,0
SNORD97,152,168,164,184,257,99
RNA5SP489,0,0,0,0,0,0
RNU7-126P,0,0,0,0,0,0
SNORD42A,0,0,0,0,0,0
SNORD54,0,0,0,0,0,0
RNU6-625P,0,0,0,0,0,0
RNU6-333P,0,0,0,0,0,0
RNU6-1037P,0,0,0,0,0,0
RNU6-261P,0,0,0,0,0,0
RNU7-147P,0,0,0,0,0,0
RNU7-97P,0,0,0,0,0,0
RNU7-56P,0,0,0,0,0,0
RNY4P25,0,0,0,0,0,0
RNU7-96P,0,0,0,0,0,0
RNU7-194P,0,0,0,0,0,0
MIR1972-1,0,0,0,0,0,0
RNU7-164P,0,0,0,0,0,0
RNU7-90P,0,0,0,0,0,0
RNU7-113P,0,0,0,0,0,0
SCARNA7,1385,1299,977,1097,1444,392
RNU7-27P,0,0,0,0,0,0
SCARNA18B,0,0,0,0,0,0
RNU7-155P,0,0,0,0,0,0
RNA5SP57,0,0,0,0,0,0
RNU7-141P,0,0,0,0,0,0
RNU7-80P,0,0,0,0,0,0
RNU7-92P,0,0,0,0,0,0
RNU7-182P,0,0,0,0,0,0
RNU7-152P,0,0,0,0,0,0
SNORD124,0,1,0,0,0,0
SCARNA12,520,539,418,494,575,155
RNU7-102P,0,0,0,0,0,0
RNU7-127P,0,0,0,0,0,0
RNVU1-2,0,2,0,1,2,3
RNU7-45P,0,0,0,0,0,0
RNU7-46P,0,0,0,0,0,0
RNU1-131P,0,0,0,0,0,0
SCARNA18,0,2,1,0,4,0
SNORD19B,0,0,0,0,0,0
RN7SKP210,0,0,0,0,0,0
RNU7-59P,0,0,0,0,0,0
RNU6-329P,0,0,0,0,0,0
SNORD121A,0,0,0,0,0,0
RNU1-80P,0,0,0,0,0,0
RNU7-34P,0,0,0,0,0,0
RNA5SP484,0,0,0,0,0,0
RNU7-196P,0,0,0,0,0,0
SNORD10,90,129,99,143,130,35
RNU7-1,0,0,0,0,0,0
RNU7-82P,0,0,0,0,0,0
SNORD65B,0,0,0,0,0,0
RNU6-953P,0,0,0,0,0,0
SNORD2,0,0,0,0,0,0
RNU7-66P,0,0,0,0,0,0
RNU7-173P,0,0,0,0,0,0
RNU7-19P,0,0,0,0,0,0
SNORA47,5,2,3,0,1,1
RNU7-176P,0,0,0,0,0,0
RNU7-125P,0,0,0,0,0,0
RNA5SP351,0,0,0,0,0,0
RNU7-133P,0,0,0,0,0,0
RNU7-187P,0,0,0,0,0,0
RNU6-420P,0,0,0,0,0,0
SCARNA10,2282,2779,976,1123,2288,553
RNU7-88P,0,0,0,0,0,0
RNU7-95P,0,0,0,0,0,0
RNU7-74P,0,0,0,0,0,0
SNORD108,0,0,0,0,0,0
RNA5SP246,0,0,0,0,0,0
RNU1-98P,0,0,0,0,0,0
RNU6-956P,0,0,0,0,0,0
SNORD13D,0,0,0,0,0,0
SNORD13,53,17,5,5,18,6
SNORD127,0,0,1,0,0,1
RNU7-138P,0,0,0,0,0,0
MIR500B,0,0,0,0,0,0
RNU6-274P,0,0,0,0,0,0
RNU7-55P,0,0,0,0,0,0
RNU7-24P,0,0,0,0,0,0
RNU7-170P,0,0,0,0,0,0
RNU7-23P,0,0,0,0,0,0
RNU7-185P,0,0,0,0,0,0
RNU7-73P,0,0,0,0,0,0
RNU6-1132P,0,0,0,0,0,0
RNU7-67P,0,0,0,0,0,0
RNU7-119P,0,0,0,0,0,0
RNU2-11P,0,0,0,1,1,0
SNORD125,0,0,0,0,0,0
SNORD13P3,0,0,0,1,0,0
RNU7-195P,0,0,0,0,0,0
RNA5SP310,0,0,0,0,0,0
RNU7-197P,0,0,0,0,0,0
SNORD109B,0,0,0,0,0,0
RNU6-1218P,0,0,0,0,0,0
SNORA84,20,25,17,25,9,5
RNA5SP269,0,0,0,0,0,0
RNU7-190P,0,0,0,0,0,0
RNU6-634P,0,0,0,0,0,0
RNU6-717P,0,0,0,0,0,0
RNU1-123P,0,0,0,0,0,0
SNORD5,0,0,0,0,0,0
RPL5P22,0,0,0,0,0,0
RPL21P6,0,0,0,0,0,0
RPL22P20,0,0,0,0,0,0
RPL21P106,0,0,0,0,0,0
RN7SL499P,0,0,0,0,0,0
LINC02023,3,1,0,0,0,0
RN7SL563P,0,0,0,0,0,0
RPL6P7,0,0,0,0,0,0
RPL27P12,0,0,0,0,0,0
LOC100128164,31,6,1,5,2,3
RN7SL442P,0,0,0,0,0,0
RPL34P31,0,0,0,0,0,0
RN7SL546P,0,0,0,0,0,0
TTTY23,0,0,0,0,0,0
MRPS17P3,0,0,0,0,0,0
RN7SL578P,0,0,0,0,0,0
RPS10P26,3,2,0,0,0,0
RN7SL589P,0,0,1,0,0,0
RN7SL757P,0,0,2,0,3,5
RN7SL271P,0,0,0,0,0,0
RPL31P41,0,0,0,0,0,0
TXNDC5,8765,8067,6850,7298,6186,2611
RPSAP4,3,2,0,0,0,0
RN7SL184P,0,0,0,0,0,0
CASTOR1,19,68,140,199,197,112
LY6G5B,0,0,0,0,0,0
LOC100419877,0,0,0,0,0,0
